samples,BackhedF_2015.metaphlan_bugs_list.stool:SID10_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID103_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID12_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID128_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID130_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID133_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID137_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID150_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID157_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID172_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID179_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID18_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID181_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID184_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID195_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID201_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID224_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID229_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID240_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID256_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID258_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID26_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID263_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID265_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID268_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID275_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID276_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID282_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID332_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID338_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID341_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID343_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID345_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID367_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID377_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID385_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID387_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID39_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID397_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID45_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID503_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID504_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID51_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID511_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID521_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID526_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID527_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID536_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID544_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID560_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID565_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID567_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID570_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID572_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID577_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID582_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID585_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID587_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID589_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID590_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID591_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID599_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID608_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID615_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID624_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID626_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID633_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID7_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID82_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID87_12M
k__Bacteria|p__Firmicutes|c__Negativicutes,3.8708,0.03442,4.41127,4.35448,0.09337,2.26077,0.89462,5.31558,8.03399,0.0467,0.75889,0.29794,12.52525,0.31627,9.07873,2.96303,19.0541,1.35452,1.29305,12.45457,3.01431,3.66699,0.38805,3.06215,5.37879,0.33741,0.85983,13.76287,1.21352,0.12797,0.0272,0.30462,3.16951,0.87854,2.28952,6.99243,5.87193,0.95912,0.58075,1.65792,0.63213,6.5659,2.20771,0.12904,0.46986,2.75289,0.34828,0.24731,23.44396,0.02831,8.90884,5.63924,10.13897,0.8755,4.5506,3.54614,1.41533,3.4123,7.74885,1.87459,6.71049,1.32335,1.77081,0.61128,4.95975,0.16134,2.09094,0.068,3.37848,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,39.32275,44.838,64.9061,41.14602,35.2053,50.39452,40.55968,48.6626,60.28443,39.21619,43.03236,56.57294,58.14451,29.47734,1.74627,65.50825,65.56545,37.54743,37.06139,39.19224,61.90107,35.97428,59.40745,61.48395,52.80516,54.80111,44.9269,33.37876,67.72855,30.73976,66.4948,79.04878,69.90188,38.49378,64.82794,16.89048,61.15768,49.7219,46.72927,11.97659,44.69861,22.32364,54.34954,77.24416,54.52004,26.08388,77.74827,72.58667,60.1171,86.626,62.92105,52.85986,48.91357,46.89789,23.74339,51.416,39.22348,80.92816,35.66446,60.5328,37.06741,12.88196,40.46214,29.5347,47.11909,74.32813,25.02599,39.29019,55.60313,40.36435
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales,0.06728,0.87883,3.40385,0.11476,20.55488,0.67653,14.55067,0.73292,0.18297,0.67838,0.44682,0.47528,3.76883,0.03145,1.51012,0.35489,2.15284,0.09512,0.33543,1.28098,0.49901,0.31169,0.24516,1.99761,0.07268,0.0058,0.00444,1.11539,0.01395,0.21537,0.03009,0.82801,0.02974,0.41239,0.98772,0.62451,0.08063,0.03111,0.4709,1.93919,0.12475,4.04498,0.05505,0.85407,36.80899,2.78715,0.25547,0.07301,0.21788,0.33642,1.07369,1.98332,0.19822,0.11482,3.55822,0.13723,0.00762,1.56543,0.08743,0.09044,0.32904,5.11726,16.60655,0.3859,1.35486,0.37584,4.0462,1.86827,0.01745,0.03583
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,40.02104,52.44525,24.18956,41.93583,41.55753,26.23364,38.84637,33.53908,12.93986,48.56846,33.07622,38.33696,17.77058,66.7293,63.58039,1.75574,5.48312,49.52338,29.34648,26.71035,24.77975,24.63133,35.00381,25.73742,33.18692,28.49531,43.41467,32.2879,24.94819,62.14831,29.83272,17.79673,21.18968,27.59565,7.02536,64.92062,23.94147,32.92603,46.47694,11.66076,43.20708,43.84553,35.82145,17.29838,6.56132,48.08493,13.66671,25.60361,13.8728,10.89933,19.56991,5.38904,29.20398,46.6226,31.85581,33.98966,45.90264,6.92143,41.05916,24.03025,46.997,66.53783,22.55122,53.86634,37.14874,16.60999,20.76711,24.56094,32.25138,37.14052
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,14.22115,0.03524,0,8.12431,0.9083,13.78869,0.36271,0.00725,7.42968,4.68644,10.98019,1.95222,3.77572,1.09954,20.47607,13.5635,0.01727,5.15108,21.51423,13.94133,2.08642,5.41141,3.01774,3.13744,5.51065,4.63359,7.31649,1.80789,1.79164,3.41366,0.5197,0.30538,0.92039,12.55745,16.49241,1.07105,0.2972,6.75738,4.10585,63.22026,10.50373,5.19997,1.96048,0.55192,0.33885,0.68705,4.46573,0.52894,0,1.32601,1.13552,26.41587,8.28725,1.50876,25.74181,2.39076,2.68878,5.6097,4.3592,7.9442,0.00142,6.28995,12.85622,6.13479,3.44124,4.84347,42.26173,11.16441,4.11634,2.4821
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,0.29163,0.03323,0.26495,0.02334,0.12774,1.45398,0.1122,0.05673,0.57854,1.00198,0.17972,0.64335,0.3147,0.0446,0.772,0.61736,0.68032,1.12613,0.35892,1.37669,0.18091,0.66062,0.05047,0.45735,0.15346,0.26035,0.02231,0.07909,0.14851,0.07988,1.30809,0.66749,0.12555,0.11867,0.01753,0.99527,0.31751,0.84725,0.0664,4.91209,0.02134,6.6464,0.22619,0.11897,0.56861,1.50895,0.73529,0.04913,0.29197,0.02883,0.65101,7.06068,0.49752,0.15901,0.06878,1.8079,2.99456,0.01056,0.17031,0.86309,0.26107,0.47142,0.30672,3.01533,0.0123,0.00302,0.10145,0.01329,0.6909,0.46202
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales,0,0,0,0,0.0564,0,0,0,0,0.00063,0,0,0,0,0,0,0,0.01908,0,0,0,0.00149,0,0.00988,0,0,0,0,0.00358,0,0,0,0,0,0,0.02253,0,0,0,0,0.00239,0,0,0,0.01454,0.22912,0,0,0,0,0,0,0,0,0,0,0.00179,0,0,0.00045,0.00394,0,0,0,0,0.00516,0,0,0.00646,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales,0,0.00537,0.04009,0,0.05778,0,0.00487,0,0.02103,0,0,0,0,0,0.00183,0,0.00775,0.05424,0.10724,0.01488,0.00511,0.02735,0.0243,0.02426,0.00261,0.02029,0.0099,0.03882,0.00667,0.00411,0,0.00158,0,0,0.00383,0.03741,0.00046,0.02118,0,0.02177,0,0.00501,0.01046,0.01538,0,0.03549,0.02868,0.00057,0.00358,0,0.00774,0.01353,0.03317,0.00429,0,0.24583,0.05249,0,0.11925,0.02449,0.01992,0.02695,0.11059,0.00403,0.02599,0,0.14567,0,0,0.01333
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales,3.8708,0.03442,4.41127,4.35448,0.09337,2.26077,0.89462,5.31558,8.03399,0.0467,0.75889,0.29794,12.52525,0.31627,9.07873,2.96303,19.0541,1.35452,1.29305,12.45457,3.01431,3.66699,0.38805,3.06215,5.37879,0.33741,0.85983,13.76287,1.21352,0.12797,0.0272,0.30462,3.16951,0.87854,2.28952,6.99243,5.87193,0.95912,0.58075,1.65792,0.63213,6.5659,2.20771,0.12904,0.46986,2.75289,0.34828,0.24731,23.44396,0.02831,8.90884,5.63924,10.13897,0.8755,4.5506,3.54614,1.41533,3.4123,7.74885,1.87459,6.71049,1.32335,1.77081,0.61128,4.95975,0.16134,2.09094,0.068,3.37848,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,34.71862,0.00525,64.88045,15.61856,35.2053,26.2925,33.41362,48.6626,55.04636,22.88937,40.87301,33.52824,58.13162,16.53273,0.09627,46.94974,58.08628,37.50849,25.49623,0.01764,61.89052,12.67061,37.38252,61.47118,50.39447,42.99001,37.59134,33.37876,66.10093,15.65139,66.48912,79.03581,65.99541,27.54515,59.4772,16.89048,61.15768,39.77058,46.65554,10.57777,21.42544,20.81818,41.16047,73.68829,52.52475,0.02512,68.5615,65.50695,9.67751,77.94226,54.96742,49.72028,48.87203,45.5938,4.50054,39.65517,29.65358,64.76652,34.06764,44.06162,32.47096,10.56535,0.12776,22.22725,47.06268,64.44821,24.54446,31.14485,35.50765,15.30563
