samples,BackhedF_2015.metaphlan_bugs_list.stool:SID10_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID103_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID12_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID128_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID130_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID133_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID137_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID150_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID157_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID172_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID179_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID18_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID181_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID184_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID195_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID201_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID224_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID229_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID240_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID256_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID258_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID26_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID263_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID265_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID268_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID275_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID276_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID282_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID332_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID338_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID341_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID343_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID345_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID367_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID377_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID385_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID387_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID39_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID397_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID45_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID503_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID504_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID51_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID511_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID521_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID526_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID527_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID536_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID544_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID560_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID565_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID567_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID570_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID572_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID577_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID582_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID585_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID587_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID589_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID590_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID591_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID599_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID608_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID615_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID624_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID626_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID633_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID7_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID82_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID87_12M
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar,0.01108,0.00093,0.02235,0.00402,0.01197,0.00517,0,0,0.05531,0,0.00472,0.00294,0.00514,0.02979,0.37684,0,1.02227,0.01962,0.00108,0.01138,0.00391,0.17991,0.04542,0.09531,0.05122,0.00778,0,0.06697,0.12397,0.01419,0,0,0.07987,0.00048,0.06029,0.00358,0.00092,0.01296,0.02822,0.00667,0.01207,0.27484,0.0398,0.01977,0.00324,0.15494,0.00043,0.01672,0,0,0.03842,0.00085,0.01063,0.02993,0,0.06543,0.02663,0,0.19801,0.01035,0,0.1561,0.00298,0.06978,0,0.00584,0.00339,0.00175,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis,0,0,0,0,0.03951,0,0.00528,0.00697,0.01916,0.00371,0.04498,0.01023,0,0,0,0,0,0.03762,0.0285,0.17016,0,0.00868,0,0.02785,0.00437,0.01151,0,0.00267,0,0,0,0.00065,0,0.00573,0,0.13653,0.00229,0,0.00357,0,0.00504,0.01118,0,0,0,0.00842,0.02526,0.01861,0.00886,0,0,0,0.04891,0,0,0.20155,0.01785,0,0.07426,0.03268,0.03561,0.00827,0,0.00487,0.00741,0.00177,0,0.00452,0,0.01042
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_scindens,0.01059,0,0,0.00264,0,0,0,0,0,0,0.00397,0,0.00157,0.01445,0,0,0,0,0,0,0,0,0.00585,0,0,0,0.00196,0,0,0,0.00358,0,0,0,0.00245,0.01791,0,0.0223,0,0,0.01067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00614,0,0,0,0,0,0,0,0,0,0,0.00351,0.16226
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis,0.02856,0,0,0,0,0.04534,0,0,0.07506,0,0,0.00337,0,0,0.5069,0,0,0,0,0.0152,0,0.06506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01565,0,0.02458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4905,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris|t__Ruminococcus_lactaris_unclassified,0.11347,0,0,2.10112,2.69512,0,0.48782,0,0,0,1.16433,0,0,0,0,0,0,0,1.37555,0,0,0,1.59201,0,0,0,1.91414,0,0,0.41922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.95882,0,0,0,0,0,0,0,0,0,0,0,0.00091,0.89396,0,0,0,0,0.35775,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__GCF_000166035,0,0,0,1.00014,0,0,0,0,0,0,0,0,0,1.015,0,0,0,0,0,0,0,0,0.60886,0,0,0,0,0,0,0.88632,0,0,0,0,0,5.39343,0,0.36845,0,0,3.38539,0,3.05664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39663,0,1.68018,0,0,0,0,0,1.78466
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__GCF_000210735,2.63006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.79477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.72032,0,10.6695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.97409,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_5_1_39BFAA|t__GCF_000159975,4.27147,0,0,5.32222,19.61528,0,4.03678,0,0,0,0,0,0,1.47148,19.10996,0.36347,0,0,7.66595,0,0,4.50612,1.0846,0,1.54909,0,9.44451,0,0,3.89833,0,0,1.48681,9.53233,0,0,0,1.84231,2.79437,0.82327,3.8644,0,5.79482,0,0,0,1.79712,4.0009,0,0,0,0,0,0,7.81655,4.36934,6.31996,0,0,0,0,3.84181,0,5.0758,10.72802,0,0,4.26854,8.68468,11.41819
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225,0.06614,0,1.4019,0.64604,0.40014,0.88471,0.4238,1.67711,0,2.86552,0.85887,0,1.17846,0.21069,0,0,1.84098,0,0,0,0.00074,22.88969,0,0,0,0,0,13.67979,0,0.26969,0,0,3.03953,0.12517,0,0,7.11091,5.84904,0,0,0,0.88566,1.1771,0.38192,0.36206,8.41186,1.47465,0,0,0,0,0,1.009,0,0.03391,3.48808,0,0.0011,0.00175,0.45236,2.32106,0.06168,0,0.38943,5.37463,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum|t__GCF_000209915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis|t__Roseburia_intestinalis_unclassified,0,0,0,0,0.02548,3.04161,2.34539,0,0.00146,0,9.95941,9.49401,0,11.1652,0,0,0,0,0,0,6.41113,0,3.35312,9.43563,0.0141,0,2.75632,0,0,0,0.57775,0,0.97519,0.79607,0.12146,0,0,0.26364,0,0,5.05126,17.43122,6.32857,0.86542,0,0,0,4.08809,3.67549,0.00519,2.79402,0,0,3.48909,0.52944,6.36701,2.04387,0,0,0,0,13.80051,0,1.03802,1.92221,0.52023,0.00533,0,0.78968,0.67741
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis|t__GCF_000225345,0.02541,0,0,0.36226,0,0.20105,0.14659,0,0,0,0,0,0,0.06698,0,0.01975,0,0,0,0,0.04613,0.00429,0.00718,0.162,0.07026,0,0,0,0,0,0.04827,0,0,0,0.13049,0,0,0.6089,0,0,0.22979,0,0,0.1674,0,0,0,0.09622,0.01277,0,0,0,0,0,0.80626,0.02491,0.07444,0.00453,0.1107,0,0,1.12562,0,0.14245,0,0.01445,0.71206,0.70333,0,0.08412
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_obeum|t__Ruminococcus_obeum_unclassified,0.188,0.00294,0,0.30626,0.39343,0.05089,0.06423,0,0,0.0403,0.00474,0,0.02055,0.10156,0.00291,0.00494,0,0,0,0,0.51828,0.00093,0.55095,0.0023,0.51548,0,0.06742,0,0.44877,0.11723,0.01706,0,0.03426,0.0421,0.08477,0.0118,0,0.10545,0.00175,4.16091,0.01027,0,0.01354,0.02173,0,0,0.01319,0.29552,0,0,0,0,0,0.23682,0.06732,0.72145,1.05093,0,0.00777,0,0,0.11215,0,0.74985,0.33164,0.02732,0.05361,0.09438,0.00229,0.16362
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans|t__GCF_000174195,0.13912,3.01312,0,0,0,0.34355,0.00113,0,0,0.24278,0,0,0.10521,0.02298,0,0,0,0.00066,0,0,8.50339,0.05421,1.2577,0,0.70207,0,0,0,9.12766,5.25585,0.88129,0,2.01198,0,0,0,0,1.46576,4.60384,0.00104,4.35371,2.41373,0,3.47079,0,0,0,1.53742,0,0,2.79192,0,0,4.61369,0.56259,0.40967,1.21468,0,7.85879,0,0,12.81401,0,2.88381,7.80766,0.68201,0,0,0,0.14472
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_splanchnicus|t__GCF_000190535,0,0,0,0.86946,0,0,0,0,0,0,0,0,0,0.81872,0,3.63347,0,0,0.53448,0,0,0,1.31729,0,0,0,0,0,1.1186,0,0,0,0,0,0,0,0,0,0,0,0.53846,0,0,0,0,0,0,0,0,0,0.39069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57734,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens|t__GCF_000146185,3.86934,0.90656,0,1.91761,0,0.25248,11.27947,0,0.00019,1.07029,0,0,0,1.17706,0,0.04644,0,0.00266,0,0,0,1.21057,0.45145,0,0.00183,0,4.69465,0,0.29731,15.43361,2.37772,0,0.16278,0.00312,0.29669,9.62525,0,1.05718,4.6467,0,0,0,0,0.0244,0,0.10054,0,1.82025,0,0,5.02493,0,0,13.71116,0.37389,0,3.30578,0.33816,9.93544,0,0,2.55439,0,3.70912,2.63683,1.55322,1.24981,4.51219,0,0.05705
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes|t__GCF_000155875,0,0,0,0.93665,0.00172,0,0.54879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07362,0,0,0,0,0,0,0,0.23243,0,0,0,0,0,0,0,0,0,0,0.26455,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46538,0,0,0,0,0,0,0,0,0.71783,0,0,0.11968,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens|t__GCF_000169035,1.03465,0,0,1.61395,0,0,0.09259,0,0,0.57942,9.77926,0.59853,0.01497,0.22224,0,0.3374,0,0,0,0,0,1.10802,0,2.31227,0.45199,0,0.86116,0,1.48863,0.88113,0,0.00033,0,0,4.41476,0,0,1.21694,0.81164,3.89107,0,1.11175,0.00355,0.32336,0,0,0,0.11311,0,0,0,0,0,1.72315,0.95867,0,0.80871,0,1.45791,0.01081,0,0.42839,0,0.64522,0,2.96445,3.42755,2.19783,0,16.25887
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii|t__GCF_000173975,0.82295,0,0,0.25869,3.04604,0.9488,0.39017,0,0,1.15945,0,0,0,0.09051,0,0.02466,0.00028,0.00435,0,0,0,0,2.33607,0,0.61724,0.75343,2.77014,0,0,0.15446,0.43919,0,0.23631,1.65905,0,0,0,3.08237,0.6232,0.56366,0.2492,0,0,0,0,0,0,0.04811,0,0,0,0,0.12291,0,0,0,0.88564,0.00542,0,0,0.00194,0.0648,0,2.99902,1.03868,0,0,0,0,3.11153
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactococcus_phage_phi7|t__PRJNA213073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactococcus_phage_P680|t__PRJNA213080,0,0,0.2595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24614,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii|t__GCF_000265365,0.24329,0,0,1.79318,0,0.31632,0,0,0,4.39078,0,2.22633,0,0.90733,0,0,0.00389,0,0,0,0,0.01222,3.49681,0,0,0,0.75038,0,0,0.19599,0,0,0.49882,0.25744,2.75511,0,0,0,0,0,4.50077,0,0.3242,0,0,0,0,0.52577,0,0,0,0,0.02354,0,0.50073,0,0.07225,0,0,0,0,0.25001,0,0.53197,0,0,0,0,0.83001,3.15847
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens|t__GCF_000478885,0,0,0,0.71974,0,0,0,0,0,0.20413,0,0,0,0.01449,0,0,0,0.10665,0,0,0,0.13117,0,0,0,0,0.02551,0,0,0,0,0,0,0.00379,0,0,0,0,0,0,0.06369,0,0,0,0,0,0.04576,0,0,0.00285,0,0,0,0,0,0,0,0,0,0,0,0,0,1.62126,0,0,0,0,0.16798,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius|t__Streptococcus_salivarius_unclassified,0.26307,0.01336,0.21633,0,0,0.28502,0.10146,0.03413,0.38881,0.16721,0.11326,0.07127,0.05106,0.01368,0.13948,0.00385,0.64095,0.27627,0,0.94846,0.145,0.40229,0.04239,0.34862,0.13662,0.18959,0.02231,0.06408,0.05656,0.04747,0,0.01669,0.12152,0.02443,0.00173,0.32706,0.01147,0.52504,0.03424,0.00083,0.00803,0.37864,0.19436,0.09293,0.14954,0.33831,0.3148,0.00198,0.25852,0.01785,0.52429,0.00492,0.11731,0.14102,0.0384,1.51905,2.88528,0.01056,0.001,0.06919,0.164,0.39403,0,0.00195,0,0.00125,0,0.0053,0.01096,0.0858
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans|t__Dorea_formicigenerans_unclassified,0.40617,0,0,0.05394,0,0,0,0,0,0,0,0.08814,0.1706,0.06974,0,0,0,0,0.37892,0,0,0.12721,0.25277,0,0.12876,0,0.18935,0,0,0.02579,0,0,0,0,0.08681,0,0,0.17435,0.09214,0,0.12079,0,0,0,0,0,0,0.40194,0,0,0,0,0,0,0,0,0,0,0.28404,0.25639,0,0,0,0.09751,0,0,0.09277,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA|t__GCF_000185525,0.34119,0.35216,0,2.20005,0.13125,1.09424,1.42828,0,0,2.43165,0.87421,0.81358,0,0.17427,0.49161,0.12545,0.02868,0,0.31405,0,0.32945,0.18505,0.41508,0.01713,0.52401,0.04743,0.18706,0,0.77374,0.04087,0.06718,0,0.17683,0.00994,0.75305,0.02913,0,0.03866,0.16224,0.17953,0.70493,0.04236,0.09276,0.01648,0,0,1.01496,0.94966,0,0.03865,0.0591,0,0.00079,0,0.01526,0.40209,0.35573,0.12832,0.18538,0,0,0.11116,0,0.16149,0.28976,0.43888,0.05806,0,0,1.83768
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_sp_HGB5|t__GCF_000183485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.25044,0,0,5.28886,0,0,0,0.85647,0,0,0,0.47553,0,0,0,0,0,0,0,0,8.88434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.21111,0,0,1.78412,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena|t__GCF_000154065,0,0,0,0.97414,0,0,0,0,0,0,1.30033,0,0,6.00E-04,0,0.10846,0,0,2.44916,0,0.21386,0,1.08387,0,0.13537,0,0,0,0,0.03549,0,0,0,0,0,0,0,0,0.00092,0,0.23128,0.44226,0.4889,0,0,0,0,0,0,0,0.19016,0,0,0,0,0,0,0,0.57798,0,0,0,0,3.44789,1.61799,0.06215,0.44597,0.21753,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum|t__Eubacterium_siraeum_unclassified,0.31312,0,0,0.00161,0,0,0.02612,0,0,0,0,0.13059,0.031,0.59015,0,0,0,0,0,0,0,0,0.39545,0,0,0,0,0,0,6.32723,0,0,0,0,0,0,0,0,0,0,0.63022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017,0.03937,0,0,0,0,0.02661,0,0.44432,0.04341,0,0,0,1.87215,0.1224
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus|t__Streptococcus_thermophilus_unclassified,0,0,0,0,0.00675,1.06817,0,0,0,0.0875,0.00176,0.40304,0.26269,0,0,0,0,0.5734,0,0.00647,0,0,0,0,0,0,0,0,0,0,1.22454,0.53703,0,0,0.00095,0.08688,0,0.30882,0,0.00212,0,6.12634,0,0,0.31763,0.00473,0.2121,0,0,0.00106,0,0.23364,0,0,0,0,0,0,0.00285,0,0.01552,0,0,2.87952,0,0,0,0,0.00125,0.28279
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_KLE_1745|t__GCF_000469445,0,1.58084,0,0.28192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54556,0,0,0,0,0,0,0,0.92966,0,1.07946,0.42458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01844,0,0,0,0.28506,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_symbiosum|t__Clostridium_symbiosum_unclassified,0.02472,0.81655,0,0.07565,1.31679,0,0.08861,1.95224,0,0.3408,0.17026,0.32706,0.38534,0.00834,1.21074,0,0,0.19448,0,0,0.4083,0.04086,0.04503,0,0.1761,0.24639,0.01945,2.11535,0.10162,0.05337,0.47308,0.02708,0.11543,2.0346,0.12051,0.69241,0.68451,0.22625,0,0,0.04246,0,0.31627,0,0.0436,0.01206,0.07051,0,0.18854,0.99465,0,0,0.62658,0,0,0,0.00773,0.24957,0,0.61647,0.24165,0.00615,3.8975,0.00048,0,0.08525,0,1.61822,0.80665,0.07367
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis|t__Streptococcus_parasanguinis_unclassified,0,0.00385,0.04502,0.01598,0.04806,0.00097,0,0,0.09097,0.02778,0.00681,0,0,0.03092,0.00644,0,0,0.03179,0.02425,0.07854,0.01123,0.05073,0.00317,0.03677,0.00414,0.04157,0,0.01233,0.03515,0.01235,0,0.00383,0.00403,0,0.00143,0.10492,0,0.00812,0,0.01894,0,0.01873,0.01023,0.02047,0,0.05583,0,0.01357,0,0,0.02466,0.03291,0.12698,0.017,0,0.0063,0.05855,0,0.0588,0.00176,0.00371,0.06,0,0.12438,0,0,0.00409,0,0.00154,0.0822
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus|t__GCF_000210555,0,0,0,0.41498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25664,0,0,0,0,0,0,0,0,0,0,0,0,0.27506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33513,0,0,0,0,0,0,0.14972,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus|t__GCF_000332875,0.10855,0.00064,0,0.2361,0.36036,0.00423,0.04837,0,0,0.00487,2.37696,0.22932,0,0.02973,1.52868,0.00237,0.00894,0,0.05726,0,0.02628,0.02928,0.46704,0.81345,0.03917,2.07399,0,0,0.19537,0.00625,0.01402,0,0.01548,0.00475,0,0.45825,0,0.11211,0.0291,0.01547,0.00034,0.07558,0.03892,0,0,0,0.08975,0.00815,0,0.04875,0.03801,0,0,0,0.00092,1.02689,2.57207,0.12886,0.44654,0,0,0.00925,0,0.01102,0.18811,0.1868,0.0231,0,0,0.9649
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_filiformis|t__GCF_000157995,0.12456,0,0,0,0,0.04697,0,0,0,0,0,0.21281,0,0.00887,0,0,0,0,0,0,0,0,0,0,0,0,0.0879,0,0,0.1123,0,0,0.03657,0,0.3556,0.14745,0,0,0,0,0,0,0.45712,0,0,0,0.00316,0,0,0,0,0,0,0,0,0,0,0.08426,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_asparagiforme|t__GCF_000158075,0.01928,0,0.38932,0.03167,0.04994,0,0,0.00697,0,0.13613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00922,0,0,0.75603,0,0.16035,0,0.03863,0,0,0.18749,0,0,0,0,0,0,0.18566,0,0,0,0.13205,0.07621,0.13832,0,0.14327,0,0,0,0,0,0,0.02155,0,0.00407,0,0,0,0,0.27977,0.07091,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA|t__GCF_000209405,0.34111,0.14785,0,0,0,0,0.21302,0.49499,0,2.3445,0,0,0.00622,0.66005,0,0.00763,0,0.00079,0,0,2.65285,0,0.02883,0,0,0,0.00115,0,0,0.0071,0.21745,0.0055,0.28398,0,0.01619,0,0,0,0,0,0.10691,0.01613,0,0.05274,0,0,0,0.00843,0.61152,0,0,0,0,0.0626,0.09516,0.031,0.33732,0.00031,0.32422,0,0,0,0.00051,0.10365,0,0,0,0,0,0.0653
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus|t__Ruminococcus_gnavus_unclassified,0.22881,2.90022,17.86581,0.31925,5.41638,1.45504,0.03792,13.20759,9.32062,2.51678,0.85914,1.21257,3.38625,0.00822,7.65739,0.12356,2.06605,27.55027,4.49933,6.61116,0.66351,1.32931,0.45611,3.80217,0.19202,3.38287,1.04946,12.9241,0.77467,0.18926,0.54431,10.04708,0.01308,7.0141,0.57667,6.97909,12.61112,0.10887,1.13972,0.52796,1.03803,1.84618,0.73596,1.12066,3.34896,2.57888,0.60507,1.12129,0.28702,7.00374,0.79758,4.46999,18.88778,0.66265,0.0102,0.54494,1.93114,1.10288,0.0182,10.80411,33.05287,0.27319,0.63384,0.08675,3.90819,0.05574,0.16909,2.34306,0.03467,0.77603
