sample,RaymondF_2016.metaphlan_bugs_list.stool:P10E0,RaymondF_2016.metaphlan_bugs_list.stool:P11E0,RaymondF_2016.metaphlan_bugs_list.stool:P12E0,RaymondF_2016.metaphlan_bugs_list.stool:P13E0,RaymondF_2016.metaphlan_bugs_list.stool:P14E0,RaymondF_2016.metaphlan_bugs_list.stool:P15E0,RaymondF_2016.metaphlan_bugs_list.stool:P17E0,RaymondF_2016.metaphlan_bugs_list.stool:P18E0,RaymondF_2016.metaphlan_bugs_list.stool:P19E0,RaymondF_2016.metaphlan_bugs_list.stool:P1E0,RaymondF_2016.metaphlan_bugs_list.stool:P20E0,RaymondF_2016.metaphlan_bugs_list.stool:P21E0,RaymondF_2016.metaphlan_bugs_list.stool:P22E0,RaymondF_2016.metaphlan_bugs_list.stool:P23C0,RaymondF_2016.metaphlan_bugs_list.stool:P23C7,RaymondF_2016.metaphlan_bugs_list.stool:P23C90,RaymondF_2016.metaphlan_bugs_list.stool:P25C0,RaymondF_2016.metaphlan_bugs_list.stool:P25C7,RaymondF_2016.metaphlan_bugs_list.stool:P25C90,RaymondF_2016.metaphlan_bugs_list.stool:P2E0,RaymondF_2016.metaphlan_bugs_list.stool:P38C0,RaymondF_2016.metaphlan_bugs_list.stool:P38C7,RaymondF_2016.metaphlan_bugs_list.stool:P38C90,RaymondF_2016.metaphlan_bugs_list.stool:P3E0,RaymondF_2016.metaphlan_bugs_list.stool:P4E0,RaymondF_2016.metaphlan_bugs_list.stool:P5E0,RaymondF_2016.metaphlan_bugs_list.stool:P6C0,RaymondF_2016.metaphlan_bugs_list.stool:P6C7,RaymondF_2016.metaphlan_bugs_list.stool:P6C90,RaymondF_2016.metaphlan_bugs_list.stool:P7C0,RaymondF_2016.metaphlan_bugs_list.stool:P7C7,RaymondF_2016.metaphlan_bugs_list.stool:P7C90,RaymondF_2016.metaphlan_bugs_list.stool:P8C0,RaymondF_2016.metaphlan_bugs_list.stool:P8C7,RaymondF_2016.metaphlan_bugs_list.stool:P8C90,RaymondF_2016.metaphlan_bugs_list.stool:P9E0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum,0.06358,0.02649,0,0.24812,0,0,0,0,0,0.29255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41592,0.44812,0.76446,0.15909,0,0,0,0,0,0.03864,0.27047
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens,0.0568,0.00962,0.00831,0.00681,0,0.01461,0,0.01356,0.00779,0.19428,0.01007,0.00934,0.01325,0.00324,0.00384,0.00129,0.02653,0.01646,0.00683,0.21768,0.02881,0.07481,0.13842,0.13558,0,0,0.20046,0.28023,0.04745,0.08984,0.09406,0.16636,0.0269,0.02456,0.0248,0.00431
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus,0.04117,0,0,0,0,0,0,0.00063,4.00E-04,0,0,0,0,0.00708,0.0077,0.00667,4.00E-04,0.00354,0,0,0,0,0,0,0.00278,0.00387,0,0,0.00021,0.00014,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus,0.03866,0.01016,0,0,0.00617,0.06799,0.01284,0.03979,0.05709,0.01481,0.0152,0.02833,0,0.00193,0.01741,0.00184,0.00367,0.02884,0.00627,0.02074,0.03681,0.03407,0.05213,0.03297,0,0.01168,0,0,0,0.00768,0.0118,0.03584,0,0,0,0.01288
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris,0.03646,0,0,17.75246,2.18879,20.20202,0,0,0.29052,0,0,38.02592,28.89363,1.59712,1.01389,6.5744,0,0,0,0,2.78996,3.64661,2.38036,0.00059,0,0,0.00456,0.00593,0.00617,8.86679,1.25311,7.56683,0.00052,0,0,3.49586
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Pseudoflavonifractor|s__Pseudoflavonifractor_capillosus,0.03606,0.014,0.03859,0.01974,0.00504,0,0.01807,0.00033,0.00625,0.07421,0,0.0088,0.01989,0.06023,0.04562,0.01256,0.00421,0.00269,0.00759,0.01143,0.08903,0.14299,0.03264,0.00126,0,0,0.02287,0.02273,0.01349,0.00114,0.00342,0.00185,0,6.00E-05,0,0.03879
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_unclassified,0.03285,0.01033,0.02591,0.00012,0,0.00748,0.03353,0.00823,0,0.01279,0,0.04512,0.01826,0.00191,0.01363,0.0014,0.03281,0.01598,0.00361,0.00083,7.00E-05,0.00044,0.00195,0.01939,0.04822,0.06145,0,0.02082,0.00143,0,0,0,0.12173,0.14729,0.09678,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_unclassified,0.03128,0.00195,0,0.02836,0.03521,0,0,0,0.11119,0.86153,0.00411,0.00055,0.00518,0,0.05095,0.02751,0.04587,0.04321,0.01099,0.0098,0.02417,0.09592,0.01365,0.00086,0.00174,0,0.04507,0.08425,0.07792,0.02564,0.022,0.2181,0,0,0,0.01472
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_1_57FAA,0.02935,0,0,0.03026,0,0,0,0.11391,0.01934,0,0,0,0.01215,0.24881,0.05164,0.06718,0,0,0,0.01117,0.0335,0.05846,0.0172,0,0,0.42275,0,0,0,0,0.00964,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis,0.02931,0.0034,0.32318,0.00834,0,0,0.04021,0.21091,0.00232,0,0.00287,0.10482,0.01217,0.07136,0.04297,0.03132,0.00131,0.00032,0.00418,0.0054,0.0063,0.04209,0,0.00421,0,0,0.07382,0.06971,0.05521,0.00175,0.00303,0.00922,0.09279,0.03882,0.0138,0.00767
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_asparagiforme,0.02884,0.01707,0.09277,0.00504,0.00122,0.00186,0.01065,0.02584,0.0269,0.29107,0.03854,0.02373,0.02555,0.01704,0.0106,0.006,0.00419,0,0.00514,0.04597,0.04145,0.03669,0.01389,0.00156,0.00085,0.00666,0.0258,0.01897,0.01569,0.01207,0.00513,0.00545,0.0012,0.00629,0.00205,0.04497
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae,0.02851,0.01219,0.69741,0.00244,0,0.00603,0.02942,0.08223,0.01949,0.3908,0.11757,0.18037,0.02543,0.03558,0.02985,0.01919,9.00E-05,0.0014,0.00013,0,0.01402,0.006,0.00561,0.00075,0.01193,0.05116,0.00056,0,0,0.00562,0.0016,0,0.02111,0.05964,0.00883,0.01214
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus,0.02804,0,0,0.01436,0,0.24472,0,0.00739,0.01172,0,0.02451,0.00673,0,0,0.03887,0.00527,0.24558,0.08351,0.17961,0,0.00408,0.01136,0,0,0.0081,0.24576,0,0.00756,0.01611,0,0,0.01492,0,0.02589,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus,0.02772,0.06295,0,0.0806,1.53729,0.01872,0.06815,0.15213,0.04105,0.08041,0,0,0.33011,0.23098,0.41157,0.37049,0.00117,0.00014,0.00991,0.05842,0.11727,0.30185,0.04727,0,0,0,0,0,0,0.04588,0.03212,0.04114,0.31754,0.19257,0.30296,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena,0.02248,0.0516,0.00846,0.69096,0.48252,0.03896,0.05849,0.10811,0.26469,0,0.00609,0.01193,0.02443,0.10991,0.00937,0.06772,0.05879,0.10967,0.03747,0.01027,0.01617,0.01941,0.00439,0.09768,0.0869,0.04114,0.26386,0.909,0.37975,0.01375,0.00165,0.01392,0.02015,0.06759,0.03104,0.06337
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_symbiosum,0.02204,0.00378,0.1229,0,0,0,0.01935,0.00683,0.03265,0,0.05377,0.01196,0.02267,0.03954,0.06941,0.025,0,0,0,0.00085,0.00761,0.0088,0.0026,0,0.00294,0.0163,0.00282,0.00644,0.00709,0,0,0,0.01352,0.02161,0.00464,0.00411
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sputorum,0.01919,0,0,0,0,0.00823,0,0,0,0,0,0,0,0,0,0,0.00976,0.01351,0.00245,0,0,0,0,0,0.00232,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_57FAA_CT1,0.01917,0.00363,0.04122,0.01865,0,0,0.00342,0.02368,0.00109,0,0,0.05016,0.00463,0.00897,0.31173,0.0035,0,0,0,0.00551,0.00124,0.00416,0.00162,0,0,0.28252,0.00857,0.02224,0.00558,0.00085,0,0.00018,0.09455,0.08816,0.03465,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Clostridiales_bacterium_1_7_47FAA,0.01656,0.01284,0.04416,0,0,0,0,0.01515,0.00213,0.10278,0.04195,0.03562,0.0223,0.00381,0.00134,0.0021,0.01202,0.00431,0.00402,0.00866,0.00353,0.00413,0,0,0,0,0.00801,0.00273,0.00011,0.00425,0,0,0.00901,0.01221,0.00233,0.00622
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_citroniae,0.01421,0.02619,0.04563,0,0,0.00501,0.00045,0.02416,0.0025,0,0.0395,0.00622,0.0176,0.00949,0.01283,0.00622,0,0.00073,0.00022,0.00233,0.00461,0.00163,0.00253,0,0,0.01853,0.00624,0.00443,0.00445,0,0,0,0.00369,0.00667,0.00469,0.00552
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_hathewayi,0.01351,0,0.07057,0.00124,0.00071,0,0.00202,0.02332,0.0615,0.01312,0.00256,0.01146,0.00308,0.00385,0.04232,0.03892,0,0,0.00232,0.08198,0.00187,0.00995,0.00349,0,0,0.01954,0.00899,0.00961,0.00047,0.01054,0.0046,0.00205,0.02144,0.02213,0.01023,0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia,0.01245,0.17341,0,0.08839,1.59224,0.04548,0.08195,0.12316,0.02121,0.22052,0.01432,0.04077,0.0417,0.0066,0.01369,0.01292,0.00193,0.00148,0.00352,0.08787,0.01021,0.0166,0.00341,0,0.00425,0.04955,0.1043,0.11556,0.09072,0.02303,0.07703,0.01471,0,0,0,0.00267
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa,0.01083,0,0,0,0,0.00345,0,4.00E-05,0,0,0,0.00012,0,0.00289,0.00466,0,0.00561,0.00934,0.00496,4.00E-04,0,0,0,0,0.00042,0,0.013,0.02132,0.03008,0,0,0.00116,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_leptum,0.01061,0.00353,0,0.01725,0.00547,0.0373,0.00255,0.07658,0.0684,1.00521,0.3253,0.05793,0.01443,0.12774,0.52648,0.02472,0.02905,0.03261,0.0051,0.00075,0.02274,0.01617,0.0083,0.00549,0,0.04704,0.16622,0.13031,0.02779,0.06649,0.01071,0.01863,0.01276,0.55117,0.20118,0.01075
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus,0.00994,0.02011,0.0893,0.0163,0.02375,0.08889,0.0018,0,0.02656,0,0,0.01551,0.04712,0.00078,0,0.00822,0.02187,0.0812,0.01236,5.00E-05,0.06091,0.09545,0.076,0.1286,0,0.20757,0.00781,0.03403,0.00529,0.01497,0.00465,0.01403,0.00114,0.00044,0.00131,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hydrogenotrophica,0.00987,0,0,0,0,0,0,0.00125,0,0,0.0136,0.01622,0,0.01263,0.01352,0.01298,0,0,0,0,0,0,0,0,0,0,0,0.00344,0.0026,0,0,0,0,0,0,0.00123
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_johnsonii,0.00974,0,0,0,0.04696,0,0,0,0,0,0,0,2.50978,0,0,0,0,0,0,3.27508,0,0,0,0.18642,0,0,0,0,0,1.56421,1.32079,0.44229,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_turicensis,0.00952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron,0.00946,0.24182,0,0.3557,0,0.64286,0.00157,0,0.0861,0.52386,1.40161,0,4.38638,0.31197,0.26686,0.71336,0.12843,0.07707,0.20319,0.10797,0.15873,0.28046,0.20427,1.47844,0,0,0,0,0,0.057,0.04279,0.18512,0,0,0,0.99771
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_4_56FAA,0.00934,0,0.00532,0,0.02119,0,0,0,0,0,0.00152,0.01459,0.00029,0,0,0,0,0,0,0,0.00092,0.00078,0.00312,0,0,0,0,0,0,0,0,0,0.03412,0.01894,0.01137,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Aerococcaceae|g__Abiotrophia|s__Abiotrophia_defectiva,0.00911,0,0,0,0,0,1.00E-04,0,0,0,0,0,0,0,0,0.00211,0,0,0,0,0,0,0,0,0.00198,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname|s__Burkholderiales_bacterium_1_1_47,0.00793,0.05581,0,0.87184,0.00617,1.13943,0.02015,0.24723,0.00395,0.05431,0.04129,0.02045,0.25539,0.06172,0.01765,0.05112,0,0,0,0.03804,0.37128,0.15727,0.19506,0,0,0,0.11465,0.08981,0.25329,0.00944,0.02102,0.01026,0.19082,0.14487,0.11515,0.02464
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula,0.00783,0.0039,0.01059,0.04753,0,0.07907,0.01728,0.03589,0,0,1.04756,0,0.01382,0.00364,0.00269,0.00337,0.03162,0.16266,0.03363,0.01003,0.003,0,0.02173,0.0576,0.02051,0.00832,0.0104,0.02036,0.03097,0.01048,0.11089,0.45857,0.00191,0.00453,0.00924,0.15224
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_2_1_58FAA,0.00753,0,0,0,0.00098,0,0,0.00111,0,0,9.00E-05,0.02524,0,0,0,0,0,0,0,0,0,0,0,0,0.00071,0,0,0,0,0,0,0,0.00058,0.00805,0.00136,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_dispar,0.00704,0,0.00118,0.00724,0,0.00737,0,6.00E-05,0,0,0.0087,0,0.00022,0,0,0,0.00124,0.08323,0.00589,0.00153,0.00075,0,0.00216,0.04973,0.01195,0,0.00202,0.00067,0.00316,0.00208,0.00953,0.01788,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_asaccharolytica,0.00682,0,0,0,0,0,0,0.00166,0.00128,0,0.00114,0,0,0,0,0.0018,0,0,0,0,0,0,0,0,0,0,0,0.00014,0,0.00077,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii,0.00634,0.00851,0,0.09704,0.01218,0.02131,0.04658,0.08697,0.08444,0,0.02054,0.03367,0.01628,0.09514,0.15501,0.02812,0.01208,0.03492,0.0115,0.01225,0.05272,0.05775,0.03429,0.00431,0,0.01005,0.04887,0.21489,0.03687,0.00558,0.01215,0.03391,0.01387,0.0404,0.00353,0.0049
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae,0.00629,0,0,0,0,0,0.22855,0,0,0,0,0,0,0,0,0,0.00505,0,0,0,0,0,0,0,0,0.07042,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_bennonis,0.00423,0,0,0,0,0,0,0.00055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01842,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus,0.00379,0,0,0.0071,0,0.00054,0.00701,0.00416,0.00246,0,0.06381,0,0,0.0298,0.04354,0.01118,0.02237,0.03449,0.01356,0.01052,0.01334,0.00804,0.01382,0.0156,0,0.01747,0.01932,0.04197,0.02202,0,0,0.00708,0.00512,0.00657,0.00063,0.00728
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_unclassified,0.00324,0,0,0,0,0,0,0,0.00213,0.01847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00153,0,0,0.00191,0,0,0.00098,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae|g__Granulicatella|s__Granulicatella_unclassified,0.00256,0,0,0,0,0.00118,0.00152,0.00112,0.00244,0,0.00168,0,0,0.00084,0.00087,6.00E-04,0.00421,0.00876,0.00411,0,0.00066,0,0,0,0.00084,0,0,0,0.00105,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii,0.00181,0,0,0.06905,0.019,0.00051,0.13465,0,0.00676,0.00124,0,0,0.05022,0,0,0,0.04681,0.03997,0.13868,0.09294,0,0,0,0,0,0,0,0,0,0.00223,0.00406,0.00668,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii,0.00153,0,0,0,0.10537,0,0,0,0.52823,0.02802,0,0,0,0,0,0,0.31318,0.15125,0.50239,0,0,0,0,0.25607,0,0,0,0,0,0.01964,0.06931,0.05545,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_noname|s__Ruminococcaceae_bacterium_D16,0.00124,0.01467,0.2278,0.00408,0.01634,0.15974,0,0.9199,0.00402,0.08173,0,0.18418,0.00145,0.91647,0.37256,0.56275,0.00257,0.00244,0.00245,0.00144,0.07042,0.08683,0.07268,0,0,2.00E-04,0.01005,0.0092,0.01248,0.00501,0.00328,0.00535,0.00201,0.00469,0.00199,1.72766
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_buccalis,0.00119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus,0.00113,0.33763,0,0.08028,0,0.31111,0.00222,0,0,0,0,0,0,0.12023,0.03458,0.19243,0.33011,0.24213,0.0384,0.1422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei,0.00109,0.04274,0,5.9951,0.01033,0,0.06175,0.83359,0.13928,0.03674,0,0,0,0.00251,0.00382,0.00538,0,0,0,4.61287,0,0,0,15.75952,0,0.41566,1.72041,1.80617,7.43691,0.21097,0.17695,2.17354,43.8531,25.07955,26.61932,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA,0.00099,0,0.00079,0.00707,0,0.00157,0.00655,0.00158,0.00221,0,0.02342,0.00016,0.00022,0.00954,0.01294,0.00448,0.02349,0.03053,0.01203,0.02455,0.00999,0.01033,0.01151,0.01515,0.00068,0.06608,0.00445,0.01767,0.0122,0.00014,0,0.00215,0.00508,0.00649,0.00103,0.00529
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Bacillales_noname|g__Gemella|s__Gemella_unclassified,0.00088,0,0,0,0,0.00023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_unclassified,0.00058,0,0,0,0.00252,0,0,0,0,0.00615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00034,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Oxalobacter|s__Oxalobacter_formigenes,0.00042,0,0,0.01445,0.02075,0,0,0,0.03089,0.05435,0,0.23339,0,0,0,0,0,0,0,0.01383,0,0,0,0,0,0.01852,0,0,0,0.63857,0.79262,0.70357,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_uenonis,0.00038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00038,0,0,0,0,0,0,0,0,0,0,0,0.00174,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_lenta,0.00034,0.00061,0,0,0,0,0,0.00028,0,0.00144,0,0.00188,0.00472,0,0,0,0.00931,0.00531,0.00099,0,0,0,0,0,0,0.01492,0.01655,0.02693,0.00723,0,0,0,0.00237,0.00292,0.00064,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis|t__GCF_000154465,9.66183,15.49741,0,12.16844,1.59067,5.61265,9.08606,0.01672,2.10855,11.49139,0,1.84094,6.30998,16.41898,7.77177,12.87277,8.48343,6.87067,10.53392,14.71431,15.966,21.40478,11.38822,0,0,15.79806,10.59027,10.45134,10.4125,16.98401,20.94167,13.43709,12.20977,9.51416,12.69414,13.94979
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques|t__Ruminococcus_torques_unclassified,5.98247,1.56401,0.67651,0.08157,0.65383,0.19878,0.37999,0.12315,0.65394,0.10481,0.37829,2.96065,0.06507,0.67012,0.2461,1.09808,0.22724,0.38517,0.08873,0.40466,0.29629,0.25933,1.22286,0.1021,0.00434,0.14618,0.04751,0.39473,0.33783,0.19795,0.26879,0.08455,0.0566,0.11556,0.06914,0.1028
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale|t__Eubacterium_rectale_unclassified,5.9244,0.2376,0,2.08902,2.2324,6.47603,1.68123,3.22183,0,0,0.679,0.30504,1.23785,0.00312,0.00275,0.11459,3.40516,2.38571,1.51163,0.69043,1.12647,0.58807,2.74678,0.25311,0.9113,2.84816,2.31875,3.39068,4.83005,3.13876,2.9152,2.25521,0.39893,1.54664,0.85387,0.3341
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus|t__Bacteroides_vulgatus_unclassified,4.98647,10.92388,0,1.11564,1.4454,3.06558,1.19768,6.87968,1.08537,0.56796,11.16842,0.52213,0,0.76103,0.38544,1.70215,4.59687,7.51364,6.37681,1.11259,7.14979,4.35161,9.99669,0.03047,2.19765,11.16141,0,0.00043,0.24224,0.51068,0.75393,1.80277,0.00029,0,0,20.54816
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii|t__GCF_000374505,4.74089,0.35885,0,0.41486,0.48936,0.85903,21.01625,1.02858,0.80405,1.84774,0,8.00E-05,1.15304,4.72965,3.63067,8.27807,0,0,0,1.84563,0.76056,1.28563,0.26113,2.489,0,2.86793,3.65022,3.70505,3.54539,1.23556,2.28596,2.16232,0,0,0,0.06689
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__Bacteroides_uniformis_unclassified,4.4426,17.03606,0,2.58525,4.80189,4.21849,5.42849,18.35356,2.03327,8.08977,13.35153,9.51114,8.4809,10.78624,7.15169,22.34396,8.07249,10.6758,10.35504,0.17854,0,0.04067,0,12.05902,0.55166,0,0,4.93466,0,0.7319,3.3463,10.79166,11.86997,25.17557,23.49318,0.55489
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis|t__GCF_000172175,4.18844,0.89743,0,0,0,0,3.84164,0,0.37782,0,0,0,4.80145,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7123,0.09648,0.77812,0.01883,0.11347,0.22123,0,0,0,1.46817
