sample,RaymondF_2016.metaphlan_bugs_list.stool:P10E0,RaymondF_2016.metaphlan_bugs_list.stool:P11E0,RaymondF_2016.metaphlan_bugs_list.stool:P12E0,RaymondF_2016.metaphlan_bugs_list.stool:P13E0,RaymondF_2016.metaphlan_bugs_list.stool:P14E0,RaymondF_2016.metaphlan_bugs_list.stool:P15E0,RaymondF_2016.metaphlan_bugs_list.stool:P17E0,RaymondF_2016.metaphlan_bugs_list.stool:P18E0,RaymondF_2016.metaphlan_bugs_list.stool:P19E0,RaymondF_2016.metaphlan_bugs_list.stool:P1E0,RaymondF_2016.metaphlan_bugs_list.stool:P20E0,RaymondF_2016.metaphlan_bugs_list.stool:P21E0,RaymondF_2016.metaphlan_bugs_list.stool:P22E0,RaymondF_2016.metaphlan_bugs_list.stool:P23C0,RaymondF_2016.metaphlan_bugs_list.stool:P23C7,RaymondF_2016.metaphlan_bugs_list.stool:P23C90,RaymondF_2016.metaphlan_bugs_list.stool:P25C0,RaymondF_2016.metaphlan_bugs_list.stool:P25C7,RaymondF_2016.metaphlan_bugs_list.stool:P25C90,RaymondF_2016.metaphlan_bugs_list.stool:P2E0,RaymondF_2016.metaphlan_bugs_list.stool:P38C0,RaymondF_2016.metaphlan_bugs_list.stool:P38C7,RaymondF_2016.metaphlan_bugs_list.stool:P38C90,RaymondF_2016.metaphlan_bugs_list.stool:P3E0,RaymondF_2016.metaphlan_bugs_list.stool:P4E0,RaymondF_2016.metaphlan_bugs_list.stool:P5E0,RaymondF_2016.metaphlan_bugs_list.stool:P6C0,RaymondF_2016.metaphlan_bugs_list.stool:P6C7,RaymondF_2016.metaphlan_bugs_list.stool:P6C90,RaymondF_2016.metaphlan_bugs_list.stool:P7C0,RaymondF_2016.metaphlan_bugs_list.stool:P7C7,RaymondF_2016.metaphlan_bugs_list.stool:P7C90,RaymondF_2016.metaphlan_bugs_list.stool:P8C0,RaymondF_2016.metaphlan_bugs_list.stool:P8C7,RaymondF_2016.metaphlan_bugs_list.stool:P8C90,RaymondF_2016.metaphlan_bugs_list.stool:P9E0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,1.93314,0.05649,0.07884,0.24395,0.07822,2.57392,0.49117,0.02459,0.00902,0.2202,0.37934,1.34842,0.13873,0.47631,0.12772,0.94038,2.03859,1.95779,0.7506,0.12567,0.00049,0.00576,0.1238,0.07173,0.16079,0.12128,0.03391,0.19531,0.10369,0.07945,0.13286,0.02839,0.03417,0.03028,0.09691,0.91299
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,1.50765,1.23811,0,0.42683,2.81062,0.40655,0.64303,0.71777,0.78547,2.62762,1.25361,0.94899,0.61028,0.5861,0.61357,0.50397,0.03619,0.02473,0.0429,0.57626,0.46191,0.46799,0.218,0,0.08919,0.35139,2.2023,2.34792,1.87269,0.39855,0.93743,0.57597,0,0.00033,0,0.05867
k__Bacteria|p__Firmicutes|c__Negativicutes,0.44694,3.75803,1.33529,7.29666,0.8711,4.72449,0.04942,16.57706,2.37318,0,9.13819,8.53415,3.87778,4.5972,1.2123,1.32408,1.05607,5.72606,0.52128,0.49992,0.01502,0.01311,0.07081,0.28218,18.55559,14.80249,0.02439,0.03151,0.07362,0.03256,0.16592,0.63177,3.31012,5.75459,5.70282,0.26765
k__Archaea|p__Euryarchaeota|c__Methanobacteria,0.16343,0,0,0.99417,0.25843,0,0,0,2.00447,0.06943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12613,0.27274,0.06486,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia,0.15206,0.09979,0.58584,0.04635,0.36986,0.03434,0.10563,0.21166,0.34894,0.01376,0.13533,0.35601,0.09716,0.52682,0.74262,0.37525,0.07702,0.07128,0.09452,0.02506,0.24753,0.26664,0.19918,0.03818,0.02946,0.05546,0.02911,0.025,0.01828,0.03066,0.02305,0.03112,0.13482,0.23282,0.09817,0.02353
k__Bacteria|p__Firmicutes|c__Bacilli,0.04059,0.03519,0.01039,0.19633,0.00541,0.36414,0.03747,0.05291,0.19307,0,0.06233,0.02041,0.00689,0.13448,0.38363,0.14376,0.41136,0.68519,0.43677,0.077,0.04527,0.07366,0.13823,0.10472,0.06787,0.26987,0.13676,0.33906,0.10907,0.00447,0.0664,0.02976,0.00043,0.02751,0.00313,0.13154
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,55.81586,78.06068,83.38699,65.45092,76.48672,68.2806,82.88841,49.08675,30.59498,46.39813,76.40174,56.41318,74.90151,55.11154,34.50243,78.88564,45.15545,52.13001,65.27345,83.74816,64.32448,68.74935,65.49086,67.32368,73.73269,63.7245,58.17451,62.58748,74.50709,54.1747,50.28437,59.41724,86.76038,76.82741,84.2923,84.46965
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,34.56196,9.81931,14.47798,19.82886,17.19678,20.66348,13.5096,19.39795,39.46065,29.75288,11.70102,23.86741,19.76082,36.05257,59.49541,15.42201,44.20144,31.47509,23.61426,13.7517,31.05221,28.84305,28.33613,19.81251,6.87918,18.90752,31.64794,19.91828,20.52559,37.54406,36.78741,28.02551,8.26904,15.70859,8.64909,12.43793
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,2.64702,0.58712,0,3.78344,0.00338,0.54724,1.25487,5.59738,0.1516,2.39001,0.41514,0.04261,0.0379,1.16199,1.29004,0.38068,0.29494,0.87146,0.77985,0.03328,0.01458,0.00925,0.025,0.04244,0.40665,0.59292,6.40895,12.43923,1.42229,0.19942,0.31109,0.56736,0.13118,0.43495,0.35649,0.76588
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales,2.1029,6.05137,0.01034,1.02664,1.29752,2.19031,0.47967,0.25369,0.1109,0.31146,0.3071,0.34907,0.45497,0.47381,0.04118,1.05066,5.85623,6.19096,2.47739,0.17656,3.70474,1.37347,5.18856,11.88012,0,0.3331,0.12405,0.09523,0.28195,1.66087,1.59272,1.36442,1.20182,0.80289,0.67383,0.82592
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales,1.91395,0.02034,0.07884,0.2412,0.07822,0.01328,0.45554,0.02426,0.00514,0.2202,0.37934,1.34842,0.13859,0.47631,0.12772,0.93999,0.00505,0.02929,0,0.01024,0,0.00576,0.00236,0.0245,0.02901,0.12128,0.03391,0.19531,0.09855,0.06887,0.00885,0.02399,0.03417,0.02634,0.09691,0.7789
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales,1.50765,1.23811,0,0.42683,2.81062,0.40655,0.64303,0.71777,0.78547,2.62762,1.25361,0.94899,0.61028,0.5861,0.61357,0.50397,0.03619,0.02473,0.0429,0.57626,0.46191,0.46799,0.218,0,0.08919,0.35139,2.2023,2.34792,1.87269,0.39855,0.93743,0.57597,0,0.00033,0,0.05867
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales,0.56694,0.29391,0.11433,0.03399,0.62069,0.05413,0.53809,0.66141,0.40944,5.03903,0.20329,0.71148,0.06385,0.73335,1.23085,0.95055,0.07123,0.04916,0.01712,0.33679,0.13378,0.18519,0.18877,0.44357,0.05928,0.82628,0.82861,1.57455,0.39393,0.27065,0.21805,0.33353,0.151,0.17477,0.12222,0.08188
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales,0.44694,3.75803,1.33529,7.29666,0.8711,4.72449,0.04942,16.57706,2.37318,0,9.13819,8.53415,3.87778,4.5972,1.2123,1.32408,1.05607,5.72606,0.52128,0.49992,0.01502,0.01311,0.07081,0.28218,18.55559,14.80249,0.02439,0.03151,0.07362,0.03256,0.16592,0.63177,3.31012,5.75459,5.70282,0.26765
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales,0.16343,0,0,0.99417,0.25843,0,0,0,2.00447,0.06943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12613,0.27274,0.06486,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales,0.15206,0.09979,0.58584,0.04635,0.36986,0.03434,0.10563,0.21166,0.34894,0.01376,0.13533,0.35601,0.09716,0.52682,0.74262,0.37525,0.07702,0.07128,0.09452,0.02506,0.24753,0.26664,0.19918,0.03818,0.02946,0.05546,0.02911,0.025,0.01828,0.03066,0.02305,0.03112,0.13482,0.23282,0.09817,0.02353
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales,0.06151,0,0,0.00045,0,0.00345,0,0.00229,0.00199,0,0,0.00012,0,0.01011,0.01236,0.00667,0.00601,0.01288,0.00496,4.00E-04,0,0.00668,0.01216,0,0.00701,0.00387,0.013,0.02661,0.03029,0.00014,0,0.00116,0,0.00235,0.00132,0.02391
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,0.03971,0.03519,0.01039,0.19633,0.00541,0.36391,0.03747,0.05248,0.19307,0,0.06233,0.02041,0.00689,0.13448,0.38363,0.14376,0.41136,0.68519,0.43677,0.077,0.04527,0.07366,0.13823,0.10472,0.06787,0.26987,0.13676,0.33906,0.10907,0.00447,0.0664,0.02976,0.00043,0.02751,0.00313,0.13154
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales,0.01919,0.03615,0,0.00275,0,2.56064,0.03563,0.00033,0.00387,0,0,0,0.00013,0,0,0.00039,1.96312,1.9285,0.7506,0.07352,0.00049,0,0.12143,0.03844,0.12863,0,0,0,0.00514,0.01059,0.12401,0.00439,0,0.00394,0,0.13409
k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales,0.00088,0,0,0,0,0.00023,0,0.00043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,23.94268,51.16672,36.77283,33.80495,15.58275,54.01787,35.9635,31.11289,9.0114,14.6926,73.40891,51.79106,58.6515,15.61976,10.78644,38.08618,28.07861,39.22572,43.32249,47.52874,32.09307,21.84621,38.00171,51.72167,5.54086,24.63483,34.99084,34.46041,49.24025,12.10342,6.78113,25.72338,66.29828,60.83834,65.95087,53.06123
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae,16.98891,20.56973,3.01617,18.8492,8.14235,7.38254,33.96997,4.34945,5.48533,16.79139,0,2.58129,8.97132,27.0211,16.28844,24.34676,14.21699,9.8578,18.68662,17.12364,21.17895,30.61189,17.65,8.23281,0,21.61266,18.32581,19.35638,17.07794,22.28248,28.04519,18.83682,16.30203,12.82593,15.85113,17.81575
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,13.95453,3.25535,5.089,11.97615,7.14315,5.53419,5.99083,8.5286,29.83417,15.83534,4.62706,11.43081,8.84082,31.17522,53.52108,10.46349,14.50126,10.20986,14.88501,9.14923,5.23311,7.15398,5.4591,10.79178,4.11215,7.8891,21.51081,9.16049,8.41196,29.45303,30.67641,20.83043,5.42423,6.48811,4.62058,9.1971
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,10.71105,4.83549,1.59724,2.61975,3.10409,6.81974,2.22765,1.28701,5.5753,9.04703,1.66291,3.67863,4.88801,1.66702,1.80376,1.90681,9.1081,10.84154,4.02811,1.99148,21.97444,18.58054,17.96942,4.22203,1.73859,1.76799,1.43273,2.96904,3.46311,3.68362,1.81663,4.25311,0.77802,3.33594,0.90491,1.52208
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,9.8989,5.2622,43.598,12.07866,8.66371,6.43364,11.85257,10.53064,2.94488,12.51272,2.99283,2.04084,6.74113,9.10239,6.42451,10.13716,2.29563,2.65789,2.84381,6.87852,8.58937,13.24828,6.81359,7.36497,0.00072,17.25781,4.85785,8.76588,8.18844,18.38963,14.07801,14.08127,4.16007,3.16314,2.49031,12.82361
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae,7.05082,0.27597,4.23013,3.424,2.99256,7.63585,2.03574,3.44345,2.64079,1.27513,0.70314,3.16307,1.99661,0.34731,0.29216,0.16781,4.98184,4.05682,3.59991,1.10728,2.7628,1.32556,4.02172,4.39319,0.98395,3.06578,6.77209,5.99989,6.93498,3.86498,3.14495,2.58525,0.43879,1.87891,0.9141,0.339
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,3.5557,0,0,0,41.13543,0,1.10237,0.03396,10.53983,0,0,0,0,0.00213,0.00393,0.0662,0,0,0,9.19663,0,0,0,0.00423,68.1911,0.00299,0,0.0048,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,2.64702,0.58712,0,3.78344,0.00338,0.54724,1.25487,5.59738,0.1516,2.39001,0.41514,0.04261,0.0379,1.16199,1.29004,0.38068,0.29494,0.87146,0.77985,0.03328,0.01458,0.00925,0.025,0.04244,0.40665,0.59292,6.40895,12.43923,1.42229,0.19942,0.31109,0.56736,0.13118,0.43495,0.35649,0.76588
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae,2.3073,1.32184,1.88544,1.75078,3.70499,0.51132,3.16244,5.45745,1.14192,1.68282,3.73859,5.05861,3.79989,2.45298,3.06088,2.484,0.50491,0.6324,0.97031,1.1129,0.84557,1.47304,0.77634,0.39387,0.01032,5.6405,1.59607,1.50031,1.60504,0.43964,0.57676,0.32122,1.01867,1.46287,1.23738,1.19169
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae,2.09455,5.99556,0.01034,0.14035,1.2706,1.05088,0.45952,0.00645,0.07606,0.2028,0.26581,0.09522,0.19957,0.4121,0.02353,0.99954,5.85296,6.19096,2.47739,0.12399,3.33347,1.21619,4.99351,11.88012,0,0.31457,0.00941,0.00542,0.02865,1.01286,0.77908,0.65059,1.01101,0.65802,0.55868,0.80128
