sample,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-48,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-47,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-10,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-9,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-8,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-1,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-14,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-13,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-12,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-11,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-15,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-17,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-16,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-19,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-18,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-2,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-21,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-20,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-23,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-22,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-24,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-29,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-25,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-26,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-27,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-28,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-3,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-36,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-35,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-39,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-30,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-31,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-32,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-33,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-34,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-38,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-37,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-42,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-41,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-40,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-44,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-43,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-4,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-45,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-46
k__Bacteria|p__Firmicutes|c__Clostridia,1.67621,3.64425,17.51922,3.84658,19.32657,4.00308,33.18638,13.13983,14.71248,9.70447,9.73286,11.33207,10.5359,6.45223,24.38098,4.87641,4.86084,8.60935,3.34917,15.30027,11.31536,27.56293,3.79393,31.47195,42.9697,2.48029,6.94843,2.08968,8.75943,30.94395,3.9026,10.96483,10.83016,11.17465,1.02707,10.89425,3.22376,14.92547,1.84083,8.88027,31.10994,1.93971,4.78305,54.75439,8.56582
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,1.01155,76.2574,1.89925,0.17326,0.39491,0.80233,3.37053,1.23199,6.28489,0.15053,0.33721,2.0604,0.64661,0.23946,5.15546,0.66636,1.10008,0.01912,0.01519,1.06425,2.1026,0.98494,5.2178,0.27841,3.34477,0.2963,75.54506,20.84685,0.15354,5.34898,0.61356,0.2664,0.17175,0.68713,8.3181,0.83231,1.2564,3.70017,0.47522,2.06272,0.48315,13.67662,2.2135,0.49444,7.43656
k__Bacteria|p__Firmicutes|c__Negativicutes,0.28869,3.30577,0.14611,0.80146,0.04265,0.00455,13.58526,3.89401,0.04276,0.21953,0.46476,1.97726,11.543,0.15902,0.52128,1.71162,0.53925,0.01445,0.19028,0.00549,0.90724,1.42492,0,8.59157,0.94014,0.03994,1.01834,0.79072,5.17323,0.00592,7.89759,0.00257,0.17334,0.40616,0.01905,0.05608,3.69245,1.59759,0.20434,2.57268,0.56809,1.24245,2.44063,0.00603,6.00226
k__Bacteria|p__Actinobacteria|c__Actinobacteria,0.05607,0.08584,0.11147,0.00543,2.92988,0.91351,0.12844,0.58821,0.11016,0.144,0.06606,2.85118,6.17638,0.01758,0.99996,0.29977,0.2366,0.15608,0.09356,0.59835,0.22808,0.00662,0.11516,0.36165,1.35333,0.03255,0.71084,21.1965,0.90934,1.18882,0.07504,6.00E-04,0.2253,0.05527,0.0197,0.04233,0.21855,0.12665,0,1.02681,0.39924,4.76201,0.02073,0.09741,5.83363
k__Bacteria|p__Synergistetes|c__Synergistia,0.0401,0,0,0,0.12477,0,0.00212,0,0,0,0,0,0,0,0,0.03812,0,0,0,0,0,0,0,0,0,0,0,0.39636,0,0.14575,0,0.06109,0,0,0,0,0,0,0,0.00951,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,0.02501,0.19651,0.01191,2.34882,9.75916,0,3.25949,1.71781,1.22711,0.06214,1.41107,0.64538,1.84298,0.05988,0.40672,1.9298,0.0106,0.56242,1.09648,0.29601,0,0.46759,0,2.43572,0.73553,0.02082,0.00941,0.22567,0.87642,0.63719,0.1798,4.07146,3.84939,2.56194,0,2.0603,0.02125,0.02592,0,3.17074,2.26998,0.32362,0.1678,1.59869,1.2909
k__Viruses|p__Viruses_noname|c__Viruses_noname,0.01176,0,0,0.04395,0,0,0,0.13403,0,0,0.01716,0.01034,0.05841,0,0.01926,0.08055,0.27237,0,0,0.04848,0.01111,0,0.06434,0,0,0,0,0,0.27379,0.12451,0.01485,0,0.01045,0,0.01398,0.2765,0,0.10729,0,0.01589,0,0,0.00478,0,0
k__Bacteria|p__Firmicutes|c__Bacilli,0.00114,0.00353,0.04202,0.00168,0.08297,0.00577,0.0484,0.01037,0.00799,0.01197,0,0.00272,0.02136,0.00599,0.04855,0.05493,0.00566,0.00062,0.01027,0.0693,0.00659,0.00054,0,0.0771,0,0.00832,0.01749,0.03314,0,0.17535,0,0,0.05813,0.01507,0.00183,0.00374,0.07354,0.00427,0.00027,0.00049,0.04369,0.62866,0.05048,0,0.01847
k__Bacteria|p__Firmicutes|c__Erysipelotrichia,0.00068,0.00873,0.09914,0,0,0,0.07069,0.00486,0.02353,0,0.02921,0.00033,0,0,0.00582,0.07255,0.00243,0.01191,0.03112,0.00784,0.05607,0.0993,0,0.0065,0.00505,0.00129,0,0.00184,0.02092,0.17234,0,0,0.01091,0,0,0.00026,0,0,0.02752,0,0,0.00491,0.0067,0.00593,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,91.73539,15.3005,78.6659,91.04639,67.03823,72.55525,42.81644,77.78864,76.80767,89.21542,86.81911,79.15484,68.96178,93.02942,62.40621,76.94363,91.54673,80.348,94.86467,81.80584,83.60624,68.51658,90.61555,55.78604,50.20788,95.46261,15.47424,53.11231,83.18627,61.03889,86.96165,78.20366,84.026,83.5351,90.51335,85.7887,86.13139,78.70528,96.83555,82.17653,64.00302,74.97506,90.05177,33.04451,70.69513
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales,5.15341,1.19689,1.50499,0.13582,0.18741,21.71551,3.53224,1.36633,0.66727,0.43207,1.12255,1.94855,0.21357,0.03529,5.99702,7.81669,1.36095,10.05503,0.34925,0.79602,1.76671,0.88875,0.19322,0.97895,0.44207,1.61923,0.26454,1.177,0.64451,0.2183,0.3549,0.13027,0.64456,1.25765,0.08691,0.04552,5.24086,0.27425,0.61627,0.08091,0.86673,1.76363,0.07587,1.10112,0.15365
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,1.67621,3.64425,17.51922,3.84658,19.32657,4.00308,33.18638,13.13983,14.71248,9.70447,9.73286,11.33207,10.5359,6.45223,24.38098,4.87641,4.86084,8.60935,3.34917,15.30027,11.31536,27.56293,3.79393,31.47195,42.9697,2.48029,6.94843,2.08968,8.75943,30.94395,3.9026,10.96483,10.83016,11.17465,1.02707,10.89425,3.22376,14.92547,1.84083,8.88027,31.10994,1.93971,4.78305,54.75439,8.56582
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales,1.00698,76.24928,1.89925,0.17326,0.39491,0.67208,2.91475,1.23199,6.28282,0.13388,0.19411,1.61019,0.56298,0.16696,5.11601,0.4239,1.08716,0.01912,0.01082,1.04458,2.09992,0.95609,5.12058,0.26256,3.32064,0.28736,75.54506,20.84685,0.06241,5.34377,0.5992,0.2664,0.16421,0.39894,8.3181,0.5764,0.31185,3.61648,0.47522,2.02852,0.48315,13.55811,2.16439,0.467,7.43656
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales,0.28869,3.30577,0.14611,0.80146,0.04265,0.00455,13.58526,3.89401,0.04276,0.21953,0.46476,1.97726,11.543,0.15902,0.52128,1.71162,0.53925,0.01445,0.19028,0.00549,0.90724,1.42492,0,8.59157,0.94014,0.03994,1.01834,0.79072,5.17323,0.00592,7.89759,0.00257,0.17334,0.40616,0.01905,0.05608,3.69245,1.59759,0.20434,2.57268,0.56809,1.24245,2.44063,0.00603,6.00226
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales,0.0401,0,0,0,0.12477,0,0.00212,0,0,0,0,0,0,0,0,0.03812,0,0,0,0,0,0,0,0,0,0,0,0.39636,0,0.14575,0,0.06109,0,0,0,0,0,0,0,0.00951,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,0.02948,0.00906,0.03817,0.00078,1.76415,0.73747,0.0213,0.11267,0.06779,0.11602,0.0471,2.6717,5.41451,0,0.28731,0.00099,0.18205,0.03386,0.08738,0.1146,0.14825,0.00558,0.11516,0.33073,0,0.02131,0.68516,20.96534,0.90934,0.21989,0,0,0.21377,0.04051,0.0197,0.00104,0.10128,0.06051,0,0.85667,0.13149,4.74441,0.01841,0.0326,5.38388
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales,0.02659,0.07679,0.07329,0.00465,1.16573,0.17604,0.10714,0.47554,0.04237,0.02799,0.01896,0.17948,0.75711,0.01758,0.70708,0.29878,0.04669,0.12222,0.00619,0.48375,0.07983,0.00104,0,0.03092,1.35333,0.01124,0.02568,0.23115,0,0.96893,0.07504,6.00E-04,0.01154,0.01476,0,0.04129,0.11727,0.06614,0,0.16947,0.26775,0.01761,0,0.06231,0.44975
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales,0.02501,0.19651,0.01191,2.34882,9.75916,0,3.25949,1.71781,1.22711,0.06214,1.41107,0.64538,1.84298,0.05988,0.40672,1.9298,0.0106,0.56242,1.09648,0.29601,0,0.46759,0,2.43572,0.73553,0.02082,0.00941,0.22567,0.87642,0.63719,0.1798,4.07146,3.84939,2.56194,0,2.0603,0.02125,0.02592,0,3.17074,2.26998,0.32362,0.1678,1.59869,1.2909
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname,0.01176,0,0,0.04395,0,0,0,0.13403,0,0,0.01716,0.01034,0.05841,0,0.01926,0.08055,0.27237,0,0,0.04848,0.01111,0,0.06434,0,0,0,0,0,0,0.12451,0.01485,0,0.01045,0,0.01398,0.2765,0,0,0,0.01589,0,0,0.00478,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales,0.00457,0.00812,0,0,0,0.13025,0.44461,0,0.00208,0.01665,0,0.40907,0.08364,0.05504,0.03946,0.24247,0.01292,0,0.00438,0.00183,0.00268,0.02884,0.03273,0.01585,0.01267,0.00894,0,0,0.07262,0.00521,0,0,0,0.28576,0,0.25591,0.94454,0.08369,0,0.0342,0,0.11851,0.04911,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,0.00114,0,0.04202,0.00168,0.08297,0.00577,0.0484,0.01037,0.00799,0.01197,0,0.00272,0.02136,0.00599,0.04855,0.05493,0.00566,0.00062,0.00425,0.0693,0.00032,0.00054,0,0.0771,0,0.00832,0.01749,0.03314,0,0.17535,0,0,0.05813,0.01507,0.00183,0.00374,0.07354,0.00158,0.00027,0.00049,0.04369,0.62866,0.05048,0,0.01847
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales,0.00068,0.00873,0.09914,0,0,0,0.07069,0.00486,0.02353,0,0.02921,0.00033,0,0,0.00582,0.07255,0.00243,0.01191,0.03112,0.00784,0.05607,0.0993,0,0.0065,0.00505,0.00129,0,0.00184,0.02092,0.17234,0,0,0.01091,0,0,0.00026,0,0,0.02752,0,0,0.00491,0.0067,0.00593,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,78.34457,6.4328,31.43144,3.93176,0.64824,0.08253,0.3027,58.41677,0.33202,0.28458,0.18793,0.13332,0.13883,91.22211,49.18185,0.09272,44.9129,5.09581,0.02109,0.03064,0.00621,4.21224,0.14846,0.05902,0.07929,92.43342,2.27259,0.67115,0.80548,48.3982,83.51682,0.1041,0.00624,0.17745,89.975,2.98162,82.27003,72.14858,63.88457,1.45942,31.31987,49.07447,81.85858,0.21752,1.73364
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,6.88872,1.80262,14.19731,83.11237,32.78611,71.77639,31.01422,10.70464,44.77209,77.08907,78.69422,72.40277,45.77,1.00028,7.51001,75.42034,43.12589,53.14137,54.95187,70.60208,79.22661,41.6789,86.00708,32.28948,33.82527,2.56197,6.59223,5.66309,53.65856,7.51238,1.04081,29.78336,39.57344,38.96579,0.28793,53.38559,2.79581,6.11117,10.57064,63.59528,15.19287,12.04845,1.15784,21.02698,47.95022
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae,6.17954,5.51491,24.95389,1.65996,31.83978,0.01282,5.45474,5.59924,28.22863,11.19599,4.22577,4.57318,19.76476,0.5917,4.51602,0.03054,1.41295,16.62323,36.42356,2.97393,0.00993,17.22657,0.95697,22.14854,10.11456,0.37928,4.64568,41.22341,20.1536,4.77986,2.26954,43.19743,32.66351,40.3464,0.2389,21.82853,0.8145,0.04205,17.24395,12.20018,8.9105,9.98589,6.01695,9.64714,15.8252
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae,5.12415,1.19128,1.50392,0.02605,0.18348,21.71551,2.10735,1.28649,0.3265,0.43207,0.50348,1.93074,0.20763,0.01653,5.98469,7.81144,1.03039,9.77865,0.11536,0.20661,1.76671,0.60773,0.11424,0.54911,0.22423,1.48678,0.11042,1.177,0.18541,0.09417,0.3549,0.03883,0.61065,0.39469,0.08691,0.00627,5.21012,0.07217,0.02522,0.02537,0.21668,1.76363,0.07556,0.41578,0.03589
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,1.00698,76.24928,1.89925,0.17326,0.39491,0.67208,2.91475,1.23199,6.28282,0.13388,0.19411,1.61019,0.56298,0.16696,5.11601,0.4239,1.08716,0.01912,0.01082,1.04458,2.09992,0.95609,5.12058,0.26256,3.32064,0.28736,75.54506,20.84685,0.06241,5.34377,0.5992,0.2664,0.16421,0.39894,8.3181,0.5764,0.31185,3.61648,0.47522,2.02852,0.48315,13.55811,2.16439,0.467,7.43656
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,0.76842,2.07981,8.84988,1.25089,10.00705,3.57085,9.44972,9.66636,10.94207,5.95187,6.66468,5.52398,6.10555,5.67636,19.26519,3.23385,1.60374,4.41875,1.83685,11.04353,2.96501,7.50451,0.74774,11.09234,22.46773,0.87056,5.01885,1.37859,3.16657,26.69125,1.3699,8.80299,5.68812,5.70161,0.25647,3.69614,2.70522,10.07645,0.27832,5.76184,21.8548,0.43974,1.93582,26.8826,6.34445
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae,0.42962,0.30068,0.60086,0.64884,0.48098,0,4.45891,0.17308,1.65411,0.03233,0.71264,0.12296,0.49114,0.07722,0.31676,0,0.06182,0.32143,0.86293,0.39987,0,1.54372,0,0.10531,0.32986,0,0.05805,0.03212,0.04284,0.49098,0.02506,0.38726,4.06696,1.95743,0.00136,0.03153,0.00472,0,0,1.18972,0.09113,0.15593,0.33234,0.65404,0.64107
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,0.32255,0.75213,6.21344,2.3423,1.75897,0.67776,5.96426,2.46563,3.47493,0.64578,3.70201,2.04528,1.28996,0.16081,0.92556,1.40003,2.07713,4.94313,3.46816,8.19918,4.3635,4.73786,3.50304,1.28901,6.18877,0.04664,0.64488,2.96986,8.29413,0.34846,0.13449,4.76099,3.95216,4.04453,0.01153,5.05515,0.20987,0.40348,5.13639,1.24405,5.55706,3.8296,0.27596,2.15126,1.66652
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae,0.28869,0.21359,0.14611,0.80146,0.04265,0.00422,10.53809,0.04335,0.04276,0.21953,0.46476,1.97726,11.53008,0.15902,0.52128,1.71162,0.05022,0.01445,0.19028,0.00549,0.90724,1.42492,0,8.59157,0.94014,0.03994,1.00258,0.79072,0.15718,0.00592,0.85352,0.00257,0.17334,0.40616,0.01905,0.05113,0.38675,1.59759,0.20434,2.55431,0.56809,1.24245,0.20163,0.00513,5.9787
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,0.28519,0.98003,3.24937,1.86553,2.57555,0.23567,5.63858,2.71718,1.88401,0.89325,1.74374,2.13191,1.38281,0.30867,1.67466,0.73945,1.84489,2.7869,0.53052,2.50291,6.48793,8.33941,1.9953,3.41082,18.8901,0.17386,0.65551,0.14661,4.15637,1.73061,0.23951,1.55686,0.42076,1.39788,0.29345,3.20029,0.15152,1.74623,1.09841,0.99066,6.36213,0.90104,2.17295,27.01978,1.46288
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae,0.18512,0.25152,4.62855,0.0136,6.00007,0.12784,12.85397,0.55475,0.01164,2.82703,0.40114,3.55257,2.13814,0.38999,3.08434,0.02367,1.0576,1.02567,0.02989,1.08475,1.6551,6.71709,0.9607,16.79476,1.18161,1.43587,1.21602,0.21692,1.36284,2.01794,2.26814,0.21772,0.46684,1.99947,0.00396,3.96493,0.3623,3.06711,0.01375,0.91575,2.79808,0.37296,0.34071,0.05148,0.10263
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae,0.0401,0,0,0,0.12477,0,0.00212,0,0,0,0,0,0,0,0,0.03812,0,0,0,0,0,0,0,0,0,0,0,0.39636,0,0.14575,0,0.06109,0,0,0,0,0,0,0,0.00951,0,0,0,0,0
