sample,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-48,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-47,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-10,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-9,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-8,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-1,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-14,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-13,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-12,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-11,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-15,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-17,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-16,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-19,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-18,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-2,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-21,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-20,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-23,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-22,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-24,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-29,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-25,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-26,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-27,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-28,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-3,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-36,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-35,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-39,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-30,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-31,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-32,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-33,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-34,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-38,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-37,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-42,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-41,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-40,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-44,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-43,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-4,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-45,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-46
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,0.01533,0.00906,0.00449,0,0.00793,0,0.00191,0.00214,0.00539,0.03332,0,0.95627,0.00072,0,0.03542,0,0,0,0.08068,0,0,0,0,0,0,0.00382,0.45459,19.63117,0,0,0,0,0,0.00346,0,0,0.00912,0,0,0.71152,0,0,0.0028,0,4.08612
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Parasutterella|s__Parasutterella_excrementihominis,0.01533,0,0.00705,0.02605,0.18348,0,2.03703,0.31603,0.3265,0.00045,0.49394,0.00632,0.18857,0.01283,0.00811,0,0.35809,0.00799,0.11536,0.20661,0,0.60773,0.11424,0.54911,0.22423,0.02882,0.11042,0,0.18541,0.09417,0,0.03883,0.61065,0.39469,0,0.00627,0,0.07217,0.02522,0.02537,0.21668,0,0,0.41454,0.03023
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus,0.01416,0,1.24492,0,0.01454,0,0.00797,0.00556,6.00E-04,0.11005,0,0,0.02137,0.03777,0.02565,0,0.00015,0.02946,0,0,0,0.10974,0,0.00485,0.66427,0.0064,0.07779,0,0,0.0184,0.0199,0.06933,0.00388,0.1538,0,0.04153,0.01923,0,0,0.00902,0.02451,0,0.04257,0,0.01888
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens,0.01297,0.04108,0.10594,0.0236,0.13269,0.00411,0.27808,0.12583,0.02039,0.14485,0.35264,0.15173,0.03717,0.00193,0.0237,0.05382,0.3306,0.07659,0.03038,0.6809,0.10361,0.071,0.00164,0.22167,0.12664,0.00303,0.09633,0.13962,0.21528,0.04074,0.01229,0.10682,0.13106,0.33116,0,0.02618,0.00529,0.01741,0.76657,0.08064,0.11003,0.03963,0.00494,0.04715,0.00908
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Gammaretrovirus|s__Murine_osteosarcoma_virus,0.01176,0,0,0.01871,0,0,0,0,0,0,0.01716,0,0,0,0,0,0,0,0,0,0.01111,0,0.04432,0,0,0,0,0,0,0.014,0,0,0,0,0,0,0,0,0,0.01589,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum,0.01134,0,0,0,0,0.01598,0,0,0,0,0.02125,0,3.18785,0,0.20941,0,0.081,0,0,0,0,0,0,0,0,0.01749,0.08416,0.40796,0,0,0,0,0.13969,0,0,0,0.00064,0,0,0,0,0,0,0,0.68913
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis,0.00982,0,0,0,0,0,0.45796,0.18613,0.00134,0.00425,0.00488,0,0,0,0,0.009,0.00595,0.00141,0.02791,0.15094,0,0,0,0.14475,0,0,0,9.00E-04,0,0,0,0.07077,0.09376,0.48954,0,0.01373,0,0,0,0.0038,0.58269,0,0,0.71179,0.00961
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis,0.00818,0,0.22215,0,0.00232,0,0.37448,0.14697,1.08631,0.02828,0.02618,0.03236,0.6727,0.08632,0.37443,0.00428,0.37604,0,0.00106,0.39475,3.22656,0,1.51073,1.09888,1.25853,0.01528,0.46185,0.02427,0.85883,0.04102,0.01899,0.25567,0.00392,0.27333,0,0.11193,0,0.00212,0,0.14034,0,0,0.44736,0.11789,0.96751
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Flavonifractor|s__Flavonifractor_plautii,0.00786,0,0,0.00507,0.04675,0.00646,0.04623,0,0.00271,0,0.101,0,0.38461,0,0.00666,0.16209,0.21873,0.02816,0.04126,0.14045,0.02402,0.052,0.04194,0.0036,0.01115,0,0,0.08165,0.00365,0.01317,0,0,0.09274,0.06154,0.00759,0,0,0.00182,0.01755,0.00213,0,0.02044,0,0.00718,0.00755
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_stercorea,0.00664,4.05146,21.3776,0.0109,0.2011,0.00819,0.0267,17.09203,0.08442,0.07473,0.00052,0.00327,0.00428,27.27409,0.00077,0.02253,7.18112,0.00119,0,0,0,0,0.00932,0.00473,0.00683,0,1.3126,0.03436,0,0.03052,0.30335,0.01118,0.00285,0.04555,0.02287,0.09585,15.20042,56.74594,0.01202,0.15245,14.11178,0.06123,6.43241,0.04746,0.33262
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified,0.00501,0.0157,0,0,0.00346,0,0,0.00833,0.0217,0,0.00125,0.10282,0.2052,0.02983,0.01453,0.07337,0.00361,0,0.00802,0,0.00424,0.00701,0,0.02792,0,0.0076,0.0168,0.05951,0,0.00147,0,0.00257,0.01742,0.10619,0.00363,0.01684,0.10856,0.01726,0.00671,0.00165,0,0.53417,0.10609,0,0.0095
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae,0.00457,0.00812,0,0,0,0.13025,0.44461,0,0.00208,0.01665,0,0.40805,0.08364,0.0507,0.03946,0.24164,0.01292,0,0.00438,0.00183,0.00268,0.02884,0.03273,0.01585,0.01267,0.00894,0,0,0.07262,0.00521,0,0,0,0.28576,0,0.25591,0.85443,0.08369,0,0.0342,0,0.11851,0.04911,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas|s__Megamonas_rupellensis,0.00453,0,0.00635,0.00331,0.00158,0,0,0,0,0,0.0411,0.0085,0.50371,0,0.00073,0,0.00118,0,0,0,0,0,0,0.0963,0,0,0.00325,0,0,0,0,0,0,0,0,0.00286,0,0,0,0,0,0,0.00102,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,0.00281,0,0.0056,0,1.05251,0.39564,0.0019,0.00522,0.04123,0.03023,0.00122,1.64237,0.91069,0,0.03883,0.00099,0.06861,0.03386,0.0067,0.1146,0.10534,0.00558,0,0.33073,0,0,0.12257,0.84355,0.58684,0.14551,0,0,0.05013,0.01107,0.00053,0.00104,0.04197,0.02323,0,0.14515,0.00773,0,0.00408,0,0.57555
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_xylaniphila,0.00221,0,6.00E-04,0.00457,0,0,0,0,0,0,0,0,0,0.00148,0,0,0.00147,0.01551,0,0,0,0,0,0,0,0,0,0.00026,0.02842,0,0,0,0,0,0,0.04186,0,0,0,0.00622,0.05196,0,7.00E-04,0,0.01434
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_7_1_58FAA,0.00189,0.05337,0.00059,0.00395,0,0,0.09067,0.00631,0.00421,0,0.05422,0.00091,0.07098,0.00205,0,0.00191,0.15414,0.00159,0.01204,0,0,0.00508,0.00178,0.00413,0.01672,0,0,0.01575,0,0.00259,0,0,0.02287,0.04772,0,0,0,0.0012,0,0,0.02907,0.00679,0,0.00196,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis,0.00114,0.00052,0.02213,0,0.01625,0.00085,0.00655,0.06678,0.01439,0.00251,0.00215,0.00453,0.00342,0.00143,0,0.00125,0.05458,0.01657,0.00235,0.12016,0,0,0.00056,0.00303,0,0,0.09809,0.00576,1.07771,0.00917,4.00E-04,0.18249,0.05621,0.00651,0,0.01507,0.00222,0,0.00418,0.00685,0.04248,0.01315,0.01727,0.00327,0.00703
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_murinus,0.00114,0,0,0,0,0,0,0,0,0,0,0,0,0.00572,0,0,0,0.00062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01531
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas|s__Megamonas_funiformis,0.00107,0,0.01778,0.17302,0,0,0,0,0,0,0.02304,0.00625,0.29034,0,0.00437,0.18462,0,0,0,0,0,0,0,0.36353,0,0,0,0,0.01203,0,0,0,0,0,0,0,0,0.29877,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris,0.00094,0,3.42304,14.54276,0.26487,7.57935,0.24414,0.97777,22.87018,4.05048,23.39802,1.25069,5.90363,0.08642,0.2787,0.04814,0.10422,0.05442,31.34228,23.9771,0.03136,0.00789,20.85906,4.05643,0.03634,0.11849,0.65318,0.15327,37.38906,0.34754,0.17823,1.1028,25.83269,8.98844,0.01567,5.05579,0.14874,0.00604,0.00586,12.53989,0.82301,2.45165,0.34745,0.00734,17.27962
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii,0.00071,0,0.03106,0,0,0,0.17668,0.00549,0,0.00104,0,0.00182,0,0,0,0,0,0.00817,0.05232,0.11309,0,0.28377,0,0,0,0,0,0.15427,0.00397,0.00029,0,0.01339,0.00051,0.1501,0,0.00535,0,0.00054,0,0,0,0,0,0.01823,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_unclassified,0.00068,0,0,0,0,0,0.05429,0,0.00674,0,0.0088,0.00033,0,0,0,0,0,0.00375,0.01368,0,0.01292,0,0,0.00481,0,0,0,0,0.02092,0.00445,0,0,0.01091,0,0,0,0,0,0,0,0,0.00491,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis,0.00049,0.00908,0.01858,0.18121,1.466,0.004,0.27343,0,0.84604,0.33882,0.29275,0.24053,0.60358,0.01152,0.03985,0.00837,0.37201,0.11129,1.22656,3.68987,1.9436,0.00059,0.00163,0,0.59992,0.01622,0.01602,0.02811,3.15158,0.05674,0.01188,0.02871,2.35238,0.0045,0,0.01592,0.06407,0.34055,0.83916,0.21341,0.91122,0.15128,0.01369,0.29104,0.04834
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,0.00025,0.07853,0,0,0.00694,0.09705,1.50471,0.02198,0,0,3.21451,0.34616,0.04391,0.00968,0.00109,0.04516,0.00253,0.72678,0.9038,0.83179,2.32122,7.06001,0,0.32514,1.00903,0.00117,0.03689,1.27349,0,0.0045,0,0,0,0.00294,0,0.01824,0.11166,1.06471,4.47693,0.00137,0.12769,0.00145,0.0076,2.12793,0.04937
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri|t__GCF_000157935,78.11845,2.35585,9.8596,0.1039,0.44714,0.07434,0.27119,39.60372,0.2476,0.20986,0.18741,0.12926,0.13455,63.32352,48.40014,0.07019,37.63967,0.2418,0.02109,0.03064,0.00621,0.01815,0.13463,0.05429,0.07246,92.43342,0.9588,0.09598,0.01606,48.36767,83.21347,0.09154,0.00339,0.13146,89.95056,0.45918,67.044,15.40264,63.87255,0.72309,15.02003,48.98904,75.30252,0.17006,0.99011
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis|t__GCF_000154465,6.17954,1.76703,19.30034,1.40479,24.30528,0.01123,0.06386,0.71914,21.75922,8.63362,0.18915,4.14058,11.24141,0.41088,4.03856,0.0179,0.46201,6.40773,30.4529,0.01539,0.00938,17.22385,0.01724,18.29203,9.32422,0.20543,3.23361,19.73343,16.26586,3.21323,2.23004,29.81998,22.21055,30.37124,0.23635,18.87176,0.42846,0.03086,10.07369,6.99635,5.35798,4.40012,4.73252,0.01901,13.39343
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius|t__GCF_000187895,5.1114,0.0817,3.50618,51.04245,0.14694,3.19977,0.2686,1.50027,0.09699,65.02288,1.00069,30.66386,28.18777,0.22426,3.3533,14.91225,0.13368,0.04585,0.00692,0.02214,0.00135,0.00483,11.7862,8.33035,0.01655,0.22654,0.06023,0.04846,0.00928,3.20085,0.07486,19.78718,6.01376,15.82102,0.11453,7.57975,0.21024,0.01071,0.01503,19.89364,1.60634,0.00327,0.0723,0.03832,5.17625
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis|t__GCF_000186505,2.93956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis|t__Sutterella_wadsworthensis_unclassified,2.16926,0,0.91623,0,0,21.71551,0.07032,0,0,0,0.00954,1.92442,0.01906,0,0,0.00852,0,0,0,0,1.76671,0,0,0,0,0.58643,0,1.177,0,0,0,0,0,0,0.08691,0,0.03769,0,0,0,0,0,0.05048,0.00124,0.00566
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__Bacteroides_uniformis_unclassified,0.78149,1.20114,1.54341,1.60615,1.26774,0.04733,2.80521,0.48728,14.56581,4.25741,0.26159,0.71551,4.29318,0.11384,0.37681,0.07551,0.88895,15.21321,10.31833,25.56792,2.66023,10.37619,1.32985,12.76793,3.22823,0.06923,0.02297,0.21176,1.24836,0.20883,0.05079,0.63915,2.33496,0.22899,0.04965,1.01403,0.08938,0.3395,0.00414,3.7992,3.89851,0.61557,0.14514,4.00193,1.19838
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__Faecalibacterium_prausnitzii_unclassified,0.7061,1.65635,5.88075,0.01919,6.47637,3.39754,5.9557,8.83155,5.60794,5.60673,5.99005,4.45254,5.16617,5.19187,18.19542,0.48262,0.76898,2.55597,1.00253,3.43741,2.0997,6.55212,0.71282,6.69864,19.63205,0.79465,3.04525,0.95032,2.60779,25.75185,1.13592,6.08689,1.2133,3.14782,0.0293,2.94333,2.43112,8.4498,0.21648,4.09193,18.8366,0.32308,1.73636,26.56674,3.95288
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola|t__GCF_000154845,0.61208,0.00454,0.55445,0.00607,0.04356,38.83522,0.34428,0.18381,0.02163,0.01208,0.4574,37.90596,0.69434,0.25278,0.63469,21.4006,0.16702,0.03951,0,0.00181,0,0.00348,0.03008,0.00621,0.00761,0.00226,2.87688,0.58078,0,0.01636,0,0.00796,0,0.00672,0.03725,22.49783,0.52188,2.10154,0.00533,0.044,0.02231,0.0025,0.05773,6.88693,0.01057
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae|t__Klebsiella_pneumoniae_unclassified,0.4825,0,0,0.05958,0,0.3352,0,0.31086,0,0,0.04388,0.01719,0,0.12451,2.23291,0.06331,0.00483,0,0,0.09057,0.13526,0.00429,0.25375,0,0.05575,0,12.65481,0,0,0.23159,0.2429,0,0.03283,0.03724,0.01498,0,0.01043,0.32041,0.16928,0.53239,0.14499,13.09363,0.15892,0.00749,0.02727
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae|t__Parabacteroides_merdae_unclassified,0.32206,0.03125,0.24403,0.31717,0.04227,0.03547,0.03942,1.14439,2.26434,0.30124,0.00733,1.6627,0.01236,0.12573,0.54843,0.57065,1.08605,0.01554,1.1841,4.50861,0,0.00144,0,0.62612,3.77159,0.00191,0.2417,1.35029,1.94255,0.11395,0.11827,1.25513,0,1.50212,0.01153,1.33172,0.09763,0.06294,0,0.16106,1.56783,0.86146,0.09673,0,0.57896
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__Escherichia_coli_unclassified,0.21846,46.39964,1.87305,0.10425,0.25629,0.19094,2.38426,0.80021,3.12194,0.06612,0.06414,0.44854,0.41338,0.01222,1.39872,0.23869,0.87436,0.01912,0.00307,0.92765,1.40428,0.69971,2.03088,0.19103,2.18522,0.19251,34.01127,12.86011,0.0566,1.95787,0.22454,0.13164,0.11046,0.20184,5.62399,0.2854,0.11479,2.00014,0.21049,0.7159,0.28955,0.29322,0.9592,0.27522,7.38409
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus|t__Bacteroides_vulgatus_unclassified,0.17844,0.06993,0.47225,11.76657,24.1791,21.57186,12.83861,0.27847,2.664,0.84719,19.21292,0.49341,0.27244,0.07197,0.68442,2.18117,2.48406,3.75214,0.03969,9.17542,0.00954,0.01392,12.79744,1.89255,24.27051,0.10683,1.40884,0.47564,1.28571,0.45589,0.06621,1.60992,2.52871,2.73783,0.0535,0.30401,0.11889,1.21843,0.01148,0.11569,2.95712,0.33726,0.15002,5.77487,21.47439
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis|t__GCF_000225345,0.17405,0.73392,1.47041,0,0,0,0.05785,0.95092,0.28975,0.50344,0,0,0,0.03227,0.01226,0.01576,0.07156,1.58172,0.36122,0.176,0.02082,2.48871,0,0.07335,0.02808,0.0093,0.0011,0.00904,0.11246,0.47589,0.00219,0.01012,0.21093,0.02484,0.01481,0.05847,0,0,0,0.01615,1.19037,0.08714,0.00354,4.00E-04,0.01821
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale|t__Eubacterium_rectale_unclassified,0.13425,0.01669,1.40385,0.00137,5.88434,0.10733,10.52321,0.03466,0.00421,0.00041,0.03069,3.51483,0.05329,0.02655,2.21051,0.0139,0.131,0.00149,0.01819,0,1.53575,0.0011,0.88287,13.65318,0.1271,1.32993,1.16061,0.21648,1.2515,0.87473,2.25384,0.11865,0.0125,1.01348,0.00396,2.22176,0.11313,2.69396,0,0.80542,1.77611,0.36984,0.03277,0.0119,0.08219
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans|t__GCF_000174195,0.10107,0.06724,0.3564,0.9185,1.44247,0,3.37686,0.34448,0.31137,0.12633,1.40881,0.95512,0.12887,0.12009,0.2403,0.5911,0.21108,0.06569,0.02417,0.84915,2.24666,0.63159,0.41107,0.80523,15.44559,0.10483,0.13196,0.02464,0.8224,0.4007,0.15744,0.12157,0.00126,0.36074,0.00581,0.769,0.0275,0.30979,1.06368,0.03985,0.39114,0.36186,0.00783,5.5352,0.40028
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus|t__GCF_000160055,0.09468,0,0,0,0,0,10.49829,0,0,0,0,0,0,0,0,0.00495,0,0,0,0,0.89944,1.39146,0,0,0.94014,0,0,0.26882,0,0,0,0,0.14772,0.14529,0.00137,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus|t__Bacteroides_ovatus_unclassified,0.07163,0.01664,0.13428,0.01261,0.07945,0.19785,2.99646,0.44315,1.18399,0.57437,5.17483,0.34144,1.82408,0.01708,0.03651,0.32569,2.97143,3.89191,0.82529,0.24056,9.60054,2.22188,3.67682,1.26648,4.42073,0.02656,0.03975,0.53537,0.05417,0.01583,0.03595,0.34816,0.23106,1.39403,0.00388,0.42431,0.01383,0.17324,0.00286,0.33164,1.89194,0.04196,0.02266,0.70523,1.04234
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas|s__Megamonas_hypermegale|t__GCF_000209975,0.06126,0,0.00782,0.00879,0,0,0,0,0,0,0.10156,0.35935,2.49898,0,0.0099,0,0,0,0,0,0,0,0,1.62888,0,0,0,0,0.01509,0,0,0,0,0,0,0.00185,0.01504,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_clara|t__GCF_000233955,0.05725,0.00088,0.08355,0.81319,0,0,0,0.17632,0,0,0,0,0,0.04255,0.07363,0,0.02891,0.59385,0,0,0,0.5566,0,0,0,0,0,0.13286,0.30848,0,0,0,0,0,0,0.67342,0.00124,0,0,0.11367,0.46566,0.00829,0.02576,0,0.15302
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae|t__Bacteroides_caccae_unclassified,0.04293,0.03095,0.77311,0.03315,0.85422,0.11787,7.1074,0.00494,1.0229,0.12821,1.60071,0.06394,0.59039,0.02396,0.03943,0.00177,0.57301,4.46311,1.05403,0.00148,0.00044,0,2.98659,2.29489,0,0.01573,0.06802,0.41969,0.79484,0.01935,0.00841,0.20866,0.68988,0.4735,0.00101,0.34106,0.01911,0,0,0.08816,0.07956,0.75215,0.16439,0,1.27944
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Pyramidobacter|s__Pyramidobacter_piscolens|t__GCF_000177335,0.0401,0,0,0,0.12477,0,0.00212,0,0,0,0,0,0,0,0,0.03812,0,0,0,0,0,0,0,0,0,0,0,0.39636,0,0.14575,0,0.06109,0,0,0,0,0,0,0,0.00951,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron|t__Bacteroides_thetaiotaomicron_unclassified,0.03254,0.00092,0.47292,0.13701,0.08271,0.09154,0.43403,5.39228,0.56067,0.21888,0.27861,0.37486,0.49695,0.00549,0.04044,0.356,0.50444,3.86242,0.16944,8.38099,1.02154,1.30719,2.29264,0.94523,7.00E-04,0.00024,0.07228,0.1009,0,0.12341,0.00891,0.04268,0.20131,0.8463,0.0072,0.77518,0.07854,0.50739,2.33806,0.13568,0.52841,0.17067,0.02462,0.60348,0.09106
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei|t__Bacteroides_dorei_unclassified,0.03238,0.24285,0.00904,0,0.6327,0.01284,0.14914,0.0992,0.00144,0.0318,0.13253,0.01466,2.91839,0.01537,0.02928,12.71693,0.66662,0.01178,9.92848,0.14411,63.47239,20.22234,0.01219,0.02186,0.02647,0.01062,0.06079,0.14982,0.33911,0.05483,0.03248,0.32705,0.06785,0,0.00197,0.27302,0.04492,0.09439,0,18.16454,0.7107,0.54493,0.03203,0.01199,0.02235
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname|s__Burkholderiales_bacterium_1_1_47|t__GCF_000144975,0.02925,0,0.00107,0.10977,0.00392,0,1.42489,0.07984,0.34077,0,0.61517,0.00604,0.00594,0.00363,0.01234,0,0.32263,0.00282,0.23388,0.58941,0,0.26645,0.07898,0.42746,0.21784,0.13244,0.15412,0,0.4591,0.12413,0,0.03951,0.0339,0.86295,0,0.03925,0,0.20047,0.59105,0.05554,0.51119,0,0.00031,0.66892,0.11776
