sample,LiJ_2017.metaphlan_bugs_list.stool:nHF409542,LiJ_2017.metaphlan_bugs_list.stool:nHF411719,LiJ_2017.metaphlan_bugs_list.stool:nHF411741,LiJ_2017.metaphlan_bugs_list.stool:nHF511704,LiJ_2017.metaphlan_bugs_list.stool:nHF512818,LiJ_2017.metaphlan_bugs_list.stool:nHF512829,LiJ_2017.metaphlan_bugs_list.stool:nHF611623,LiJ_2017.metaphlan_bugs_list.stool:nHF611710,LiJ_2017.metaphlan_bugs_list.stool:nHF612722,LiJ_2017.metaphlan_bugs_list.stool:nHM410714,LiJ_2017.metaphlan_bugs_list.stool:nHM410727,LiJ_2017.metaphlan_bugs_list.stool:nHM410833,LiJ_2017.metaphlan_bugs_list.stool:nHM411801,LiJ_2017.metaphlan_bugs_list.stool:nHM412703,LiJ_2017.metaphlan_bugs_list.stool:nHM412716,LiJ_2017.metaphlan_bugs_list.stool:nHM412839,LiJ_2017.metaphlan_bugs_list.stool:nHM412844,LiJ_2017.metaphlan_bugs_list.stool:nHM510732,LiJ_2017.metaphlan_bugs_list.stool:nHM510737,LiJ_2017.metaphlan_bugs_list.stool:nHM510831,LiJ_2017.metaphlan_bugs_list.stool:nHM511615,LiJ_2017.metaphlan_bugs_list.stool:nHM511712,LiJ_2017.metaphlan_bugs_list.stool:nHM511717,LiJ_2017.metaphlan_bugs_list.stool:nHM511720,LiJ_2017.metaphlan_bugs_list.stool:nHM511730,LiJ_2017.metaphlan_bugs_list.stool:nHM511735,LiJ_2017.metaphlan_bugs_list.stool:nHM511738,LiJ_2017.metaphlan_bugs_list.stool:nHM511813,LiJ_2017.metaphlan_bugs_list.stool:nHM511821,LiJ_2017.metaphlan_bugs_list.stool:nHM512705,LiJ_2017.metaphlan_bugs_list.stool:nHM512802,LiJ_2017.metaphlan_bugs_list.stool:nHM512806,LiJ_2017.metaphlan_bugs_list.stool:nHM512811,LiJ_2017.metaphlan_bugs_list.stool:nHM512828,LiJ_2017.metaphlan_bugs_list.stool:nHM512834,LiJ_2017.metaphlan_bugs_list.stool:nHM611708,LiJ_2017.metaphlan_bugs_list.stool:nHM612607,LiJ_2017.metaphlan_bugs_list.stool:nHM612709,LiJ_2017.metaphlan_bugs_list.stool:nHM612724,LiJ_2017.metaphlan_bugs_list.stool:nHM612743,LiJ_2017.metaphlan_bugs_list.stool:nHMX11726
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,8.22823,0,0,5.43418,3.85287,0,0.03674,0.40974,4.74618,2.15312,0.91755,3.27654,0.04474,3.6546,4.31011,1.71074,4.1649,3.13671,0,0,1.5713,9.50634,3.23851,0,2.29093,0.81389,1.32797,0.38165,0.77905,1.96616,0.18354,0,0.58156,0.00241,1.76431,1.40078,0,0.01867,3.19998,3.83187,0.45603
k__Bacteria|p__Actinobacteria|c__Actinobacteria,0.26796,3.46141,0.16755,0.19014,0.41556,15.22807,3.27916,0.27391,0.67792,1.62337,0.1866,0.82828,14.52037,1.63673,0.24877,3.50986,0.84474,1.00081,0.10288,0.78354,8.77353,2.09291,9.55522,1.36798,1.27138,0.02693,0.37287,0.03286,2.30639,0.21883,0.78081,0.2161,0.07507,0.03859,3.02352,4.5293,2.68962,6.74812,3.94434,0.4187,0.06009
k__Bacteria|p__Firmicutes|c__Erysipelotrichia,0.09847,0.0446,0,0.08383,0,0,0.04194,0.03167,0.05997,0.30925,0.11269,0.09259,0,0.09461,0.34725,0.0038,0.0853,0.03184,0.0077,0,0.09821,0.34453,0.05939,0.04363,0.21774,0,0.06448,0.03744,0.07625,0.09177,0,0.0017,0.03059,0.0254,0,0.0166,0.06489,0.01925,0,0.14405,0.08762
k__Bacteria|p__Firmicutes|c__Negativicutes,0,2.55057,0.04854,0.01099,0.64291,3.78279,0.01974,3.33486,0.04257,0.08454,0.99568,0,3.24635,0,0.04102,0.91734,0.06281,8.21606,0.98999,0.77758,2.35749,0.11164,12.16609,0.01733,4.98119,6.09265,0,0.01063,0.00491,0.95761,0.20251,0.0744,0.2332,1.34462,1.6765,1.50538,1.18075,1.81914,0.04806,0.38276,0.15067
k__Viruses|p__Viruses_noname|c__Viruses_noname,0,0,0,0.00954,0.01435,0,0.42372,0,0,0.01496,0.01841,0.11797,0.0307,0,0,0,0,0.00233,0,0,0,0.04371,0,0,0,0.00515,0,0,0,1.40544,0,71.93861,0,0.00479,0.03329,0.01376,0.03417,0.00821,0,0,0.11546
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,0.46736,0.94475,0.6894,0.00301,0.52973,1.33533,0.82769,0.79324,1.03788,0.23779,0.95869,0.28269,16.42879,0.99561,2.61875,26.29447,7.65171,0.21353,0.15427,0,0.81871,0.88892,0.23372,1.87954,0.85919,14.80841,0.1733,0.4513,0.23467,5.55821,0.3101,1.83274,1.47242,1.75451,0.74938,10.47985,0,54.85282,9.38086,0.82267,0.25402
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales,7.44402,0.39585,0.42547,45.37836,0.3458,1.66753,0,0.00848,1.20878,0.32783,2.23504,12.49987,52.73542,3.08848,0.01035,0.15419,1.51336,14.49233,0.74009,0.65672,0.60644,0.70834,42.02482,0.5646,0.07917,3.73091,1.89517,0.28732,37.33106,0.76103,0.15582,3.30914,0.43828,3.68982,0.82794,0.53991,1.39012,1.75501,0,9.72314,0.40273
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,71.86891,68.29209,83.63257,32.11486,42.98642,63.51934,46.10864,64.64908,75.97302,85.33388,83.83072,53.35091,1.35942,57.41151,57.07991,28.91446,52.90512,39.17234,92.06658,40.31064,18.20816,24.80638,13.56387,30.58761,62.57157,33.28447,66.36341,80.77318,24.39202,62.40009,86.23343,16.14073,62.33089,79.07173,13.1929,56.16234,34.65014,1.83574,44.39193,55.14782,82.43181
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,11.61503,24.27847,14.78274,16.77508,51.20849,3.0984,48.96409,30.21798,11.43391,9.91525,10.74434,29.55115,11.63233,32.5955,35.32498,38.49515,32.758,32.81012,5.89274,57.4253,65.81358,44.78347,19.05994,64.91432,27.71795,41.23436,29.47778,17.93061,34.67451,25.4634,11.83989,6.27765,34.48737,13.4223,78.69021,25.34201,59.86525,32.45477,34.98936,29.07457,15.56146
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales,8.22823,0,0,5.43418,3.85287,0,0.03674,0.40974,4.74618,2.15312,0.91755,3.27654,0.04474,3.6546,4.31011,1.71074,4.1649,3.13671,0,0,1.5713,9.50634,3.23851,0,2.29093,0.81389,1.32797,0.38165,0.77905,1.96616,0.18354,0,0.58156,0.00241,1.76431,1.40078,0,0.01867,3.19998,3.83187,0.45603
