sample,LiJ_2017.metaphlan_bugs_list.stool:nHF409542,LiJ_2017.metaphlan_bugs_list.stool:nHF411719,LiJ_2017.metaphlan_bugs_list.stool:nHF411741,LiJ_2017.metaphlan_bugs_list.stool:nHF511704,LiJ_2017.metaphlan_bugs_list.stool:nHF512818,LiJ_2017.metaphlan_bugs_list.stool:nHF512829,LiJ_2017.metaphlan_bugs_list.stool:nHF611623,LiJ_2017.metaphlan_bugs_list.stool:nHF611710,LiJ_2017.metaphlan_bugs_list.stool:nHF612722,LiJ_2017.metaphlan_bugs_list.stool:nHM410714,LiJ_2017.metaphlan_bugs_list.stool:nHM410727,LiJ_2017.metaphlan_bugs_list.stool:nHM410833,LiJ_2017.metaphlan_bugs_list.stool:nHM411801,LiJ_2017.metaphlan_bugs_list.stool:nHM412703,LiJ_2017.metaphlan_bugs_list.stool:nHM412716,LiJ_2017.metaphlan_bugs_list.stool:nHM412839,LiJ_2017.metaphlan_bugs_list.stool:nHM412844,LiJ_2017.metaphlan_bugs_list.stool:nHM510732,LiJ_2017.metaphlan_bugs_list.stool:nHM510737,LiJ_2017.metaphlan_bugs_list.stool:nHM510831,LiJ_2017.metaphlan_bugs_list.stool:nHM511615,LiJ_2017.metaphlan_bugs_list.stool:nHM511712,LiJ_2017.metaphlan_bugs_list.stool:nHM511717,LiJ_2017.metaphlan_bugs_list.stool:nHM511720,LiJ_2017.metaphlan_bugs_list.stool:nHM511730,LiJ_2017.metaphlan_bugs_list.stool:nHM511735,LiJ_2017.metaphlan_bugs_list.stool:nHM511738,LiJ_2017.metaphlan_bugs_list.stool:nHM511813,LiJ_2017.metaphlan_bugs_list.stool:nHM511821,LiJ_2017.metaphlan_bugs_list.stool:nHM512705,LiJ_2017.metaphlan_bugs_list.stool:nHM512802,LiJ_2017.metaphlan_bugs_list.stool:nHM512806,LiJ_2017.metaphlan_bugs_list.stool:nHM512811,LiJ_2017.metaphlan_bugs_list.stool:nHM512828,LiJ_2017.metaphlan_bugs_list.stool:nHM512834,LiJ_2017.metaphlan_bugs_list.stool:nHM611708,LiJ_2017.metaphlan_bugs_list.stool:nHM612607,LiJ_2017.metaphlan_bugs_list.stool:nHM612709,LiJ_2017.metaphlan_bugs_list.stool:nHM612724,LiJ_2017.metaphlan_bugs_list.stool:nHM612743,LiJ_2017.metaphlan_bugs_list.stool:nHMX11726
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,0.03351,2.519,0.08865,0,0,10.45633,2.54346,0,0.23146,0,0.02981,0.6251,13.52624,0.3597,0.04248,3.01024,0.09656,0.63892,0.0692,0.39564,7.5058,1.49797,9.06596,1.11251,1.02974,0,0.33578,0,0.86772,0.1399,0.26749,0.16622,0,0.01129,1.64528,3.37114,2.29892,5.34902,2.60517,0.07756,0.00963
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae,0,0.02148,0,0,0,0,0,3.31099,0,0,0.05209,0,0,0,0,0.91734,0,6.80666,0,0,0,0,9.77219,0,4.98119,6.07493,0,0,0,0.01524,0,0,0,0.02778,0,1.22902,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae,0.02663,0,0,0,0,0,0,0,0,0,0.02066,0,0,0.09608,0.59475,0.01832,0,0.05671,0,0,0,0,0.01577,0,0.05192,0,0,0,0,0.01209,0,0,0,0,0,0.0354,0,0,0,0,0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae,0.00202,0.00459,0,0,0,2.01699,0,0,0.12403,0,0,0,0,0,0,0,0,0.91759,0,0,0,0,0,0,0,0,0,0,0,0.00891,0,0,0,0,0,0.01007,0,0,0,0.01226,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae,0,0.01595,0.11378,0,0,0,0.01424,0.16917,0,0,0,0,0,0,0,0,0.00778,0,0.00165,0.01964,1.67319,0.00332,0,0.57426,0.01087,0.00273,0,0.07167,0,0.00101,0,0,0.30215,0.6157,0.04195,0,0,0.3747,0,0.3851,0.01507
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname,0.23152,0.4402,0.2039,0,0,1.31603,0.34087,0.46561,0.4529,0.08081,0.23316,0.09981,0,0.45376,0,0.00046,3.72174,0,0.04863,0,0.63603,0,0.01084,0.60023,0.41058,0,0.04457,0.27211,0.16428,0.00035,0.02318,0.06151,0.83345,0.00031,0.37052,0.20877,0,0,0,0.34109,0.10939
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,0,0,78.69905,0,0,0.00603,0.0291,44.34989,0.0062,68.45376,16.19097,0.00755,0.77548,0.00852,0.65521,5.34815,0,1.13343,87.68496,0.01277,0,0,8.08709,0,0.00337,28.49094,38.86141,52.78011,0.02246,32.5462,83.36387,0,0.00131,72.17262,0,12.20191,0,1.34142,0,0.19725,53.43412
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Tunalikevirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34159,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella,10.01617,0,0,0,0,0,0,0.73406,0,0.03113,3.13079,0,0,0,1.2706,0.33363,0,1.29357,0,0,0,0,0,0,4.67867,1.47222,0,0,0,1.3039,0.20492,0,4.72284,0,0,1.23245,0,0,1.21309,0,0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia,0,0,0,0,0,9.29544,0.27405,0,4.69574,0,0,0,0,0.39238,0,0,0,0,0,0,0,16.69073,0,0,0,0,0.32502,0,0,1.16755,0.00078,0,0.017,0,0,0,0.12507,0,4.03128,0,0.32003
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas,0,0,0,0,0,0,0,0,0,0.08454,0.89674,0,3.21636,0,0.03725,0,0,0,0,0,1.85027,0,0,0,0,0,0,0,0,0.93887,0.13783,0,0,0.46925,0,0,0,0,0,0,0.02257
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname,0,0.47783,0,0,1.57658,0,0,0.52409,0,3.27204,0.70692,0.08575,0,2.20761,1.92517,9.35678,0,3.13936,0.09249,0,0,0,0.26168,0,5.04507,0.16522,3.22976,0.40744,0,0.90718,0.26187,0,0,0.01561,0,10.33705,0,0,1.8968,2.07054,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella,0,0,0,0,0,0,0,1.27887,0,0.13899,0.19848,0,0,0.17859,0.16875,0.08843,1.27076,0.00225,0,0,0,0,0.08365,0,0.2581,0,0.03371,0.90175,0,0.44473,0.05732,0,2.15003,0,0,0.04935,0.38595,0,0.59514,2.18749,2.73068
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,0.03351,2.519,0.08865,0,0,10.44603,2.54346,0,0.23146,0,0.02981,0.6251,13.49455,0.3597,0.04248,3.01024,0.09656,0.63892,0.0692,0.39564,7.5058,1.49797,9.06596,1.11251,1.02974,0,0.33578,0,0.86772,0.1399,0.25859,0.16622,0,0.01129,1.64528,3.37114,2.28689,5.3323,2.60517,0.07756,0.00963
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella,0.13157,0.82691,0.07366,0,0,4.75888,0,0.19928,0.36029,1.56996,0.13098,0,0.89607,0.99312,0.20352,0.47002,0.67037,0.35533,0.03287,0.30413,1.14562,0,0.46291,0.20492,0.24164,0.02693,0.02345,0.03286,0.9195,0.07818,0.16311,0,0,0.0273,1.18368,0.83221,0.34583,1.36293,1.27717,0.30766,0.05046
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Retroviridae_noname,0,0,0,0,0,0,0.27327,0,0,0.01496,0,0,0.0307,0,0,0,0,0,0,0,0,0.04371,0,0,0,0,0,0,0,0.05361,0,0,0,0,0,0,0.03417,0.00821,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus,0,0.02148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023,0,0,0,0,0.02207,0,0,0,0,0,0,0.01524,0,0,0,0.02778,0,0.00381,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus,0.11435,0.00059,0,0,0,0,0.04543,0.00344,0.12535,0,9.00E-04,0,0,0,0.06274,0.01346,0,0,0,0,0,0.14812,0,0,0,0,0.01896,0,0,0.01304,0.01748,0,0.01463,0,0.01209,0.02063,0,0,0.0349,0.02981,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Oxalobacter,0.02663,0,0,0,0,0,0,0,0,0,0.02066,0,0,0.09608,0.59475,0.01832,0,0.05671,0,0,0,0,0.01577,0,0.05192,0,0,0,0,0.01209,0,0,0,0,0,0.0354,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus,0,0,0.04383,0,0,0,1.95473,0.3296,0,0.03717,0.13539,0.01125,0.01672,0.09497,0.28805,0.00283,0.26152,0,0.00696,0.05425,0.01389,0.01061,0.66603,0.23652,1.06374,0.03644,0.02793,3.9436,0,0.00958,0.03245,0,0.2996,0.02216,0.05618,0.55792,0.00399,0,0.04125,0.05214,0.06892
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Pyramidobacter,0.00202,0.00459,0,0,0,2.01699,0,0,0.12403,0,0,0,0,0,0,0,0,0.91759,0,0,0,0,0,0,0,0,0,0,0,0.00891,0,0,0,0,0,0.01007,0,0,0,0.01226,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella,0,0.02304,0.04854,0,0.01031,0.31146,0.01974,0.02387,0,0,0.04685,0,0.02999,0,0.00377,0,0.06281,0,0.00763,0.77758,0.4885,0.11164,0.00233,0.01733,0,0.01772,0,0.01063,0.00491,0.0035,0.06468,0.04618,0.22611,0.044,0.01319,0,0.03383,1.71499,0.04806,0.35743,0.1281
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus,0,0.01595,0.11378,0,0,0,0.01424,0.16917,0,0,0,0,0,0,0,0,0.00778,0,0.00165,0.01964,1.67319,0.00332,0,0.30267,0.01087,0.00273,0,0.07167,0,0.00101,0,0,0.30215,0.6157,0.04195,0,0,0.37123,0,0.35866,0.01507
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia,0.00263,0,0,0,0,0,0,0.05308,0,0.02825,0.01446,0,0,0.11091,0.00277,0.01667,0,0,0,0,0,0.05397,0.02635,0,0,0,0,0,0,0.00076,0.01181,0,0,0,0.08571,0,0.00908,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname,0.23152,0.4402,0.2039,0,0,1.31603,0.34087,0.46561,0.4529,0.08081,0.23316,0.09981,0,0.45376,0,0.00046,3.72174,0,0.04863,0,0.63603,0,0.01084,0.60023,0.41058,0,0.04457,0.27211,0.16428,0.00035,0.02318,0.06151,0.83345,0.00031,0.37052,0.20877,0,0,0,0.34109,0.10939
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri,0,0,78.69905,0,0,0.00539,0,44.34989,0.00051,68.45376,15.98761,0.00755,0.77548,0.00852,0.65521,1.98968,0,0.75285,62.37377,0,0,0,7.00776,0,0,18.75109,0,52.78011,0.02246,32.5462,83.36387,0,0.00131,72.17262,0,0.01529,0,0,0,0.19725,53.43412
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprophilus,0,0,0,0,0,0,0,0,0,5.70807,12.6316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07669,0,0,0,2.76557,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius,0,38.12378,0,0,0,0,0,2.13729,0,1.57757,2.26917,44.522,0,15.04209,0.36907,0.15227,0,0.00575,0.30393,19.31795,6.59087,0,0,14.94377,7.33557,1.20325,10.11743,7.45161,0,2.4289,0.43095,0,0,0,0,4.21786,0,0,0,17.3579,0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Tunalikevirus|s__Klebsiella_phage_KP36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34159,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila,0,0,0,0,0,9.29544,0.27405,0,4.69574,0,0,0,0,0.39238,0,0,0,0,0,0,0,16.69073,0,0,0,0,0.32502,0,0,1.16755,0.00078,0,0.017,0,0,0,0.12507,0,4.03128,0,0.32003
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus,1.08322,0,0,0,0.0797,0,0,0.11109,1.92067,0.00374,0.90126,0,0,0.02951,0.18397,0.08724,0.00191,15.51999,0.03153,0.06407,0.11517,1.44451,0.18025,0,0,0.10707,0,0.11701,0,1.12143,0,0,0.02968,0,0,1.87908,0,0,0,0.01866,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8,0,0.47783,0,0,1.57658,0,0,0.52409,0,3.27204,0.70692,0.08575,0,2.20761,1.92517,9.35678,0,3.13936,0.09249,0,0,0,0.26168,0,5.04507,0.16522,3.22976,0.40744,0,0.90718,0.26187,0,0,0.01561,0,10.33705,0,0,1.8968,2.07054,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_unclassified,8.01475,0,0,0,0,0,0,0.51165,0,0.03113,2.49764,0,0,0,1.11238,0.30386,0,1.19927,0,0,0,0,0,0,4.14077,1.13729,0,0,0,0.89116,0.1914,0,2.88443,0,0,1.09075,0,0,1.06288,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas|s__Megamonas_unclassified,0,0,0,0,0,0,0,0,0,0.06781,0.64849,0,1.8514,0,0.03725,0,0,0,0,0,1.17808,0,0,0,0,0,0,0,0,0.68857,0.09363,0,0,0.26059,0,0,0,0,0,0,0.02257
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae,0.25013,0,0.38917,0,0,0.05211,0,0.00848,0.24421,0,1.30166,0,0.02442,0,0,0.03726,0,11.2434,0,0,0.0279,0.69514,2.08666,0,0,1.19999,0.05535,0,0.07078,0.64117,0,1.31361,0.333,0.05445,0,0,0.187,0.00577,0,0.28379,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprocola,0,14.62836,1.64302,0,0,0,0,1.43812,0,0.15667,1.49653,0,0.30584,0,2.57442,0.15721,0,0,0,13.68299,0,0,0,9.40663,6.37538,0.0404,5.1041,0,7.11562,0.60091,0.21796,0,0,0.93473,0,0.77629,0,0,3.03518,0,0.90696
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis,0,0,0,0,0,0,0,1.27887,0,0.13899,0.19848,0,0,0.17859,0.16875,0.08843,1.27076,0.00225,0,0,0,0,0.08365,0,0.2581,0,0.03371,0.90175,0,0.44473,0.05732,0,2.15003,0,0,0.04935,0.38595,0,0.59514,2.18749,2.73068
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_xylaniphila,0.03988,0,0,0,0,0,0,0.04712,0,0,0.08336,0,0,0,0.01473,0.02246,0,0.09431,0,0,0,0,0,0,0.02025,0.01426,0,0,0,0.41274,0,0,0.30803,0,0,0.00619,0,0,0.00912,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_sp_AP11,0,0,0,0,0,0,0,0,0,0.3728,0,0,0,0.38366,1.88491,0,0,0.62367,0,0,0,0,0,0,0,0,0,0,0,0.38389,0,0,0.32529,0,0,1.05519,0,0,0.54936,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis,2.51139,0.11457,0.00191,0,10.11409,22.23011,0,0.14192,8.3652,0.6028,5.77479,3.19683,0.02186,3.22456,0.19612,0.32231,1.46769,0.80363,0.36711,4.65389,0.77269,15.16459,0.33049,0.84356,10.43767,0.05726,0.61526,2.45981,1.93156,0.30619,0.05257,2.28838,10.80753,0.00423,7.39017,2.54206,0.65438,0.04131,1.28601,11.2501,3.18247
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas|s__Megamonas_hypermegale,0,0,0,0,0,0,0,0,0,0.01288,0.21102,0,0.2135,0,0,0,0,0,0,0,0.59089,0,0,0,0,0,0,0,0,0.23816,0.02315,0,0,0.11878,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans,0.41274,1.71913,0,0,0.48142,0,1.01691,1.79874,0.0163,0.18469,0.69454,1.12413,0.25151,0.30264,0.01276,0.01612,2.29324,0,0.06946,0.31821,2.35933,0.10493,0.01179,10.09202,0.25711,0.00367,0.82678,2.21124,4.0711,0.15343,0.25212,3.78603,0.64464,2.12717,0.16648,0.11568,3.04645,8.24625,0.12538,8.87873,1.45305
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale,0,0,2.41634,0,0,0,3.45341,1.89087,0.02929,0.22901,0.27796,0.05839,0,2.51675,1.32772,0.0361,6.74347,0.09651,0,0,0.02803,0,0.4402,0.27619,1.35912,0.0325,0.02706,2.41893,0,0.14277,0.41083,0.00247,6.04139,0.31251,3.64243,0.63288,0,0,0.01127,0.01321,1.87925
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,0,2.43773,0,0,0,0,0.55183,0,0.06369,0,0.01511,0.58173,0,0,0,2.21688,0,0.04926,0.04213,0,4.79787,0,8.29644,0,0.78375,0,0,0,0.34039,0.13443,0.11672,0.01231,0,0,0,2.0734,0.96783,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus,1.07307,0,0,0,0,0,2.26613,0,0,0,0.11997,0,0,0.03513,0,0,0,0,0,0,0,0,0,0,0.00226,0,0,0.0062,0,0.08205,0,0,0,0,0.41637,0.01774,0,0,0,0.01539,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens,0.13157,0.82691,0.07366,0,0,4.19291,0,0.19928,0.36029,1.56996,0.13098,0,0.89607,0.99312,0.20352,0.47002,0.67037,0.35533,0.03287,0,1.14562,0,0.46291,0.20492,0.22986,0.02693,0.02345,0.03286,0.25322,0.07818,0.16311,0,0,0.0273,1.18368,0.66465,0.34583,0,1.27717,0.30766,0.05046
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Retroviridae_noname|s__Avian_endogenous_retrovirus_EAV_HP,0,0,0,0,0,0,0.27327,0,0,0.01496,0,0,0.0307,0,0,0,0,0,0,0,0,0.04371,0,0,0,0,0,0,0,0.05361,0,0,0,0,0,0,0.03417,0.00821,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae,0,0.02352,0,0,0.75504,0,0,0.82117,0,0.13478,0.32418,0.01326,0,0.14315,0.2232,0.00562,1.87721,0.00428,0.00496,0,0.37371,0,0,1.35917,0.21266,0.00447,0.06075,0.15111,2.01995,0.03568,0.00111,0.14303,0.28639,0.31422,0,0.05065,0,0,0.07398,1.47483,0.76317
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii,0,0,0.02391,0,0,0,0,0.8039,0,0.09229,0.07418,0.52355,0,0.11738,0.07961,0.00038,0,0,0,0,0.37735,0,0,0,0.00266,0.01295,0,0.80056,0,0.01706,0,0,2.45374,0,0.25886,0.12159,0,0,0.5217,2.32525,0.84858
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_fermentans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01524,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis,0.07153,0,0,0,0.47845,0.02969,0.01727,0.65682,0,0.10915,1.0519,0.06224,0.13052,1.94339,0.01642,0.08021,7.52253,0,0.02541,0,6.40636,0.0686,0.00553,0.0197,0.07066,0.06706,0.08233,0,3.50917,0.01334,1.32327,1.39519,4.17088,0.52761,4.22832,0.35544,5.33186,11.2132,0,0.38544,2.50344
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Oxalobacter|s__Oxalobacter_formigenes,0.02663,0,0,0,0,0,0,0,0,0,0.02066,0,0,0.09608,0.59475,0.01832,0,0.05671,0,0,0,0,0.01577,0,0.05192,0,0,0,0,0.01209,0,0,0,0,0,0.0354,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_unclassified,0,0,0,0,0,0,0.03792,0,0.02417,0,0,0,0,0,0.02412,0.01346,0,0,0,0,0,0.04618,0,0,0,0,0.01896,0,0,0.01111,0.01748,0,0.01,0,0.01209,0.0028,0,0,0.02423,0,0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Retroviridae|g__Alpharetrovirus|s__Fujinami_sarcoma_virus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01024,0,0,0,0,0,0.01376,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes,0,0,0.01769,0,0,0,0.04758,0.09487,0,0.01603,0.1092,0.00832,0.01672,0.05376,0,0,0.17281,0,0,0,0.00361,0,0.00258,0.13479,0.00307,0.03644,0.00449,0.04377,0,0.00958,0.00879,0,0.09099,0.02216,0.04674,0.03121,0.00069,0,0.00942,0.02539,0.04059
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas|s__Megamonas_funiformis,0,0,0,0,0,0,0,0,0,0.00385,0.03325,0,1.10088,0,0,0,0,0,0,0,0.0813,0,0,0,0,0,0,0,0,0.00951,0,0,0,0.08409,0,0,0,0,0,0,0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Pyramidobacter|s__Pyramidobacter_piscolens,0.00202,0.00459,0,0,0,2.01699,0,0,0.12403,0,0,0,0,0,0,0,0,0.91759,0,0,0,0,0,0,0,0,0,0,0,0.00891,0,0,0,0,0,0.01007,0,0,0,0.01226,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_johnsonii,1.11789,0.08965,0.01614,0,0.16652,0,0,0.01163,0,0,0.02506,0,0,0.00207,0,0,0.18748,0,0,0,0,0,0.00154,0,0,0,0.00462,0,0.34485,0.00858,0,0,0.04009,0,0,0.00761,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens,0.05386,0.04024,0,0,0.0046,0,0,0.09089,0.09501,0.00164,0.10457,0,0,0.01747,0.03405,0.00391,0.72719,0.01687,0.00472,0.0302,0.04678,0.11842,0.007,0.22562,0.20272,0.01209,0.0252,0.01556,0.07952,0.00732,0,0.0041,0.0868,0.05328,0,0.00171,0,0.0043,0.0095,0.21017,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,0.02307,0.08127,0.02576,0,0,5.71133,1.12879,0,0.08735,0,0.0116,0.04338,10.11695,0.16546,0.03345,0.79336,0.07445,0.18389,0.02707,0.26756,1.38552,1.29424,0.72552,0.7953,0.24599,0,0.19005,0,0.52733,0.00546,0.08853,0.14413,0,0,0.97328,1.04013,1.31906,2.92135,2.51824,0.01588,0.00963
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified,0,0.01874,0.0413,0,0.00767,0.15711,0.01907,0.01608,0,0,0.03308,0,0.02999,0,0.00377,0,0.05356,0,0.00763,0.29174,0.3731,0.06742,0.00233,0.01585,0,0.01603,0,0.01063,0.00491,0.0035,0.05481,0.03308,0.17409,0.01517,0.01319,0,0.03039,0.73283,0.02382,0.2133,0.07783
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas|s__Megamonas_rupellensis,0,0,0,0,0,0,0,0,0,0,0.00397,0,0.05058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00264,0.02105,0,0,0.00579,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis,0.11435,0.00059,0,0,0,0,0.00751,0.00344,0.10119,0,9.00E-04,0,0,0,0.03863,0,0,0,0,0,0,0.10194,0,0,0,0,0,0,0,0.00193,0,0,0.00463,0,0,0.01782,0,0,0.01067,0.02981,0
