sample,HanniganGD_2017.metaphlan_bugs_list.stool:MG100155,HanniganGD_2017.metaphlan_bugs_list.stool:MG100156,HanniganGD_2017.metaphlan_bugs_list.stool:MG100157,HanniganGD_2017.metaphlan_bugs_list.stool:MG100158,HanniganGD_2017.metaphlan_bugs_list.stool:MG100159,HanniganGD_2017.metaphlan_bugs_list.stool:MG100161,HanniganGD_2017.metaphlan_bugs_list.stool:MG100162,HanniganGD_2017.metaphlan_bugs_list.stool:MG100163,HanniganGD_2017.metaphlan_bugs_list.stool:MG100164,HanniganGD_2017.metaphlan_bugs_list.stool:MG100165,HanniganGD_2017.metaphlan_bugs_list.stool:MG100166,HanniganGD_2017.metaphlan_bugs_list.stool:MG100167,HanniganGD_2017.metaphlan_bugs_list.stool:MG100168,HanniganGD_2017.metaphlan_bugs_list.stool:MG100169,HanniganGD_2017.metaphlan_bugs_list.stool:MG100170,HanniganGD_2017.metaphlan_bugs_list.stool:MG100171,HanniganGD_2017.metaphlan_bugs_list.stool:MG100172,HanniganGD_2017.metaphlan_bugs_list.stool:MG100173,HanniganGD_2017.metaphlan_bugs_list.stool:MG100174,HanniganGD_2017.metaphlan_bugs_list.stool:MG100175,HanniganGD_2017.metaphlan_bugs_list.stool:MG100176,HanniganGD_2017.metaphlan_bugs_list.stool:MG100177,HanniganGD_2017.metaphlan_bugs_list.stool:MG100178,HanniganGD_2017.metaphlan_bugs_list.stool:MG100179,HanniganGD_2017.metaphlan_bugs_list.stool:MG100180
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales,9.11044,19.5807,1.07725,2.68412,3.30064,0.11207,0,0,0.5028,0.0265,0.34101,1.00534,1.44309,0.01908,0,0,5.07815,11.22355,0.57854,0.31793,0.33249,0.06183,0.44545,1.87171,4.66697
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,0.59096,0.38887,8.81244,0.75798,4.02541,1.13264,0.08544,18.19668,0.10744,0.48886,1.00474,2.76214,0.6955,3.46636,1.04824,0.87912,0.87647,27.10658,0.12912,2.14883,1.73906,0.90044,0.90662,1.99481,6.58699
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,16.60223,14.32015,10.17879,28.89175,36.52939,13.56583,23.44532,1.97058,19.55551,14.87631,26.84661,29.59172,0.51111,14.08912,41.59203,16.01621,45.7224,30.4744,24.89029,51.31677,32.41437,53.71808,35.40715,21.8275,37.81601
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae,21.76288,3.18233,13.95599,1.5545,2.95737,14.49859,21.86385,0,1.72648,0.22314,3.99527,6.66914,0.93129,7.42172,2.87456,1.10605,10.16742,7.92505,1.81948,13.28866,5.10425,2.72775,20.47286,5.39463,7.0237
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,24.4445,27.92871,8.00524,39.76387,36.53624,24.23038,17.32947,13.29997,2.06598,10.39418,21.85546,24.56166,13.74762,8.73132,14.66738,7.15419,22.41915,4.52031,2.20149,6.46116,17.92802,13.83588,17.47947,23.91768,13.70819
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,0,0.08235,0.54065,10.83817,1.00357,5.475,0.45895,0,0.69835,23.75063,2.23104,3.22612,0.35909,6.11414,7.53962,6.16654,0,0.39621,1.58645,0.05006,3.66957,0.53316,0.22563,8.18687,0.55628
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae,0.31704,0.19394,0,0,0,3.59739,6.69233,0.05818,0,8.73902,0,0.05351,0.95409,0,0.16904,0,0,0.32606,0,0,0,0,0,0,0.14431
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,0,0,0.09117,0.19172,9.45677,0.63958,0,0,0,0.09761,0.11871,0.18954,0.08311,0,0.02076,1.22501,0,0,0,0.15109,0.04235,0.09111,0.04631,0,0.24078
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname,0,0,0,0,0,0,0,0,0,0,0.0179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,0,0,0,8.64181,0,8.98827,0.4755,13.47663,0.88739,0,2.14457,0.07395,7.57699,0.12881,0,0,0.0655,4.88793,0.60145,0.12081,0.76597,0.71937,0.09687,0.18525,1.23189
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,0,0,0.01572,0.51469,0,0.26586,0,0,0.10342,7.27992,0.34294,0.46224,0,1.13563,1.18668,0.46455,0,0,0.4409,0.00429,1.33336,0.16399,0.70046,0.63009,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae,0,0,0,0.76422,0,0.20051,0,0,0.00838,0.71995,0.41668,0,0,0.01238,0.19977,0.28048,0,0,0.08067,0,0.11636,0.04986,0,0.07772,0.00247
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae,9.11044,19.5807,1.07725,2.68412,3.30064,0.11207,0,0,0.5028,0.0265,0.34101,1.00534,1.44309,0.01908,0,0,5.07815,11.22355,0.57854,0.31793,0.33249,0.06183,0.44545,1.87171,4.66697
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae,21.85828,8.80464,2.4452,0.22603,5.15964,11.36737,6.68682,14.60113,0.41188,2.40279,10.09313,23.38854,0,9.89523,21.26638,59.47785,15.09761,7.55591,0.64698,6.43761,36.32793,20.60301,10.47692,20.32373,23.02209
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0.59096,0.38887,8.81244,0.75798,3.96386,1.13264,0.08544,15.64126,0.10744,0.48886,0.81477,2.76214,0.65962,3.46636,0.75342,0.87912,0.87647,25.2804,0.12912,2.14883,1.73906,0.82217,0.88393,1.99481,6.55133
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus,15.47201,5.91624,5.61987,16.77738,34.27175,0,7.8514,0,13.04806,6.17047,13.52583,8.32182,0,2.38124,15.28956,12.68609,40.02776,24.69655,12.39173,44.3107,25.59528,47.06225,20.99575,11.75594,30.27654
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia,13.90491,7.55463,2.83093,34.85261,13.38795,11.69736,12.08789,8.35277,1.4081,5.1827,10.68167,7.49728,12.87077,2.51326,7.99704,4.17641,15.62968,2.23189,1.19236,3.76415,7.84491,4.96763,2.29039,8.95984,7.05
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella,19.42417,0,11.86078,0,0,12.91917,20.17425,0,1.72648,0,0,6.26548,0,7.05423,2.59883,0.95546,3.55002,7.4798,1.78522,12.55742,4.23078,0,18.14387,3.55853,6.85964
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,0,0.08235,0.54065,10.83817,1.00357,5.475,0.45895,0,0.69835,23.75063,2.23104,3.22612,0.35909,6.11414,7.53962,6.16654,0,0.39621,1.58645,0.05006,3.66957,0.53316,0.22563,8.18687,0.55628
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum,1.05648,5.92221,2.23819,12.08965,1.40799,9.10288,14.49749,0,6.34681,4.20796,10.29157,10.50933,0.04339,10.3702,14.89193,2.25152,2.12906,0.8071,12.16715,1.43079,3.47413,2.21153,13.16192,8.6821,6.53336
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister,0.31704,0.19394,0,0,0,3.59739,6.69233,0,0,8.6727,0,0,0.83309,0,0,0,0,0.32423,0,0,0,0,0,0,0.07501
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella,1.6316,2.07605,1.71074,1.5545,2.95737,1.23949,0,0,0,0.16091,2.00513,0,0.93129,0.01904,0,0,0.60911,0.44525,0,0.27896,0.47949,2.59926,0.19515,0.13279,0.13598
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea,4.69861,9.80204,2.68377,3.1755,9.69881,0,0.77949,4.94719,0.38877,0,1.67754,4.23488,0.09218,2.35605,3.76963,0.89427,4.49905,1.32945,0.42062,1.33455,1.42782,1.24511,4.6632,3.13584,2.01656
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia,0.67796,1.10628,0,0,0,0.28106,1.6896,0,0,0.06224,1.17851,0.03743,0,0.09774,0.27573,0.14701,0.39076,0,0,0.29338,0.18899,0,0.53689,1.50152,0.00745
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium,0,0,0.09117,0.1629,9.45677,0.63958,0,0,0,0.09761,0.11871,0.18954,0.07323,0,0.02076,1.22501,0,0,0,0.15109,0.04235,0.09111,0.04631,0,0.24078
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia,0,0,0,8.53869,0,8.98827,0.4755,13.47663,0.88739,0,2.14457,0.07395,7.57699,0.12881,0,0,0.0655,4.64759,0.60145,0.12081,0.76597,0.71937,0.09687,0.18525,1.23189
