sample,HanniganGD_2017.metaphlan_bugs_list.stool:MG100155,HanniganGD_2017.metaphlan_bugs_list.stool:MG100156,HanniganGD_2017.metaphlan_bugs_list.stool:MG100157,HanniganGD_2017.metaphlan_bugs_list.stool:MG100158,HanniganGD_2017.metaphlan_bugs_list.stool:MG100159,HanniganGD_2017.metaphlan_bugs_list.stool:MG100161,HanniganGD_2017.metaphlan_bugs_list.stool:MG100162,HanniganGD_2017.metaphlan_bugs_list.stool:MG100163,HanniganGD_2017.metaphlan_bugs_list.stool:MG100164,HanniganGD_2017.metaphlan_bugs_list.stool:MG100165,HanniganGD_2017.metaphlan_bugs_list.stool:MG100166,HanniganGD_2017.metaphlan_bugs_list.stool:MG100167,HanniganGD_2017.metaphlan_bugs_list.stool:MG100168,HanniganGD_2017.metaphlan_bugs_list.stool:MG100169,HanniganGD_2017.metaphlan_bugs_list.stool:MG100170,HanniganGD_2017.metaphlan_bugs_list.stool:MG100171,HanniganGD_2017.metaphlan_bugs_list.stool:MG100172,HanniganGD_2017.metaphlan_bugs_list.stool:MG100173,HanniganGD_2017.metaphlan_bugs_list.stool:MG100174,HanniganGD_2017.metaphlan_bugs_list.stool:MG100175,HanniganGD_2017.metaphlan_bugs_list.stool:MG100176,HanniganGD_2017.metaphlan_bugs_list.stool:MG100177,HanniganGD_2017.metaphlan_bugs_list.stool:MG100178,HanniganGD_2017.metaphlan_bugs_list.stool:MG100179,HanniganGD_2017.metaphlan_bugs_list.stool:MG100180
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_unclassified,0,0,0,0.76422,0,0.20051,0,0,0.00838,0.71995,0.41668,0,0,0.01238,0.19977,0.28048,0,0,0.08067,0,0.11636,0.04986,0,0.07772,0.00247
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus,0.00767,0.77832,0,0.00525,0.08047,0,0,0,0,0,0.39675,0.67285,0.19055,0,0.25237,0,1.12273,0.12384,0,0.0302,0.37737,0.05068,0.06101,2.25569,1.30631
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_producta,0,0,0,0.14165,0,0,0,0,0,0,0,0,0.00377,0,0,0,0,0.17822,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_unclassified,0,0,0.01585,2.58624,2.46312,0.05724,0,0,0,0.0265,0,0,1.12019,0,0,0,0,0,0,0.27754,0,0.01247,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_2_1_58FAA,0,0,0,0.19144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04978,0.62706,0,0,0,0.03038
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA,0,0,0,0,1.08838,0.18205,0.40072,0,0.00641,0,0.15855,0.26006,0,0.67871,0,0,0,0,0.1079,0,0,0.22262,0.97666,3.523,0.04016
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum,0,0,1.47138,0,0,0,0,0,0,0.05729,1.72109,0,0,0,0,47.36589,0,0,0.0882,0.16286,0,0,0.61442,0.74697,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_1_57FAA,0,0,0.07483,0.04709,0.93482,0,0,0,0,0,0.05939,0.28854,0,0,0,0,0,0.02395,0.07065,0,0,0,0.16004,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10576,0.05902,0.01906,0,0,0.03004,0,0.17286,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius,0.21939,0.38887,3.54675,0.64837,2.29452,0.72327,0.02455,0.86188,0.10744,0.28106,0.53736,1.08669,0.23679,1.98319,0.38546,0.01511,0.74303,2.01957,0.12912,0.96662,0.13425,0,0.34999,1.63001,4.17642
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA,0.15629,0.4116,0.20689,0.13511,3.10556,0.13138,0,0,0.03869,0.00642,0.55203,0.07502,0.27795,0,0.33629,0.54096,0.18213,0.2931,0.11159,0.91612,0.02406,1.79154,0.24872,0.03372,0.70887
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified,0,0,0,0,0,0,0,0,0,0,0,0.22479,0,0.08792,0,0,0,0,0.05475,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron,0,0,0,0.52695,0,0.01438,0,0,0,2.28568,0.03169,0.20888,0,0.13308,0.55263,0.03616,0,0,0.00457,0,0.27242,0,0.01341,0.03792,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pasteurianus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis,0,0,0.20705,0.79345,0,0,0.45895,0,0.21276,7.04366,1.35154,2.49696,0,2.98575,3.55395,0.41605,0,0.16259,0.37355,0.03777,0.39907,0.1064,0.09786,0.69117,0.47015
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_unclassified,0,0,0,0.4872,0,0.7487,0.4755,3.91177,0.5797,0,0,0.07395,0.77941,0.12881,0,0,0.0655,0.92239,0,0.09586,0.28432,0,0.09687,0.10639,0.47675
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale,11.73581,3.99665,0,0.00786,4.7695,6.29818,0.78517,10.19543,0,2.09217,3.39956,19.45076,0,5.52145,16.77828,11.36873,6.27418,6.40437,0,0,33.67097,14.36871,6.87921,2.96184,18.23511
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii|t__GCF_000209875,0,0,5.61987,16.77738,0,0,0,0,13.04806,2.30912,0,0,0,2.38124,14.85931,12.68609,7.79339,0,12.39173,0.8308,0,0,13.62483,0.02544,14.93322
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_obeum|t__Ruminococcus_obeum_unclassified,1.97211,2.97793,0.99922,0.1033,9.35646,2.92868,11.24758,0.66298,0.57129,0.00195,3.78064,2.60191,0,0.1446,2.8065,1.48904,3.58528,1.55513,0.44777,2.83861,1.47131,3.53777,0.92479,3.05538,1.56987
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus|t__Bacteroides_ovatus_unclassified,0,0,0,0.00173,0,0.15638,0,0,0,0.95104,0.00196,0.13601,0.10633,0.123,0.32039,0,0,0,0.01513,0,0.54986,0.09966,0,0.15017,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Dialister|s__Dialister_invisus|t__GCF_000160055,0.31704,0.19394,0,0,0,3.59739,6.69233,0,0,8.6727,0,0,0.83309,0,0,0,0,0.32423,0,0,0,0,0,0,0.07501
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans|t__Dorea_formicigenerans_unclassified,2.78044,1.05584,1.62426,0,2.3459,0,0.18586,0.06628,0.33655,0,0.54608,1.54487,0,0.34237,1.65067,0.43639,2.49903,0.50646,0.39788,1.07438,0.40484,0,1.78967,1.24291,0.48849
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens|t__GCF_000478885,0.67796,1.10628,0,0,0,0.28106,1.6896,0,0,0.06224,1.17851,0.03743,0,0.09774,0.27573,0.14701,0.39076,0,0,0.29338,0.18899,0,0.53689,1.50152,0.00745
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques|t__Ruminococcus_torques_unclassified,10.27984,4.50977,1.39604,1.49537,3.30693,7.06329,0.77722,7.62508,0.83681,5.18075,6.49973,4.89536,1.47774,2.36866,5.19054,2.68737,12.0444,0.46196,0.74459,0.29621,1.66935,0.82765,1.3656,5.90446,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_gnavus|t__Ruminococcus_gnavus_unclassified,0.30137,0.06693,0.01103,33.11229,0.72457,0.55043,0,0.06471,0,0,0.01153,0,11.38732,0,0,0,0,0.03659,0,0.62933,4.70426,0.60221,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_hathewayi|t__Clostridium_hathewayi_unclassified,0,0,0,0.01496,0,0.09307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus|t__Bacteroides_vulgatus_unclassified,0,0.05647,0.10645,0.26632,0,0,0,0,0.00363,1.49884,0.25681,0.20551,0,0.36343,0,0.26037,0,0,0.03232,0,0.75887,0,0,0.04202,0.02678
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Clostridiales_bacterium_1_7_47FAA|t__GCF_000155435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__Escherichia_coli_unclassified,0,0,0,8.05149,0,8.23957,0,9.56485,0.30769,0,2.14457,0,6.79758,0,0,0,0,3.7252,0.60145,0.02496,0.48165,0.71937,0,0.07886,0.75514
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella_lenta|t__GCF_000024265,0.38575,0.49906,0.07003,0.16497,0,0.04929,0,0,0,0.01507,0.06983,0,0.00157,0,0,0,0.1613,0,0,0.17764,0.06135,0.14062,0.01139,0.00333,0.01745
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_nexile|t__GCF_000156035,0,0,0,0,9.45677,0.14229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01849,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens|t__Bacteroides_xylanisolvens_unclassified,0,0,0,0.18503,0,0,0,0,0,0,0.20406,0,0,0,0.01398,0.02267,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus|t__GCF_000332875,0.00767,0.77832,0,0.00525,0.08047,0,0,0,0,0,0.39675,0.67285,0.19055,0,0.25237,0,1.12273,0.12384,0,0.0302,0.37737,0.05068,0.06101,2.25569,1.30631
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_producta|t__GCF_000373885,0,0,0,0.14165,0,0,0,0,0,0,0,0,0.00377,0,0,0,0,0.17822,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_2_1_58FAA|t__GCF_000218465,0,0,0,0.19144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04978,0.62706,0,0,0,0.03038
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA|t__GCF_000209405,0,0,0,0,1.08838,0.18205,0.40072,0,0.00641,0,0.15855,0.26006,0,0.67871,0,0,0,0,0.1079,0,0,0.22262,0.97666,3.523,0.04016
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum|t__Eubacterium_siraeum_unclassified,0,0,1.47138,0,0,0,0,0,0,0.05729,1.72109,0,0,0,0,47.36589,0,0,0.0882,0.16286,0,0,0.61442,0.74697,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_1_57FAA|t__GCF_000218445,0,0,0.07483,0.04709,0.93482,0,0,0,0,0,0.05939,0.28854,0,0,0,0,0,0.02395,0.07065,0,0,0,0.16004,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis|t__Parabacteroides_distasonis_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10576,0.05902,0.01906,0,0,0.03004,0,0.17286,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius|t__Streptococcus_salivarius_unclassified,0.21939,0.38887,3.54675,0.64837,2.29452,0.72327,0.02455,0.86188,0.10744,0.28106,0.53736,1.08669,0.23679,1.98319,0.38546,0.01511,0.74303,2.01957,0.12912,0.96662,0.13425,0,0.34999,1.63001,4.17642
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA|t__GCF_000185525,0.15629,0.4116,0.20689,0.13511,3.10556,0.13138,0,0,0.03869,0.00642,0.55203,0.07502,0.27795,0,0.33629,0.54096,0.18213,0.2931,0.11159,0.91612,0.02406,1.79154,0.24872,0.03372,0.70887
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron|t__Bacteroides_thetaiotaomicron_unclassified,0,0,0,0.52695,0,0.01438,0,0,0,2.28568,0.03169,0.20888,0,0.13308,0.55263,0.03616,0,0,0.00457,0,0.27242,0,0.01341,0.03792,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pasteurianus|t__GCF_000270165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__Bacteroides_uniformis_unclassified,0,0,0.20705,0.79345,0,0,0.45895,0,0.21276,7.04366,1.35154,2.49696,0,2.98575,3.55395,0.41605,0,0.16259,0.37355,0.03777,0.39907,0.1064,0.09786,0.69117,0.47015
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale|t__Eubacterium_rectale_unclassified,11.73581,3.99665,0,0.00786,4.7695,6.29818,0.78517,10.19543,0,2.09217,3.39956,19.45076,0,5.52145,16.77828,11.36873,6.27418,6.40437,0,0,33.67097,14.36871,6.87921,2.96184,18.23511
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales,0.08358,0,0.04517,0.01026,0.24876,0.05387,0,0,0,0,0.07664,0.09419,0.21998,0.00923,0.06983,0,0,0.14064,0,0.32137,0,0.06506,0.01076,0.03116,0.40053
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae,0,0,0,0,0,0,0,2.55541,0,0,0.07301,0,0,0,0.06126,0,0,1.82618,0,0,0,0.07827,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae,0,3.52618,0,0.33703,0.78222,0.35086,0.96518,3.15637,0,0,0.02648,1.12579,0.08739,0,2.1486,0,0,0.02433,0.08406,0,0,0,1.99078,0.56403,0.20067
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae,0.06795,0,0,0.01026,0.05309,0.05387,0,0,0,0,0.07664,0.05552,0.18688,0,0,0,0,0,0,0.09629,0,0.06506,0.01076,0,0.22557
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae,0,0,0.14461,3.92091,0,0.2294,0.26449,0,0.21068,3.81458,1.21624,0.76347,0,2.6684,0.54852,0.47672,0,0.00303,0.31437,0.02747,0.22626,0,1.01121,0.88788,0.01913
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus,5.57934,7.99944,1.88997,1.0637,7.26414,10.10915,1.08085,0,0.20177,0.36467,4.19308,9.5826,0,2.92164,1.38195,0.92969,0.61699,0.03744,0.22073,0.10859,3.11248,0,5.05257,4.73349,1.65978
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium,0.07374,2.4817,2.32073,0.01648,0.84965,4.24576,1.09643,1.97058,0.16064,4.49788,3.02921,10.76057,0.46772,1.09141,11.41054,1.0786,3.56559,4.97075,0.3314,5.57528,3.34496,4.44429,1.24947,1.38946,1.00611
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus,0,0,0,0,0,0,0,2.55541,0,0,0.07301,0,0,0,0.06126,0,0,1.82618,0,0,0,0.07827,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname,0,3.52618,0,0.33703,0.78222,0.35086,0.96518,3.15637,0,0,0.02648,1.12579,0.08739,0,2.1486,0,0,0.02433,0.08406,0,0,0,1.99078,0.56403,0.17861
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter,0.02915,0,0.38447,0,0,0.05887,0,0,0,0,0.81164,0.06466,0,0.02981,0,0.00358,0.01942,0,0,0.15891,0.20499,0.12849,1.1244,0.2018,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces,0.06795,0,0,0.01026,0.05309,0.03594,0,0,0,0,0.07664,0.05552,0.18688,0,0,0,0,0,0,0.09629,0,0.06506,0.01076,0,0.22557
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes,0,0,0.14461,3.92091,0,0.2294,0.26449,0,0.21068,3.81458,1.21624,0.76347,0,2.6684,0.54852,0.47672,0,0.00303,0.31437,0.02747,0.22626,0,1.01121,0.88788,0.01913
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname,9.11044,19.45236,1.0362,0.09788,0.83752,0.04657,0,0,0.5028,0,0.00333,0.06404,0.32289,0.01908,0,0,5.00007,0.11826,0.57854,0.01467,0.13101,0.04936,0.31818,1.87171,4.62575
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_5_1_39BFAA,15.47201,4.40449,0,0,34.27175,0,7.8514,0,0,0.97417,13.52583,7.05209,0,0,0,0,32.23436,24.69655,0,43.36044,25.59528,47.06225,7.37093,11.71705,15.34332
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens,19.42417,0,11.86078,0,0,12.91917,20.17425,0,1.72648,0,0,6.26548,0,7.05423,2.59883,0.95546,1.60905,7.33219,1.78522,12.55742,4.23078,0,18.14387,3.55853,6.85964
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes,5.57934,5.5333,1.7962,1.0637,7.26414,10.10915,0,0,0,0.36467,4.19308,3.50156,0,2.92164,0.58181,0.44421,0.56964,0,0.02154,0,3.11248,0,1.89243,2.14173,1.60646
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii,4.90882,3.88574,0,0,0,3.75489,5.90164,4.40569,0.25166,0.11108,4.66336,3.28281,0,4.37377,4.48811,0.62932,7.99374,0.49148,0.19827,6.06792,0.76696,6.2343,2.87106,15.48451,4.23841
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus,0,0,4.94636,0,0,0,0,14.02643,0,0.083,0,1.28406,0,0.6735,0,0.83089,0,2.29212,0,0.79356,1.36223,0.82217,0.26544,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena,1.91817,8.7462,1.05952,2.49704,7.35291,0,0,4.26626,0,0,1.13146,2.69001,0,2.01367,2.11896,0.45787,2.00002,0.82299,0.02274,0,0,0,2.87353,1.89293,1.52807
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus,0,2.46615,0,0,0,0,1.08085,0,0.20177,0,0,1.32179,0,0,0.80014,0.48549,0.04735,0.03744,0.19918,0.10859,0,0,1.518,2.59176,0.05332
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,0.07374,2.4817,2.32073,0.01648,0.84965,4.24576,1.09643,1.97058,0.16064,4.49788,3.02921,10.76057,0.46772,1.09141,11.41054,1.0786,3.56559,4.97075,0.3314,5.57528,3.34496,4.44429,1.24947,1.38946,1.00611
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis,0,0.12328,0,0,0.949,0.04943,1.83075,0,0,0,0,0.31153,0,0.00847,0.67697,0,0,0.1068,0,0.03033,0.12719,1.71458,0.89453,0.0484,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus,5.21365,0.54697,0.0666,0,0.39015,0,0,0,0,0.14224,0.12727,0.21301,0,0,0,0.10412,0.82968,0.6582,0.04923,0,0,0,0.05481,0.48783,0.28044
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hydrogenotrophica,1.35159,0,0.42465,0,0,1.15497,0.06309,0,0,0,0.38977,0,0.00195,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_delbrueckii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00257,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_8_1_57FAA,0,0.37867,0,0,0,0,1.02526,0,0,0,2.37268,0.61657,0,0.18283,0,0,0.36408,0.16317,0,0.05264,1.43951,0.93818,0.13461,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified,0,2.9161,0,0,0.78222,0.35086,0.96518,3.15637,0,0,0,0.60295,0.0179,0,1.99459,0,0,0,0.08406,0,0,0,1.9231,0.56403,0.10672
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis,0.2369,0,0.29101,0.10961,1.61214,0.1923,0.0609,0,0,0.12479,0.15464,0.3914,0.32924,0.64408,0.22694,0,0.08431,0.35471,0,0.35093,0.24258,0,0.12326,0.221,1.89945
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae,0.02915,0,0.38447,0,0,0.05887,0,0,0,0,0.81164,0.06466,0,0.02981,0,0.00358,0.01942,0,0,0.15891,0.20499,0.12849,1.1244,0.2018,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_graevenitzii,0,0,0,0,0,0.03594,0,0,0,0,0.07664,0,0.12252,0,0,0,0,0,0,0,0,0,0,0,0.11834
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans,0,0,0.04,0,0,0.69858,0,0,0,0.04307,0,0.26137,0,0,0.12142,0,0,0,0,0.01452,0,1.06692,0.3468,0.11899,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_3_1_31,0,0,0,0,0,1.3143,0,0,0,0,0.18186,0,0,0,0,0,0,0,0.04057,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Clostridium_bartlettii,0,0.61008,0,0.33703,0,0,0,0,0,0,0.02648,0.52284,0.06949,0,0.15401,0,0,0.02433,0,0,0,0,0.06768,0,0.07189
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei,0,0,0,0.06645,0,0.11815,0,0,0.23652,0,0,0,0,0,1.12041,0.27734,0,0,0.49929,0.01229,0,0,0.05493,1.20499,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_unclassified,0,0,0,0,0,0.18112,0,0,0.18416,3.08114,0.12252,0,0,0,0.40239,0,0,0,0.16236,0.01732,0.21663,0,0.32467,0.6519,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_4_56FAA,0.0525,0,0,0,0,0.28347,0,0,0,0,0,0.09692,0.31616,0,0,0,0.00449,0.05014,0,0,0.87123,0.94716,0,0,0
