sample,LiJ_2014.metaphlan_bugs_list.stool:DLF005-IE,LiJ_2014.metaphlan_bugs_list.stool:DLM006-IE,LiJ_2014.metaphlan_bugs_list.stool:DOM005-IE,LiJ_2014.metaphlan_bugs_list.stool:DOM017-IE,LiJ_2014.metaphlan_bugs_list.stool:NLF002-IE,LiJ_2014.metaphlan_bugs_list.stool:NLF009-IE,LiJ_2014.metaphlan_bugs_list.stool:NLM009-IE,LiJ_2014.metaphlan_bugs_list.stool:NLM025-IE,LiJ_2014.metaphlan_bugs_list.stool:NOF002-IE,LiJ_2014.metaphlan_bugs_list.stool:NOF007-IE,LiJ_2014.metaphlan_bugs_list.stool:NOF013-IE
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,1.91491,12.22683,7.00E-04,0.11583,0.01671,0.03082,71.71726,45.92771,0.00582,0.19094,0.0209
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae,1.37723,0.44407,1.10237,0.00071,0.18523,0.01045,0.09699,0.02855,4.52007,0,13.80991
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,0.56592,0.08033,28.06533,0.0959,0.9214,1.18835,0.19432,2.64405,3.80548,0.35919,0.43597
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,0.42773,0.07672,0,0.01359,0.05734,0.00348,0.56248,0.50702,1.76542,0.58462,1.19128
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae,0.37783,0.20745,0.17423,0.08844,0.193,0.27468,0.18442,0.49009,0.29206,1.44471,0.4903
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae,0.32406,0.64024,2.364,0.94065,0.51669,0.74004,0,0.05425,2.98875,0.31663,0.14249
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae,0.30039,0.74387,0,0.00335,1.18569,0.08154,0.07051,0.06033,0.18326,0.01474,0.40193
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae,0.20035,0.10643,0,0.09768,0.18995,0.11561,0,0.0401,0.00042,0,0.2415
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae,0.11683,0,0.11583,0.06889,0.14368,0.14803,0.04739,0.06836,0,0.02819,0.05324
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae,0.07758,0.25692,0,0.00221,0.1352,0.03847,1.01493,0.01836,0.07335,0.00356,0.59834
