sample,VatanenT_2016.metaphlan_bugs_list.stool:G69178,VatanenT_2016.metaphlan_bugs_list.stool:G69225,VatanenT_2016.metaphlan_bugs_list.stool:G78489,VatanenT_2016.metaphlan_bugs_list.stool:G78490,VatanenT_2016.metaphlan_bugs_list.stool:G78494,VatanenT_2016.metaphlan_bugs_list.stool:G78599,VatanenT_2016.metaphlan_bugs_list.stool:G78600,VatanenT_2016.metaphlan_bugs_list.stool:G78624,VatanenT_2016.metaphlan_bugs_list.stool:G78653,VatanenT_2016.metaphlan_bugs_list.stool:G78654,VatanenT_2016.metaphlan_bugs_list.stool:G78655,VatanenT_2016.metaphlan_bugs_list.stool:G78687,VatanenT_2016.metaphlan_bugs_list.stool:G78803,VatanenT_2016.metaphlan_bugs_list.stool:G78804,VatanenT_2016.metaphlan_bugs_list.stool:G78805,VatanenT_2016.metaphlan_bugs_list.stool:G78806,VatanenT_2016.metaphlan_bugs_list.stool:G78823,VatanenT_2016.metaphlan_bugs_list.stool:G78854,VatanenT_2016.metaphlan_bugs_list.stool:G78856,VatanenT_2016.metaphlan_bugs_list.stool:G78857,VatanenT_2016.metaphlan_bugs_list.stool:G78858,VatanenT_2016.metaphlan_bugs_list.stool:G78870,VatanenT_2016.metaphlan_bugs_list.stool:G78871,VatanenT_2016.metaphlan_bugs_list.stool:G80268,VatanenT_2016.metaphlan_bugs_list.stool:G80274,VatanenT_2016.metaphlan_bugs_list.stool:G80288,VatanenT_2016.metaphlan_bugs_list.stool:G80296,VatanenT_2016.metaphlan_bugs_list.stool:G80297,VatanenT_2016.metaphlan_bugs_list.stool:G80312,VatanenT_2016.metaphlan_bugs_list.stool:G80318,VatanenT_2016.metaphlan_bugs_list.stool:G80322,VatanenT_2016.metaphlan_bugs_list.stool:G80347,VatanenT_2016.metaphlan_bugs_list.stool:G80387,VatanenT_2016.metaphlan_bugs_list.stool:G80420,VatanenT_2016.metaphlan_bugs_list.stool:G80424
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens,0,1.2005,0.55692,0.29333,0.96964,0.1689,1.42433,0,0.90157,4.41195,6.56444,0,0.2228,0.50448,1.08105,0,1.03187,1.00683,3.96341,5.33202,0.00383,0.03768,0.01377,0.34273,0.71618,0.10822,0.75897,0.3489,0,1.46377,0.88877,13.56909,0.19806,1.12681,0.33831
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_clostridioforme,0.04933,0.71443,0,0,0,0,0.00609,0,0,0,0.03946,0.5113,0,0.11584,0.24678,0.16082,0,0,0,0.03932,0,0,0,0,0.06708,0.00531,0.40878,0.03094,0,0,0,0,0.07509,0,0.06973
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_unclassified,0.82948,0,0.42138,0.37915,0.96708,0.36055,0.24268,0.76227,0.30695,1.71688,0.97013,0.55271,0.46908,0,0.8168,0.23098,0.23772,0.17173,0.37996,0.68393,0.72863,0.18387,0.478,0,1.69463,0,0.63451,0.31789,0,0,0.50965,0.14051,0,5.20486,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis,0,0.01603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336,0,0,0,0.02857,0,0,0.0278,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis,0,0,0.09711,0.12626,0,0,0,0,0,0,0.15811,0,0,0,0,0,0.00115,0,0.00901,0,0,0,0.00675,0,0.01271,0,0,0.00142,0,0.00245,0,0,0.00595,0.03211,0.02352
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes,0,0,0,0,0,0,0.29555,0,0,0,0,0,0,0,0,0,0.90106,0.0716,0,0,0.40173,0,0,0.74809,0,0.03402,0,0,0,0,0.24043,0.19503,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus,0,0,0.20648,0,0.01553,0.1763,0,0.44926,0.04456,0,0,0,0,0,0,0,0.52901,0,0,0.45687,0.0062,0,0.00319,0,0.02389,0.00336,0,0.10012,0,0.52447,0.00871,0,0,0.39184,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis,0.05289,0,0,0,0,0,0,0,0,0,0,0,0.00735,0.01277,0,0,0,0,0,0,0.32234,0.01357,0,2.00925,0,0,0,0,0.06131,0.02052,0.00263,1.79156,0.01571,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum,0,0,5.49567,0.69575,0,0.33742,0.76376,0,0,0,2.11291,0,1.59613,0,0.93365,0,0.35493,0.01993,0.04208,0.00885,0.81842,0,0,0,0,0.28415,0,0,0,0,0.29718,0,0,2.10376,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_8_1_57FAA,0,0,0,0,0.26758,0.02172,0,0.07618,0.38056,0.11381,0.64469,0,0,0,0,0,0,0.04489,0.04686,0,0,0,0,0,0,0,0,0.0251,0,0.12545,0,0.6519,0.04297,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_1_57FAA,0,0,0,0.80035,0.53825,0.02391,0,0,0,0,0,0,0.12499,0,0.05394,0.02189,0,0,0.01337,0,0.8616,0.04138,0,0,0,0,0,0,0,0,0,0,0,1.11589,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname|s__Peptostreptococcaceae_noname_unclassified,0,0,0,0,0,0,0,0,0,0.24511,0,0.09148,0.02032,0,0.09918,0,0,0,0,0.08422,0.07412,0.06251,0.06904,0.07638,0.35284,0,0.01161,0.00404,0,0.00159,0.02136,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans,0,0,0.28534,0.04162,0,0.09593,0.3151,0.12923,0.07634,0,0,0,0.12929,0,0,0,0.25355,0.02331,0.18035,0,0.09752,0.05245,0.20871,0,0.21463,0,0,0.04517,0,0.05138,0.27877,0.52884,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA,1.24355,2.53664,0.15235,0.11424,0.00913,0.05556,0.14692,0.17196,0.30843,0.00612,0.04564,0.2309,0.12129,0.00313,0,0.38684,0.01194,0.08918,0.26092,0.03258,0.04253,0.01831,0.09098,1.64856,0.20062,0.03627,0.0371,0.31566,0,0.0275,0.51276,1.37601,0.06414,0.05531,0.0194
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum,0,3.58743,0,0.49633,0,0.70648,0,0,0.0016,0,0.1083,0,0.68703,0.49223,0,0,0.62517,0.00517,2.46571,0.00583,0.06932,0.03141,0,0,0,0,0,0,0.00589,0.28578,1.79915,0,0,2.66669,0.30255
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00482,0,0,0,0.04559,0,0,0,0,0,0,0,0,0,0,0.01608,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Clostridiales_bacterium_1_7_47FAA,0.10322,0,0,0,0,0.01356,0,0,0.00645,0,0.00841,0,0,0,0.00561,0.01515,0,0,0,0,0,0,0,0,0.01229,0,0.00431,0,0,0,0,0,0.00795,0.00577,0.00469
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_citroniae,0,0,0,0.00484,0,0.03387,0,0,0.00191,0.01406,0.05346,0,0,0,0,0.01364,0.01568,0,0.00721,0,0,0,0,0,0.02821,0.00411,0.10112,0,0,0.01434,0.00462,0,0.0449,0.00991,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_asparagiforme,0.14154,0,0,0,0.02471,0,0.05024,0.0281,0.13075,0,0.10377,0,0,0,0,0.03897,0,0,0,0.03256,0,0,0,0,0,0,0,0,0,0.12539,0.03784,0,0,0.02471,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA,0,0,0,0,0,0.11328,0.03872,0.08294,0.00229,0.10629,0.12587,1.44205,0.13566,0.10136,0,0,0.24113,0,0.52763,0.1764,0.00961,0.08421,0.02384,0,0,0.0555,1.24736,0,0,0.53383,0.03285,0,0.02255,0.00806,0.05185
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Dysgonomonas|s__Dysgonomonas_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactococcus_phage_936_sensu_lato|t__PRJNA17737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3788,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactococcus_phage_P087|t__PRJNA37887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens|t__Bacteroides_xylanisolvens_unclassified,0,0.53434,0.82973,1.79219,1.83093,0,0.01535,1.48913,0,1.84036,2.35981,0,0.72344,0,0,0,0.00535,0.01862,2.78134,0,2.16881,0,0,0,0,0.92116,0,0,0,0,0,0,1.40492,0.0111,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_57FAA_CT1|t__GCF_000218405,0,0,0.01302,0.02033,0.01579,0,0,0,0,0,0,0,0,0,0,0.19925,0,0,0,0,0,0,0.01492,0,0.02909,0,0,0,0,0.01496,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_leptum|t__GCF_000154345,0,0,2.26874,0,0.00461,0.02771,0,0,0.02693,0,0,0,0,0,0,1.49961,0.05823,0.05402,0.01254,0,0,0.11009,0,0,0,0,0,0,0,0.54076,0.06256,0.00959,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis|t__GCF_000225345,0,0,0.23637,0.39545,1.50843,0.09221,0.06673,0.36372,0.00638,0.09868,0.01144,0,0.17923,0,0,0,0.04141,0.35272,0,0.17627,0,0,0.26029,0,12.37456,0.13271,0,0.0285,0,0,2.31438,0.55854,0,0.01861,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens|t__GCF_000146185,0,1.2005,0.55692,0.29333,0.96964,0.1689,1.42433,0,0.90157,4.41195,6.56444,0,0.2228,0.50448,1.08105,0,1.03187,1.00683,3.96341,5.33202,0.00383,0.03768,0.01377,0.34273,0.71618,0.10822,0.75897,0.3489,0,1.46377,0.88877,13.56909,0.19806,1.12681,0.33831
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_clostridioforme|t__Clostridium_clostridioforme_unclassified,0.04933,0.71443,0,0,0,0,0.00609,0,0,0,0.03946,0.5113,0,0.11584,0.24678,0.16082,0,0,0,0.03932,0,0,0,0,0.06708,0.00531,0.40878,0.03094,0,0,0,0,0.07509,0,0.06973
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecalis|t__Enterococcus_faecalis_unclassified,0,0.01603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336,0,0,0,0.02857,0,0,0.0278,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis|t__GCF_000154565,0,0,0.09711,0.12626,0,0,0,0,0,0,0.15811,0,0,0,0,0,0.00115,0,0.00901,0,0,0,0.00675,0,0.01271,0,0,0.00142,0,0.00245,0,0,0.00595,0.03211,0.02352
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes|t__GCF_000155875,0,0,0,0,0,0,0.29555,0,0,0,0,0,0,0,0,0,0.90106,0.0716,0,0,0.40173,0,0,0.74809,0,0.03402,0,0,0,0,0.24043,0.19503,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus|t__GCF_000468015,0,0,0.20648,0,0.01553,0.1763,0,0.44926,0.04456,0,0,0,0,0,0,0,0.52901,0,0,0.45687,0.0062,0,0.00319,0,0.02389,0.00336,0,0.10012,0,0.52447,0.00871,0,0,0.39184,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus|s__Lactococcus_lactis|t__Lactococcus_lactis_unclassified,0.05289,0,0,0,0,0,0,0,0,0,0,0,0.00735,0.01277,0,0,0,0,0,0,0.32234,0.01357,0,2.00925,0,0,0,0,0.06131,0.02052,0.00263,1.79156,0.01571,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum|t__Eubacterium_siraeum_unclassified,0,0,5.49567,0.69575,0,0.33742,0.76376,0,0,0,2.11291,0,1.59613,0,0.93365,0,0.35493,0.01993,0.04208,0.00885,0.81842,0,0,0,0,0.28415,0,0,0,0,0.29718,0,0,2.10376,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_8_1_57FAA|t__GCF_000185545,0,0,0,0,0.26758,0.02172,0,0.07618,0.38056,0.11381,0.64469,0,0,0,0,0,0,0.04489,0.04686,0,0,0,0,0,0,0,0,0.0251,0,0.12545,0,0.6519,0.04297,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_1_1_57FAA|t__GCF_000218445,0,0,0,0.80035,0.53825,0.02391,0,0,0,0,0,0,0.12499,0,0.05394,0.02189,0,0,0.01337,0,0.8616,0.04138,0,0,0,0,0,0,0,0,0,0,0,1.11589,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans|t__Dorea_formicigenerans_unclassified,0,0,0.28534,0.04162,0,0.09593,0.3151,0.12923,0.07634,0,0,0,0.12929,0,0,0,0.25355,0.02331,0.18035,0,0.09752,0.05245,0.20871,0,0.21463,0,0,0.04517,0,0.05138,0.27877,0.52884,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA|t__GCF_000185525,1.24355,2.53664,0.15235,0.11424,0.00913,0.05556,0.14692,0.17196,0.30843,0.00612,0.04564,0.2309,0.12129,0.00313,0,0.38684,0.01194,0.08918,0.26092,0.03258,0.04253,0.01831,0.09098,1.64856,0.20062,0.03627,0.0371,0.31566,0,0.0275,0.51276,1.37601,0.06414,0.05531,0.0194
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum|t__GCF_000173435,0,3.58743,0,0.49633,0,0.70648,0,0,0.0016,0,0.1083,0,0.68703,0.49223,0,0,0.62517,0.00517,2.46571,0.00583,0.06932,0.03141,0,0,0,0,0,0,0.00589,0.28578,1.79915,0,0,2.66669,0.30255
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae|t__GCF_000210055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00482,0,0,0,0.04559,0,0,0,0,0,0,0,0,0,0,0.01608,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_noname|g__Clostridiales_noname|s__Clostridiales_bacterium_1_7_47FAA|t__GCF_000155435,0.10322,0,0,0,0,0.01356,0,0,0.00645,0,0.00841,0,0,0,0.00561,0.01515,0,0,0,0,0,0,0,0,0.01229,0,0.00431,0,0,0,0,0,0.00795,0.00577,0.00469
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_citroniae|t__GCF_000233455,0,0,0,0.00484,0,0.03387,0,0,0.00191,0.01406,0.05346,0,0,0,0,0.01364,0.01568,0,0.00721,0,0,0,0,0,0.02821,0.00411,0.10112,0,0,0.01434,0.00462,0,0.0449,0.00991,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_asparagiforme|t__GCF_000158075,0.14154,0,0,0,0.02471,0,0.05024,0.0281,0.13075,0,0.10377,0,0,0,0,0.03897,0,0,0,0.03256,0,0,0,0,0,0,0,0,0,0.12539,0.03784,0,0,0.02471,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA|t__GCF_000209405,0,0,0,0,0,0.11328,0.03872,0.08294,0.00229,0.10629,0.12587,1.44205,0.13566,0.10136,0,0,0.24113,0,0.52763,0.1764,0.00961,0.08421,0.02384,0,0,0.0555,1.24736,0,0,0.53383,0.03285,0,0.02255,0.00806,0.05185
k__Bacteria|p__Deinococcus_Thermus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales,0.17031,0.00546,0.05094,0.00232,1.08695,5.62925,1.50481,5.37981,0.6785,0.14272,0.15177,4.12577,2.60342,1.17785,5.13726,0.17589,0.08933,4.21284,2.33361,2.73603,3.47931,3.45086,0.5985,1.52713,0.13499,0.65537,2.82163,0.05315,0,0.28597,0.00869,0,11.3846,0.86558,0.80529
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae,0,0.12242,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07173,0,0.04264,0,0,0,0,0,0,0,0,0.08294,0.08586,5.27739,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae,0.17031,0.00546,0.01822,0.00232,0.41268,5.62925,0.49626,5.37981,0.52653,0.14272,0.15177,4.12577,2.60342,0.75865,5.13726,0.17589,0.06358,4.21284,2.33361,2.73603,3.4494,3.45086,0.5985,1.52713,0.13499,0.65537,2.82163,0.04633,0,0.21733,0.00869,0,11.38145,0.7822,0.3794
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00095,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus,0,0.12242,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07173,0,0.04264,0,0,0,0,0,0,0,0,0.08294,0.08586,4.91719,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterellaceae_unclassified,0.17031,0,0,0,0,0,0,0,0,0.13835,0.15177,0,0,0,0,0.17589,0.03172,0,0,2.72521,0,0,0,0,0.13499,0,0,0.03818,0,0,0.00869,0,0,0,0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Atopobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,0,0,0.19303,0,0,0,0.39279,2.56169,1.09512,0.02716,0.03174,0.00695,0,0,0.29057,0.00296,0.1691,0.0171,0.66793,4.68273,0.93798,2.94746,7.22046,0,1.14088,0.06436,0,0.36918,3.04848,0.0106,0.10761,0,9.25426,0,0.03683
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum,0,0,0,0,0,0,0.38391,0.14317,0.05093,0,0,0,0.00103,0,0,0,0,0,0,0.95043,0.0757,0,0,1.47301,0,0.24042,0,0,2.29872,0.15251,0.74912,0,0,0,0.01319
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_micronuciformis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,10.12811,0.69383,2.52631,1.45256,0.03242,6.84483,8.86458,5.60589,4.8993,40.9454,21.0473,0.00437,1.68231,0.01701,11.71321,0.00813,8.81365,7.22288,4.12022,10.17439,0.9425,0.86613,1.28331,0,0.00272,2.48349,0.00083,8.00E-04,9.00E-05,5.456,2.8768,3.4809,0.00031,0.00217,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium,0.4862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09916,0,0,0,0,0,0,0,0,0,0,0.00143,0,1.35866,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp_C150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05955,0,0,0,0,0,0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae|g__Siphoviridae_noname|s__Lactococcus_phage_ul36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_buccae,0,3.71023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.10424,0,0.00975,0,0.00049,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_rhamnosus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07173,0,0,0,0,0,0,0,0,0,0,0,0,4.85812,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae,0,0,0,0,0,0,3.29857,0,8.72308,0,0,5.36616,1.51456,0,1.72163,0,3.02176,1.41717,0.00449,5.03213,1.84718,0,0,0,0,0.84094,0,0,1.71826,0,0,0.38496,0,1.95136,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_plantarum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_elsdenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00095,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_peroris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00072,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_breve,0,0,0,0.00475,0.4211,0.04433,0,0.05806,0,0.03139,0.00322,0,0,0,0,0.16713,0.03873,0.00052,0.16,0.07182,0.00927,0.03721,0.08961,0,0.04364,0.03253,0.03185,0,0.00635,0,0,0.00278,0.02307,0.04898,0.01056
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_unclassified,0,0,0,0.23748,0,0.06596,0,0,0,0,0,0,0,0,0.05368,0,0.01333,0.01491,0,0.01521,0,0,0.00826,0,0,0.04526,0,0,0,0,0.05043,0.0579,0,0.06971,0.00476
