sample,VatanenT_2016.metaphlan_bugs_list.stool:G69178,VatanenT_2016.metaphlan_bugs_list.stool:G69225,VatanenT_2016.metaphlan_bugs_list.stool:G78489,VatanenT_2016.metaphlan_bugs_list.stool:G78490,VatanenT_2016.metaphlan_bugs_list.stool:G78494,VatanenT_2016.metaphlan_bugs_list.stool:G78599,VatanenT_2016.metaphlan_bugs_list.stool:G78600,VatanenT_2016.metaphlan_bugs_list.stool:G78624,VatanenT_2016.metaphlan_bugs_list.stool:G78653,VatanenT_2016.metaphlan_bugs_list.stool:G78654,VatanenT_2016.metaphlan_bugs_list.stool:G78655,VatanenT_2016.metaphlan_bugs_list.stool:G78687,VatanenT_2016.metaphlan_bugs_list.stool:G78803,VatanenT_2016.metaphlan_bugs_list.stool:G78804,VatanenT_2016.metaphlan_bugs_list.stool:G78805,VatanenT_2016.metaphlan_bugs_list.stool:G78806,VatanenT_2016.metaphlan_bugs_list.stool:G78823,VatanenT_2016.metaphlan_bugs_list.stool:G78854,VatanenT_2016.metaphlan_bugs_list.stool:G78856,VatanenT_2016.metaphlan_bugs_list.stool:G78857,VatanenT_2016.metaphlan_bugs_list.stool:G78858,VatanenT_2016.metaphlan_bugs_list.stool:G78870,VatanenT_2016.metaphlan_bugs_list.stool:G78871,VatanenT_2016.metaphlan_bugs_list.stool:G80268,VatanenT_2016.metaphlan_bugs_list.stool:G80274,VatanenT_2016.metaphlan_bugs_list.stool:G80288,VatanenT_2016.metaphlan_bugs_list.stool:G80296,VatanenT_2016.metaphlan_bugs_list.stool:G80297,VatanenT_2016.metaphlan_bugs_list.stool:G80312,VatanenT_2016.metaphlan_bugs_list.stool:G80318,VatanenT_2016.metaphlan_bugs_list.stool:G80322,VatanenT_2016.metaphlan_bugs_list.stool:G80347,VatanenT_2016.metaphlan_bugs_list.stool:G80387,VatanenT_2016.metaphlan_bugs_list.stool:G80420,VatanenT_2016.metaphlan_bugs_list.stool:G80424
k__Bacteria|p__Firmicutes|c__Clostridia,15.01339,53.65694,56.19445,22.52995,22.77027,8.67892,20.82648,31.26315,23.38159,19.90427,47.94563,31.29168,22.93921,30.48327,19.45503,21.20009,39.93268,10.39722,24.97164,28.91058,28.71074,13.46543,9.37904,49.98896,47.57516,4.28276,20.90182,12.211,0.08774,29.58773,25.43906,62.5252,21.61779,44.73934,29.44473
k__Bacteria|p__Firmicutes|c__Bacilli,0.13362,0.55585,0,0.09274,0,0.09586,0.31121,0.12128,0.14149,0,1.27749,0.37354,0.03033,0.01277,0.02341,0.79444,0.64191,0.20246,0.80419,0.53873,0.32543,0.15621,0.05902,2.46324,0.07242,0,0.50989,0.24417,5.47644,0.02052,0.7907,2.18653,0.11116,0.01407,0.00446
k__Bacteria|p__Firmicutes|c__Erysipelotrichia,0.16813,0.06139,0.00882,0,0.01758,0.00787,0.01433,0,0.00235,0.21171,1.89477,0.07966,0.04739,0.03754,0.27794,0.86113,0.3247,0.07446,0.01349,0.05213,0.00768,0.0373,0.07907,0,0.07239,0.02091,0.04363,0.15669,0,0.04689,2.1399,0.07267,0.01253,0.0308,0.03499
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,0.17031,0.00546,0.05094,0.00232,1.08695,5.62925,1.50481,5.37981,0.6785,0.14272,0.15177,4.12577,2.60342,1.17785,5.13726,0.17589,0.08933,4.21284,2.33361,2.80635,3.47931,3.45086,0.5985,1.52713,0.13499,0.65537,2.82163,0.05315,0,0.28597,0.00869,0,11.3846,0.86558,0.80529
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales,0.013,0.36293,0.44709,0.48044,0.0745,0.02512,0.00449,2.22744,1.89239,0.01676,0.00289,3.5487,0.02008,0.05582,0.00832,0.05246,0.03164,0.39198,0.13728,0.98032,1.00214,1.14965,6.19564,3.75632,1.74883,0.42434,1.76205,0.2823,0.01092,0.64117,16.14952,1.03455,4.01401,1.80091,0.04106
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales,0.05543,0.58103,0.0124,2.46712,0.09245,0.14534,0,0.0137,0,0.08588,0.33506,2.65726,0.05153,0.4776,0.01202,0.44807,1.07813,0.08401,0.04215,0.05383,0.04276,0.04528,0.13844,0.39163,0.80146,0.4639,0.09283,0.26646,0.78678,0,0.11214,2.18432,0.02162,0.02852,0.08604
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales,0.10914,13.76058,0.47931,0.05937,0.65564,5.78721,5.00779,2.00561,0.61881,0.05044,0.00777,0.01185,0.04119,0,0.01179,2.66914,1.51149,0.09828,1.16044,0.02516,0.00844,0.04318,1.87202,0,4.86442,5.86889,22.691,0,0.00299,2.66451,9.77496,8.95269,0.0719,0.10081,0.71597
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,83.60373,17.5887,41.17678,72.83374,74.44837,75.03298,70.72912,55.06582,70.91823,74.46619,42.56622,52.68814,70.45967,65.6693,73.42044,72.02058,52.2885,82.65868,55.31694,49.0054,59.20319,70.95923,64.15874,32.35608,32.61618,86.73406,49.58432,76.55306,1.72205,64.99238,39.48688,18.31174,48.02402,48.87958,66.56251
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales,0,0,0.06132,0,0,0,0,0,0,0,0.03051,0,0.85382,0.08467,0,0.03536,0,0.18138,0.10774,0,0.01752,0.3788,0,1.85422,0.08557,0.02806,0.01772,6.69132,63.30728,0,0.22543,0,0.01866,0.00685,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,0.56551,9.14119,0.72673,1.36244,0.52532,3.57992,1.06437,3.48909,1.55712,3.37986,4.16744,4.8012,2.11161,1.27682,1.34672,1.33003,3.21008,0.43238,14.60163,14.29031,4.934,5.80344,14.52128,6.91765,9.34714,1.1092,1.1387,2.19194,28.53652,1.34009,4.56198,3.43703,13.61401,3.34158,1.56302
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,15.01339,53.65694,56.19445,22.52995,22.77027,8.67892,20.82648,31.26315,23.38159,19.90427,47.94563,31.29168,22.93921,30.48327,19.45503,21.20009,39.93268,10.39722,24.97164,28.91058,28.71074,13.46543,9.37904,49.98896,47.57516,4.28276,20.90182,12.211,0.08774,29.58773,25.43906,62.5252,21.61779,44.73934,29.44473
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,0.13362,0.55585,0,0.09274,0,0.09586,0.31121,0.12128,0.14149,0,1.27749,0.37354,0.03033,0.01277,0.02341,0.79444,0.64191,0.20246,0.80419,0.53873,0.32543,0.15621,0.05902,2.46324,0.07242,0,0.50989,0.24417,5.47644,0.02052,0.7907,2.18653,0.11116,0.01407,0.00446
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales,0.02521,4.2769,0.00776,0,0.0094,0.00679,0.43172,0.08599,0.56374,0,0,0.08349,0.0373,0.03489,0.03011,0.02425,0.13577,0.99993,0.34183,1.55329,0.0368,3.61127,0.27664,0.19912,2.53692,0.06969,0.30209,0.76364,0,0.0645,0.45959,0,0.21478,0.1224,0.0289
