sample,LiSS_2016.metaphlan_bugs_list.stool:FAT_DON_11-22-0-4,LiSS_2016.metaphlan_bugs_list.stool:FAT_DON_11-22-0-5,LiSS_2016.metaphlan_bugs_list.stool:FAT_DON_11-22-0-6,LiSS_2016.metaphlan_bugs_list.stool:FAT_DON_19-22-0-0,LiSS_2016.metaphlan_bugs_list.stool:FAT_DON_8-22-0-0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae,0.12903,0.24243,0.15294,0.00559,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname,0.04577,0.02865,0.07272,0.00189,0.0061
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium,9.6567,12.45516,7.23215,28.18466,28.40785
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,24.27572,14.19705,16.98421,13.31642,9.17267
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium,12.07332,19.87794,18.93756,11.97557,6.69138
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia,3.76629,3.19229,7.82913,9.72078,0.84981
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus,1.69049,3.49579,2.40658,9.08359,3.77523
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum,3.14404,4.46142,6.73483,8.24122,5.10478
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium,0.72768,2.34415,0.7414,5.61763,11.32211
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname,2.68561,3.63337,1.86662,1.86681,0.58398
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes,5.58254,3.71963,5.76689,1.83987,5.91506
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia,1.78248,2.88072,1.4255,1.81006,1.12507
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides,1.32897,1.08709,1.22871,1.69709,1.63201
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus,0.97846,1.91847,0.69663,1.61637,1.4304
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella,0.93191,1.84648,0.91815,1.30109,0.27875
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcus,0,0,0,0.98914,0.11011
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea,1.85856,3.00931,1.48288,0.77192,1.86836
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella,0.51335,0.42972,0.3816,0.38796,1.39452
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella,0,0,0,0.33456,0.31544
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname,0,0.00894,0.00831,0.1911,2.77833
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes,0.05023,0.05745,0.06392,0.14472,0.02288
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,3.21042,4.30269,0.22525,0.1422,0.19887
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila,0.02036,0.00902,0.1047,0.11545,0.55462
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname,0.2953,0.18032,0.77978,0.10395,0.36003
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter,1.19282,0.30245,0.64955,0.0852,0.90089
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus,0.01044,0,0.07976,0.08136,0.07131
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Acidaminococcaceae|g__Acidaminococcaceae_unclassified,0.0037,0,0,0.06497,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia,0.00497,0.03189,0.04077,0.05667,0.09109
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Peptostreptococcaceae_noname,0.0691,0.39298,0.05692,0.03803,0.00615
