sample,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO01,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO02,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO03,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO04,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO05,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO06,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO08,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO09,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO10,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO11,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO12,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO13,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO14,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO15,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO16,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO17,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO18,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO19,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO20,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO21,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO22,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO23
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XI_Incertae_Sedis|g__Parvimonas|s__Parvimonas_unclassified,0,0,0,0,0.01159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0056,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis_oralis_pneumoniae,0.00105,0.0018,0,0.0233,0,0.00236,0.00251,0.01073,0.01861,0,0,0,0,0,0,0.0036,0.00358,0,0.00885,0.00985,0,0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Viruses_noname|f__Adenoviridae|g__Mastadenovirus|s__Human_adenovirus_D|t__Human_adenovirus_D_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_lutetiensis|t__GCF_000441535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_parvula|t__Veillonella_parvula_unclassified,0.50067,0.00308,0,0.03454,0,0.00381,9.00E-04,0,0.0307,0,0.00206,0.01075,0.00553,0.0465,0,0,0.00482,0.0047,0.04615,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantarius|t__Streptococcus_infantarius_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis|t__Streptococcus_parasanguinis_unclassified,0,0.00753,0,0.53812,0.01867,0.0248,0.03768,0.02969,1.43516,0.01067,0.03344,0.01562,0.012,0.02358,0,0.00145,0.06262,0.01855,0.00655,0.01214,0.00191,0.01557
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__Escherichia_coli_unclassified,1.73973,0.12556,0.00862,0.01546,0.33691,0.48884,0,0.02869,0.01797,0.171,0.0061,0.02059,0,0,0.00982,0.04433,0,0.10434,0.0359,1.17349,0,0.10379
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis_oralis_pneumoniae|t__Streptococcus_mitis_oralis_pneumoniae_unclassified,0.00105,0.0018,0,0.0233,0,0.00236,0.00251,0.01073,0.01861,0,0,0,0,0,0,0.0036,0.00358,0,0.00885,0.00985,0,0
k__Bacteria|p__Deinococcus_Thermus,0.0085,0,0.00826,0,0,0,0,0,0,0,0,0,0.0035,0.00716,0,0,0,0.00604,0,0,0,0.02635
k__Bacteria|p__Verrucomicrobia,0,0.60606,0.19147,0,13.97237,0.00308,0.00784,4.43947,1.64312,3.46676,0,2.24009,0.06362,7.83647,0,0,1.63301,0.08053,0.00172,0.43596,10.57291,7.79216
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria,0,0,0,0,0,0,0,0,0.00878,0,0,0,0,0,0,0,0,0,0,0.0167,0,0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci,0.0085,0,0.00826,0,0,0,0,0,0,0,0,0,0.0035,0.00716,0,0,0,0.00604,0,0,0,0.02635
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,0,0.60606,0.19147,0,13.97237,0.00308,0.00784,4.43947,1.64312,3.46676,0,2.24009,0.06362,7.83647,0,0,1.63301,0.08053,0.00172,0.43596,10.57291,7.79216
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales,0,0,0,0,0,0,0,0,0.00878,0,0,0,0,0,0,0,0,0,0,0.00902,0,0
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales,0.0085,0,0.00826,0,0,0,0,0,0,0,0,0,0.0035,0.00716,0,0,0,0.00604,0,0,0,0.02635
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales,0,0.60606,0.19147,0,13.97237,0.00308,0.00784,4.43947,1.64312,3.46676,0,2.24009,0.06362,7.83647,0,0,1.63301,0.08053,0.00172,0.43596,10.57291,7.79216
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae,0,0,0.0066,0.00139,0,0,0,0,0,0,0,0.02191,0,0.37637,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bartonellaceae,0,0,0,0,0,0,0,0,0.00878,0,0,0,0,0,0,0,0,0,0,0.00902,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae,0.00149,0.01573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae,0.0085,0,0.00826,0,0,0,0,0,0,0,0,0,0.0035,0.00716,0,0,0,0.00604,0,0,0,0.02635
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,0.00326,5.20934,4.40752,2.2627,24.07393,6.79778,1.36588,2.60663,0.67788,5.11971,47.09757,24.5082,15.67463,4.39053,14.30432,0.16706,0.19714,19.76277,34.4605,7.6071,11.5558,6.87151
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae,0,0.60606,0.19147,0,13.97237,0.00308,0.00784,4.43947,1.64312,3.46676,0,2.24009,0.06362,7.83647,0,0,1.63301,0.08053,0.00172,0.43596,10.57291,7.79216
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio,0,0.00554,0.00738,0.01587,0.00616,0,0,0,0.00574,0,0,7.64033,0.00626,0,0,0.01663,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Selenomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Oxalobacter,0,0,0.0066,0.00139,0,0,0,0,0,0,0,0.02191,0,0.37637,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bartonellaceae|g__Bartonella,0,0,0,0,0,0,0,0,0.00878,0,0,0,0,0,0,0,0,0,0,0.00902,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus,0.00149,0.01573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Mitsuokella,0,0.00418,0.00557,0.97595,0.01394,0.011,0,0,0,0,0,0,0,0,0.02172,0.01166,0.0219,0.00814,0.00625,0,0,0.00592
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus,0.0085,0,0.00826,0,0,0,0,0,0,0,0,0,0.0035,0.00716,0,0,0,0.00604,0,0,0,0.02635
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides,0.00326,5.20934,4.40752,2.2627,24.07393,6.79778,1.36588,2.60663,0.67788,5.11971,47.09757,24.5082,15.67463,4.39053,14.30432,0.16706,0.19714,19.76277,34.4605,7.6071,11.5558,6.87151
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia,0,0.60606,0.19147,0,13.97237,0.00308,0.00784,4.43947,1.64312,3.46676,0,2.24009,0.06362,7.83647,0,0,1.63301,0.08053,0.00172,0.43596,10.57291,7.79216
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_sp_ART55_1,0,3.79733,6.11521,6.09718,0,0,0.08548,0,0,0,0,2.06002,0,2.39578,0,0.07031,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_crossotus,0,0,0.00065,0,0,0,0,0,0,0,0,7.64033,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_unclassified,0.02422,0,0,0,0.14747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09067,0.07287,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Selenomonas|s__Selenomonas_bovis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica,0.03679,0,0,0.06086,0,0,0,0.00148,0.02413,0,0,0,0,0,0,0,0,0,0.01418,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Oxalobacter|s__Oxalobacter_formigenes,0,0,0.0066,0.00139,0,0,0,0,0,0,0,0.02191,0,0.37637,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bartonellaceae|g__Bartonella|s__Bartonella_unclassified,0,0,0,0,0,0,0,0,0.00878,0,0,0,0,0,0,0,0,0,0,0.00902,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium,0,0.01226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Brachyspiraceae|g__Brachyspira|s__Brachyspira_pilosicoli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Mitsuokella|s__Mitsuokella_unclassified,0,0.00418,0.00557,0.93873,0.01394,0.011,0,0,0,0,0,0,0,0,0.02172,0.01166,0.0219,0.00814,0.00625,0,0,0.00592
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae|g__Deinococcus|s__Deinococcus_unclassified,0.0085,0,0.00826,0,0,0,0,0,0,0,0,0,0.0035,0.00716,0,0,0,0.00604,0,0,0,0.02635
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis,0,0.08198,0.7389,1.75141,0.01277,0,0.01063,0.0508,0.06022,0,8.00E-04,0.3017,1.57787,1.2982,0.28697,0.09838,0.39751,0.28287,0.05616,0.00887,0.8489,0.4529
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,0,0.45994,0.30495,0.01049,0.00062,0.75909,0.06341,0,0.67483,0.05147,0.46291,0,0.55996,0.06438,3.71258,0.03454,0.02011,0.00331,10.62571,0.38162,1.07288,0.89633
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_desulfuricans,0,0,0,0.01736,0,0,0.07746,0,0,0,0.00619,0,0,0.14179,0.05216,0,0,0,0,0,0.26237,0.00451
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila,0,0.60606,0.19147,0,13.97237,0.00308,0.00784,4.43947,1.64312,3.46676,0,2.24009,0.06362,7.83647,0,0,1.63301,0.08053,0.00172,0.43596,10.57291,7.79216
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__GCF_000162015,0,1.9729,1.22986,12.86324,0,0,8.08902,5.94543,0,0,2.98385,4.01738,10.67738,1.69131,5.20579,1.20099,7.22523,9.33529,0,0,3.98731,2.02444
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_sp_ART55_1|t__GCF_000210595,0,3.79733,6.11521,6.09718,0,0,0.08548,0,0,0,0,2.06002,0,2.39578,0,0.07031,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_crossotus|t__GCF_000156015,0,0,0.00065,0,0,0,0,0,0,0,0,7.64033,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Selenomonas|s__Selenomonas_bovis|t__GCF_000381005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_atypica|t__Veillonella_atypica_unclassified,0.03679,0,0,0.06086,0,0,0,0.00148,0.02413,0,0,0,0,0,0,0,0,0,0.01418,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae|g__Oxalobacter|s__Oxalobacter_formigenes|t__Oxalobacter_formigenes_unclassified,0,0,0.0066,0.00139,0,0,0,0,0,0,0,0.02191,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus|s__Enterococcus_faecium|t__Enterococcus_faecium_unclassified,0,0.01226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00101
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Brachyspiraceae|g__Brachyspira|s__Brachyspira_pilosicoli|t__Brachyspira_pilosicoli_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis|t__GCF_000225345,0,0.08198,0.7389,1.75141,0.01277,0,0.01063,0.0508,0.06022,0,8.00E-04,0.3017,1.57787,1.2982,0.28697,0.09838,0.39751,0.28287,0.05616,0.00887,0.8489,0.4529
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus|t__Bacteroides_vulgatus_unclassified,0,0.45994,0.30495,0.01049,0.00062,0.75909,0.06341,0,0.67483,0.05147,0.46291,0,0.55996,0.06438,3.71258,0.03454,0.02011,0.00331,10.62571,0.38162,1.07288,0.89633
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_desulfuricans|t__Desulfovibrio_desulfuricans_unclassified,0,0,0,0.01736,0,0,0.07746,0,0,0,0.00619,0,0,0.14179,0.05216,0,0,0,0,0,0.26237,0.00451
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225,0,0.60606,0.19147,0,13.97237,0.00308,0.00784,4.43947,1.64312,3.46676,0,2.24009,0.06362,7.83647,0,0,1.63301,0.08053,0.00172,0.43596,10.57291,7.79216
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus,0,0.02818,0.09514,0.01197,0.14614,0.01064,0.04628,0.01186,0.06804,0.16376,0.45241,0.04469,0.10754,0.1509,0.12056,0.00368,0.00875,0.27121,0.02135,0.08652,0.11819,0.34299
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_unclassified,0,0.02818,0.07952,0.01165,0.11396,0.01064,0.04139,0.01186,0,0.10488,0,0.04469,0.09903,0.14577,0.10291,0,0.00875,0.18902,0.00573,0.08286,0.06392,0.1774
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,0.00326,0.00196,0.12762,0.00226,4.44309,0.011,0,1.57227,0,0.02553,0,0.61095,0.17939,0.21855,1.39256,0.00427,0.02809,4.03647,0.00222,0.57825,0.02659,0.06359
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis|t__Bacteroides_fragilis_unclassified,0.00326,0.00196,0.12762,0.00226,4.44309,0.011,0,1.57227,0,0.02553,0,0.61095,0.17939,0.21855,1.39256,0.00427,0.02809,4.03647,0.00222,0.57825,0.02659,0.06359
k__Bacteria|p__Fusobacteria,0,0,0.00134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia,0,0,0.00134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales,0,0,0.00134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae,0,0,0.00134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Cetobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Cetobacterium|s__Cetobacterium_somerae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_elsdenii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Cetobacterium|s__Cetobacterium_somerae|t__GCF_000479045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_elsdenii|t__GCF_000283495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales,0,0.00418,0.00557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00625,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Sinobacteraceae,0,0.00418,0.00557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00625,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae,0,0,0,0,0,0.00324,0,0,0,0,0,0,0,0,0,0,0,0,0.00369,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Sinobacteraceae|g__Sinobacteraceae_unclassified,0,0.00418,0.00557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00625,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas,0,0,0,0,0,0.00324,0,0,0,0,0,0,0,0,0,0,0,0,0.00369,0,0,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas|s__Comamonas_unclassified,0,0,0,0,0,0.00324,0,0,0,0,0,0,0,0,0,0,0,0,0.00369,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_flavefaciens,0,0.00115,0.01548,0,0,0,0.00057,0.00362,0.00162,0.00027,0,0.01362,0,0,0,0,0.0015,0,0,0,0.00094,0.00111
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_flavefaciens|t__Ruminococcus_flavefaciens_unclassified,0,0.00115,0.01548,0,0,0,0.00057,0.00362,0.00162,0.00027,0,0.01362,0,0,0,0,0.0015,0,0,0,0.00094,0.00111
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae,41.0206,0.07051,0.08998,0.33521,3.12115,1.30695,0.04562,0.27536,2.98476,1.27575,7.44095,7.43962,2.3099,0.25871,2.18858,0.70762,3.29641,0.63215,0.18547,1.2316,0.55048,0.30882
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae,0,0.13478,0.73384,1.16702,2.11681,2.7939,0.04749,0.53508,0.08029,0.38731,0.00452,5.34343,1.33765,1.6813,5.37543,0.05947,0.04366,0.14951,4.26049,0.49679,1.35631,3.23021
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium,41.0206,0.07051,0.08998,0.33521,2.7818,1.30695,0.04562,0.2436,2.98476,1.25685,7.44095,7.43962,2.3099,0.25341,2.17301,0.7032,3.29572,0.61338,0.18278,1.22216,0.55048,0.30742
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides,0,0.05749,0.43133,0.83157,0.73366,2.55555,0.04749,0.53508,0.08029,0.38731,0,4.58194,0.78572,1.15667,4.70378,0.03169,0.02676,0.00919,3.71921,0.49679,0.94393,2.02747
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_L2_50,0,0,0,0,0,0,0,0,0,0,0,7.42115,2.0883,0,2.06531,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified,0,0.03547,0,0.45092,0,0,0.0342,0.10795,0,0,0,0,0,0,0,0,0,0.00919,0.65003,0.16672,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_L2_50|t__GCF_000154245,0,0,0,0,0,0,0,0,0,0,0,7.42115,2.0883,0,2.06531,0,0,0,0,0,0,0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Podoviridae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01633,0,0,0,0,0,0,0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Podoviridae|g__Epsilon15likevirus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01633,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter,0.06997,0.00372,0,0,0.00207,0.00563,0,0,0,0.00134,0,0,0,0,0,0.00271,0.01161,0,0.00669,0,0.1001,0
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Podoviridae|g__Epsilon15likevirus|s__Epsilon15likevirus_unclassified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01633,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_unclassified,0.04168,0.00303,0,0,0.00207,0.00563,0,0,0,0.00134,0,0,0,0,0,0.00271,0.00559,0,0.00517,0,0.07543,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae,0,1.343,4.61664,1.23203,1.41764,2.3594,0.13183,0,0,0.36675,13.26939,6.08833,3.34465,3.48983,7.57961,0.04543,0.12189,2.6758,11.69594,0.65998,4.1095,5.30367
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes,0,1.343,4.61664,1.23203,1.41764,2.3594,0.13183,0,0,0.36675,13.26939,6.08833,3.34465,3.48983,7.57961,0.04543,0.12189,2.6758,11.69594,0.65998,4.1095,5.30367
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei,0,0.00312,0.29074,0.42578,0.04213,0.09847,0.00026,0,0,0.15872,0.5635,10.81604,2.17873,0.0288,0.2996,0,0,3.60656,0.00441,0.00097,0.1415,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_7_1_58FAA,0.10521,0.08781,0.01058,0.00342,0.23075,0.53592,0.03362,0.02826,0.02872,0.12361,0.05981,0.0036,0.04723,0.26264,0.09057,0.00229,0.02317,0.03771,0.12538,0.51461,0.30821,0.16982
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae,0,0,0.14276,0.37458,0.462,2.16184,0.00283,0,0,0.36073,0,4.39522,0.60266,0.7686,3.32131,0.03055,0.02258,0,0.03925,0.33007,0.46389,0
