sample,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO01,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO02,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO03,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO04,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO05,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO06,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO08,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO09,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO10,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO11,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO12,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO13,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO14,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO15,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO16,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO17,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO18,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO19,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO20,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO21,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO22,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO23
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,31.48195,6.7103,12.96968,11.47814,27.79268,12.71624,1.5462,3.1417,0.75816,5.87376,60.37186,41.92625,21.41705,11.04588,28.34627,0.27196,0.36269,22.58809,50.41693,8.76386,17.29737,16.7607
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales,8.30987,0.24236,3.69505,1.91694,1.09498,0.65588,1.86784,0.49859,0.85271,0.40179,0.08618,1.71838,0.03519,0.1542,0.42521,0.31806,0.15453,0.58092,0.04657,0.93352,0.54876,0.15911
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales,0,3.09731,1.32286,0.95281,0.00194,0,0.2076,0,0,0,0,2.54114,0,0,1.25926,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales,0,1.36271,1.22452,4.67965,2.09832,6.00258,1.33449,0.6935,0.80496,1.64557,0.87142,0.06683,0.08509,8.71409,0.78308,2.55672,0.38218,0.13081,1.18142,0.37569,0.79492,0.95378
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,0.08999,0.50596,3.55044,2.29383,0.27811,0.19698,0.07283,0.41193,8.27799,0.03255,0.1781,0.11608,0.06172,0.5734,0.06037,0.3047,1.6937,0.15046,0.0244,0.19911,0.14737,0.07729
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,1.4063,15.61831,21.94397,2.48893,14.57264,0.52855,5.82061,6.05088,21.70114,3.82178,0.35745,1.03758,9.83275,1.01848,0.4475,2.09588,1.59945,0.01855,2.46525,20.3373,1.85937,0.83103
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales,9.32841,0.00807,0.56405,9.11662,0.03748,30.23152,17.34884,3.18935,0.066,20.09664,4.95471,0.04425,5.19857,0.2409,1.24164,0.78536,0.56722,8.41187,0.09779,0.00167,3.41973,0.01725
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales,0,0,0.017,0,0.00213,0,0.02045,0,0.3054,0.00757,0.01149,0.30838,0,0,0.01633,0,0,0,0,0,0,0.00272
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales,0.01538,0.00876,0.03567,0.04977,0.02219,0.00302,0.01263,0.00109,0.11808,0.00185,0,0.00621,0.0052,0.03079,0,0.0292,0.08242,0,0,0.00766,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales,1.9898,0.18805,0.03223,0.03355,0.33691,0.51995,0.00584,0.09777,0.04706,0.26878,0.00971,0.02059,0.00304,0,0.02095,0.06995,0,0.10434,0.11255,1.38816,0,0.13704
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,1.55949,33.91905,31.88517,41.76915,9.7761,20.18461,59.69689,42.37091,18.45083,40.60614,12.70188,20.55399,49.68779,50.98152,42.17488,74.02607,44.78112,39.9366,17.16524,41.33198,34.43421,63.00094
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae,31.47869,0.02318,3.13836,6.76482,0.14647,0.74751,0,0,0,0,0.00039,5.98629,0.78423,0.00155,0,0,0,0,0,0,0,0.89184
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae,8.30987,0.24236,3.69505,1.91694,1.09498,0.65588,1.86784,0.49859,0.85271,0.40179,0.08618,1.71838,0.03519,0.1542,0.42521,0.31806,0.15453,0.58092,0.04657,0.93352,0.54876,0.15911
