sample,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ03H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ16H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ17H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ18H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ21H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ24H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ34H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ37H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ45H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ46H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ57H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ60H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ63H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ65H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ67H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ68H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ69H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ73H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ74H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ75H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ77H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ78H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ79H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ80H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ81H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ82H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ83H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ84H_17
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelotrichaceae_noname|s__Erysipelotrichaceae_bacterium_21_3,0.01452,0,0,0.02563,0,0,0.00038,0,0,0,0.0011,0,0.00401,0.00036,0.00166,0.0026,0.0016,0,0,0.06452,0.02059,0,0.0255,0.00382,0.00582,0.00165,0,0.00027
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII_Incertae_Sedis|g__Clostridiales_Family_XIII_Incertae_Sedis_noname|s__Eubacterium_infirmum,0,0,0,0,0,0,0,0,0,0,0.001,0.00322,0,0.00326,0,0,0.00075,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri,21.41883,0,0.02769,0,0,10.36774,0,11.88235,0.00285,20.46545,0.00061,23.68204,4.00E-04,0,8.63881,0,0,0,0,1.51772,0,0,0,0,0,0,28.04884,1.41738
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_massiliensis,0,0.00325,0,0,0.0036,0,0,0,0,0.00017,0.00045,0,0.00125,0.00677,0,0.00931,0,0.00422,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Holdemania|s__Holdemania_unclassified,0,0,0,0.00719,0,0,0.00054,0,0,0,0.00021,0.00186,0.02053,0,0,0.00155,0.06188,0,0.01361,0.01406,0.00164,0.00265,0.05499,0,0,0,0,0.00186
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Olsenella|s__Olsenella_uli,0,0,0,0,0,0,0,0,0,0.00046,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii|t__GCF_000209875,0.00343,0.00015,0.01078,0,2.24437,1.03999,13.57541,0.01967,0.03707,8.76317,17.23104,7.56734,0.00102,13.96502,0.94411,17.38067,0,7.20952,11.95331,6.4696,0.00285,6.35409,13.87707,19.18509,0.00391,0.00522,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_L2_50|t__GCF_000154245,0,0,0,0,0,0,0,0,0,2.3341,14.25295,5.44464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11725,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__Bifidobacterium_longum_unclassified,8.23441,6.59269,17.44668,1.20973,1.96923,2.84824,0.85097,0.63638,2.41778,0.99146,10.45764,0.00027,0,3.67615,4.16835,5.7842,1.93997,0,2.00907,4.21428,1.47575,5.67852,11.98779,1.64151,13.62742,7.50281,0.28538,0.08689
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis|t__Bifidobacterium_adolescentis_unclassified,0,4.17811,0.00626,1.86903,0.003,6.37243,0,2.88527,11.95299,0.50378,7.71158,0.00126,7.31509,6.09594,2.0122,12.39234,0.00027,0.00091,1.75938,21.77057,0.004,1.4298,2.26436,5.44989,35.76567,0.00128,0.46777,0.04433
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__Methanobrevibacter_smithii_unclassified,0.23176,0,0,0,0.59936,0,0,0,0.43859,0,3.58956,0,0,0.31032,2.60515,0,0,0.07462,0,0,0,0,0,0.14324,0,0,0.09359,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_obeum|t__GCF_000153905,4.1582,1.82407,0.43961,0,2.14353,0,0,0,1.73312,0,3.39937,1.24693,0.70303,0,0,1.23751,0,0.65654,0.88021,0,0,0,0.50562,1.37491,0,0,0.84884,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii|t__GCF_000173975,0.29442,1.09173,0,1.37561,1.56155,0.51106,4.4742,1.12246,0.73903,0.57438,3.15477,0.63494,2.32481,1.35069,1.07199,5.4677,1.52087,0.92126,1.06865,3.40202,2.10158,1.67494,2.82665,0.97893,0,3.35234,1.44011,1.36945
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__Faecalibacterium_prausnitzii_unclassified,0.00885,8.86066,0.48173,0,5.34482,1.70925,6.49579,17.5573,4.85833,4.74369,2.29422,7.87859,0.88288,8.47499,3.2563,0.70393,9.11627,11.52008,10.58225,8.11677,2.8733,7.13127,0.47303,3.20086,6.8643,0,12.00797,5.83398
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale|t__Eubacterium_rectale_unclassified,0.00547,4.80337,0.02361,8.94877,16.08826,8.91949,4.77129,0.95787,9.88596,0.52067,2.24959,2.58388,9.21893,18.82093,15.96836,0,0.00239,16.16406,15.56832,0.40438,0.93394,0.16709,3.37824,23.05778,0.00194,4.57031,11.36164,6.40805
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis|t__GCF_000154465,0.04126,3.02647,0,3.96724,0.85067,0.00367,2.28909,0.70825,2.2968,1.47296,1.98056,2.48411,2.1252,0.19973,0,0.73807,0.01539,0.57227,0.55082,2.36003,6.58955,5.3313,3.52337,0.67737,0,0,0.31035,1.93709
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum|t__Eubacterium_siraeum_unclassified,0,0.09147,0.00128,0.00919,1.28341,0.08985,0.85492,0,0,0,1.9289,0.88986,0,0.0079,8.8055,0,0,0.03128,0,0,9.95516,0.43898,0,0,0.00135,0,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens|t__GCF_000169035,9.92892,2.26537,0.00198,2.64262,1.23787,0.41935,0.4188,1.98489,2.50633,1.71884,1.84761,1.07902,1.39395,1.73853,3.50262,2.8641,0,2.60625,1.09727,2.15501,3.20723,2.96412,3.36109,0.76094,1.78242,0,1.14086,1.21756
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum|t__Bifidobacterium_bifidum_unclassified,8.04324,6.35995,11.70172,1.2674,0,0,0,0,0.92963,0.60203,1.74659,0,0,2.1672,6.43382,0,0,0,5.037,3.23945,0,0.00043,4.70472,3.95813,5.89975,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus|t__Bacteroides_vulgatus_unclassified,0.0157,3.51157,0.0013,2.22889,2.59602,0.00459,2.88727,0.27073,1.06823,0.14094,1.53842,0.82624,0.54415,2.9716,1.39079,0.31259,20.52531,3.99409,1.7338,1.04899,0,0.80447,0.43537,1.4117,1.19533,0,0.4653,2.8705
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Butyrivibrio|s__Butyrivibrio_crossotus|t__GCF_000156015,0,0,0,0,0,0,0,0,0,0,1.05373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_5_1_39BFAA|t__GCF_000159975,6.56916,3.06604,0,4.11863,3.70549,0.77261,2.61788,3.21422,3.98348,0.92724,1.00364,1.4565,1.52809,2.67987,2.0466,3.38862,7.34098,3.86186,5.18073,0,0,1.23223,1.08611,4.94059,2.81394,13.69652,2.85748,6.0357
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_catus|t__GCF_000210555,0,0.54919,0,0.05209,0.52281,0.37022,1.71749,1.46076,0.43984,0.21987,0.96769,0.3981,0,0.32789,0.20862,0.29796,1.16583,0.43463,0.19424,0,0,0.61249,0,0,0,0.46978,0.51524,0.75973
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis|t__Bacteroides_uniformis_unclassified,0.18173,3.16478,0.00271,4.1059,2.49197,0.11593,0.89104,0.29365,0.22713,0.064,0.93307,0.30942,21.47545,0.46143,1.41179,6.25662,7.58562,1.44965,2.35128,4.8317,1.10078,0,0.39473,1.72438,0.00207,10.38141,0.20839,4.2634
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae|g__Akkermansia|s__Akkermansia_muciniphila|t__GCF_000020225,0.06463,0,0,0,0.20956,0,2.79016,0.15788,1.32522,0.00128,0.93072,0,0,0,0,2.21418,1.29842,0.34789,0.14374,2.99499,0.11991,0.18584,0,0,0,1.23113,0.00273,0.95426
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_torques|t__Ruminococcus_torques_unclassified,0.78339,0,1.09484,5.86555,0.68147,0.28498,0.94703,0.93287,1.72829,0,0.92467,0.97006,2.97384,0,0.37677,0.47724,0,0.38677,0.98164,1.18917,3.42436,3.3685,0.8593,1.30118,0.58596,1.74196,1.43187,6.15206
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris|t__Ruminococcus_lactaris_unclassified,0,0,0,0,1.48762,0,0.34738,1.33784,0.0015,0,0.81877,0,0,0,0.26038,0,11.04826,3.12178,0,0,0.18768,0,0,0,0,5.71048,0.8665,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis|t__GCF_000296465,0,0.96122,2.82634,0,0.77142,0,0,0.51992,0.32018,0.3056,0.76765,0.86074,1.15724,0.08646,0.61308,0.5524,0,0.1237,0.34864,1.89917,2.58413,0.02004,1.38203,0,0,0,0.15405,0.38392
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens|t__GCF_000146185,0,2.55094,0.0037,0,2.5976,2.83331,8.29099,4.21828,4.17465,0.73064,0.6937,2.99886,0,0.44451,0.78119,0,0,1.54128,5.56923,0.54105,0.5218,0.00036,0.76539,0.88513,0.52963,0.19103,0.45417,0.66078
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_obeum|t__Ruminococcus_obeum_unclassified,0.70156,0.50526,0.64001,1.14547,1.05623,0.61736,0.90949,1.9534,1.56757,0.41379,0.60477,0.34856,0.38368,0.66761,1.66622,0.67999,4.63059,0.39306,0.52325,4.38476,0.07976,0.44975,0.46239,1.0957,0.98764,0.95796,0.56759,1.64631
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_formicigenerans|t__Dorea_formicigenerans_unclassified,1.23899,0.64992,0,0.63749,0.44833,0.42802,0.83029,0.82041,0.85226,0.59654,0.59483,1.26642,0.5749,0.45992,0.34846,0.13261,1.39728,0.58538,0.80099,1.31184,0.31181,0.05655,0.40844,0.37283,2.23595,0.69903,0.89688,0.29103
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis|t__GCF_000225345,0,0.01883,0,0.34325,0.9081,0.00118,1.86665,1.04919,0.15544,0.07033,0.52557,1.25556,0,0.05411,0.22151,0.13168,0,0.04355,0.29151,0,0.05967,0,0.03775,0,0.15015,0.03782,0.05576,0.03606
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes|t__GCF_000155875,0,1.17377,0,2.17865,1.16349,0.49625,0.41047,1.53991,0.96032,0.59688,0.49225,1.07578,0.64381,0.97794,1.98798,0.91026,1.80596,1.24211,0,0.50182,0.00409,2.02475,0.16872,2.35021,0,1.83626,1.53351,2.08016
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum|t__GCF_000153885,0,1.039,0,0,0.34446,0,0.22804,0.36179,0.11462,0.00413,0.45701,0.56161,0.00219,1.42549,0,0,0,0.55871,0.00082,0,0,0,0,0,0,0.21803,0.48338,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum|t__GCF_000173455,0,0,0,0,0.18824,0.79692,0,0,0.00646,0,0.4437,0,0.01062,0,0,0,0,0,0,0,0.85794,0,0.08226,0.38683,0.00051,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae|t__Bacteroides_caccae_unclassified,0.37145,0.09399,0,0,0.45893,0.00477,2.31696,0.141,0.52309,0.18755,0.43033,0.48466,3.57574,0.109,0,1.87587,1.63435,0.93714,0.70511,0.66599,0,0.00174,1.78907,0,0,0,0,2.65576
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__GCF_000166035,0,1.20834,0,0,3.60539,0,0,2.45645,1.18569,0.56154,0.37325,0.75192,0,0,1.84613,0,1.1722,0.45866,2.24827,2.06245,1.1646,4.43446,0,0,0,0,1.12547,0.9023
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_shahii|t__GCF_000210575,0.05457,0.47904,0,0,0.19251,0.00784,0.67358,0.002,0.14623,0.1791,0.36926,0.01555,0.49505,0.03364,0.01264,0.2928,0.13703,0,0.12507,0.039,0.30352,0.7269,0.13956,0.24624,0,0,0.05412,0.11338
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus|t__Bacteroides_cellulosilyticus_unclassified,0.02928,0.34161,0,1.48637,0,0,0.88817,0,0.97731,0,0.36884,0.01649,0.15875,0.1029,0.02119,0.52874,0,0.33736,0,0,0,3.14824,0,0,0.36649,0,0.08457,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_46FAA|t__GCF_000209405,0.0509,0.07596,0.01268,0.00121,0.2027,0.03707,0.24991,0,0.49713,0.00945,0.34217,0.10625,0.43283,0,0.34567,0.05653,0,0,0,0.13272,0.10391,0.00483,0.00766,0,0.00124,0.0335,0.05764,0.2351
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena|t__GCF_000154065,4.15507,2.54331,1.87656,2.11404,2.38776,0.58742,0.98753,2.64123,1.90034,2.1902,0.2743,4.8753,0.32199,2.10987,2.70435,0.13535,0.43856,2.63969,0.338,0,0.23775,2.85723,0,4.23957,0,0.4591,2.6044,5.49302
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_leptum|t__GCF_000154345,0.04124,0.01126,0,0.00907,0.00791,0,0.01856,0.03526,0.06683,0.0538,0.2663,0.00471,0.01603,0,0.05179,0.11376,0.02471,0.04462,0.0038,0.03134,0.09141,0.0033,0.04797,0.0097,0,0,0,0.00791
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus|t__GCF_000332875,0.46616,0.07896,0,0.00074,0.42494,0.0167,1.00621,0.03943,0.44136,0.02461,0.25129,0.17168,0.03822,0.11959,0.087,0.10782,0.06004,0.22294,0.05252,0,0.18135,0.08192,1.42306,0.00267,0.04541,0.17947,0.01718,0.20668
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae|t__GCF_000210055,0.05912,0.02926,0.02349,0.0032,0,0,0.1844,0.06042,0.00085,0.02473,0.24925,0.04239,0.03033,0,0,0.26838,0.08303,0.00792,0.11129,0.02199,0.17815,0.01942,0.0064,0,0.02773,0.02159,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus|t__Bacteroides_ovatus_unclassified,0.09447,0.57435,0,1.00472,0.04817,0.1248,1.59469,0.43354,1.21921,0.03939,0.24243,0.00355,0.0016,0.00234,0.07481,0.4353,0.01086,0.38838,0.15918,0.84739,0.04379,1.31286,0.04639,1.04565,4.67021,1.84512,0.08338,0.29209
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii|t__Parabacteroides_goldsteinii_unclassified,0,0,3.85107,0,0,0,0.27441,0.05953,0,0,0.20066,0,0.08402,0,0,0.03357,0,0.01564,0,0,0,0,0,0,0,0,0,0.0068
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis|t__Roseburia_intestinalis_unclassified,0.06261,6.64076,0,1.10919,1.28314,0.2381,0,0.19149,1.1725,4.04338,0.20051,0.21802,0,2.84514,0.03977,0.00884,0.97233,2.63783,5.67784,0,0,0,0,0,0,0.00087,0.67973,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron|t__Bacteroides_thetaiotaomicron_unclassified,0.02937,0.0192,0,0,0,0.00081,0.62937,0.10705,0.99723,0.19659,0.18614,0.00062,0,0.02793,0.00562,0.19197,0.00597,0,0.0193,0,1.91249,1.06461,0.13935,0.00036,0.93615,0,0.17801,0.25104
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens|t__GCF_000478885,0.10528,0.06275,0,0.01706,0.05033,0,0.15501,0.07669,0.03743,0,0.1575,0.12469,0.02392,0.00062,0.00086,0,0.32997,0.06965,0.05516,0,0.17042,0.11469,0.75556,0.09845,0,0.51909,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii|t__GCF_000265365,0.0161,0.18552,0.35543,0.2348,0.60514,0,0.68219,0.52963,0.04535,0.04908,0.15207,0.01256,0,0,0,0.37212,0,0.11057,0.07062,0.21519,0.00912,0.07222,0,0.20234,0,0,0,0.15572
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_splanchnicus|t__GCF_000190535,0.06364,0.4867,0.66957,0,0.3857,0,0.18378,0,0.2037,0.14394,0.12354,0.24736,0.28407,0,1.16615,0.16816,0,0,0.28287,0.23929,0.69336,0.55904,0,0.18119,0.40663,0,0.3376,0.51928
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8|t__GCF_000311925,0.10313,0.09176,0,0.25941,0.18932,0,0.16829,0,0.29262,0.01421,0.11547,0.12169,0.6354,0.03086,0.07758,0.35583,0.05791,0.14759,0.10476,0.44847,0.33823,1.15617,0.60264,0.1316,0,0,0.01536,0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Sutterella|s__Sutterella_wadsworthensis|t__Sutterella_wadsworthensis_unclassified,0.9944,0,0,0.81135,0,0.27708,0,0,0.57806,0.31823,0.11275,0,0,0.27626,0,0,2.07718,0,0,1.07825,2.80257,0,0.05062,0.1576,0,0,0.6334,0.34396
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus|t__GCF_000231275,0,0.00258,0.05791,0.05404,0.02527,0,0.03025,0.28235,0.02936,0,0.11255,0,0.09831,0,0.03268,0.11536,0,0.00383,0,0.32009,0.02959,0.07337,0,0.06211,0,0,0,0.12094
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum|t__GCF_000173435,0,0.19564,0,1.13871,0.23003,0.43,0,0,1.47155,0.00393,0.10061,0.19552,0.00103,0.06812,0,0,0.00695,0,0.63475,0.07085,0.67683,0,0,0.14233,0,0,0,1.07379
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_noname|s__Ruminococcaceae_bacterium_D16|t__GCF_000177015,0.00116,0.00099,0,0,0.06825,0,0.00169,0,0.00307,0,0.08791,0.0015,0.00884,0,0.00176,0,0.0015,0.00126,0,0,0.0707,0,0.56806,0.00245,0.00474,0.19308,0,0.01571
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA|t__GCF_000185525,0.09423,0.07008,0,0.01139,0.07672,0.03,0.09597,0.10397,0.61037,0.02231,0.08739,0.10085,0.05267,0.18977,0.03649,0.17645,0.30406,0.03187,0.06938,0,0.83715,0.04156,0.03833,0.0571,0.00556,0.17507,0.02121,0.03245
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_onderdonkii|t__GCF_000374505,0.04287,0.14522,4.09064,0.55129,0.17957,0,1.42243,1.50598,0.33703,0.00606,0.08416,0.04601,0,0.00707,0.02475,0.56235,0,0.75852,0.1599,2.382,5.98009,1.39825,4.12544,0.35894,1.93934,0,0.04332,0.04763
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans|t__GCF_000174195,0,0.7354,0,0.81752,2.68489,0.4095,0.20844,1.78728,0.26705,3.29882,0.06786,0.76019,0,1.70003,0.46376,0,2.73189,0.47191,0.91875,0.02728,0,0.51496,0.00767,0.00395,0,4.45707,3.44377,3.0038
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_hathewayi|t__Clostridium_hathewayi_unclassified,0.00131,0,0.00025,0.00453,0,0,0,0,0.01171,0,0.06591,0.00486,0.28167,0,0,0,0.01646,0,0,0.01086,0.09826,0,0.19249,0,0.07197,0.04748,0,0.00671
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius|t__Streptococcus_salivarius_unclassified,0.15456,0.08054,0.51369,0.19395,0.18091,4.65987,0.60997,0.24571,0.51328,8.49306,0.05706,0.72881,7.32957,1.07098,0.07042,0.25784,0.31714,1.0671,0.20122,1.32084,0.36606,2.46024,0.2827,0.28038,0.17521,0.16805,3.59638,0.08712
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_7_1_58FAA|t__GCF_000242155,0.0834,0.01695,0.00612,0.0364,0.01505,0,0.00503,0.00417,0.03152,0.00476,0.03382,0.00989,0.02032,0,0.01789,0.00645,0.08075,0.00702,0.00932,0.06277,0.07528,0.01604,0.03773,0.01284,0.39807,0.20598,0,0.01356
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus|t__GCF_000468015,0,0.05747,0,0.05631,0.04313,0.06643,0.01767,3.01179,0.16724,0.05839,0.0238,2.22142,0,0,0,0,0,2.72193,2.55603,1.3814,0,0.06043,0.11539,0.04725,0.29847,0,0.01822,0
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Solobacterium|s__Solobacterium_moorei|t__GCF_000186945,0.00084,0.00121,0.00125,0,0,0,0.01658,0,0,0.00163,0.02331,0.00991,0,0.00453,0.00415,0.00759,0.00191,0.00033,0.00606,0,0,0,0.00078,0.00534,0.00239,0,0.00072,0.00449
