k__Bacteria|p__Firmicutes,k__Bacteria|p__Actinobacteria,k__Bacteria|p__Bacteroidetes,k__Archaea|p__Euryarchaeota,k__Bacteria|p__Verrucomicrobia,k__Bacteria|p__Proteobacteria,k__Viruses|p__Viruses_noname,Susciptability to SARS-CoV-2
76.42501,12.29464,10.97648,0,0,0.30387,0,Very High
78.1329,16.32243,3.32482,0,0.87997,1.28977,0.03519,Medium
74.62705,11.55722,12.43173,0.86069,0,0.52156,0,Very High
31.37437,9.55522,13.56387,0.00949,0,45.49704,0,Medium
59.74205,17.48124,21.43813,0,0.95434,0.38425,0,Very High
67.02311,10.34806,11.71012,7.10555,3.03111,0.76202,0.01651,Very High
16.11446,0.16129,82.54661,0,1.00046,0.17522,0.00077,Medium
17.3172,7.9498,74.32813,0,0,0.40487,0,High
70.06864,9.64227,19.2728,0,0.01177,0.90866,0.09586,Very High
4.0819,0.0155,78.02939,0,0.0424,17.72876,0,Medium
44.51918,5.41313,39.48688,0,9.77496,0.58043,0.22543,Medium
19.7647,1.62367,73.42044,0,0.01179,5.1794,0,Medium
10.9674,6.00E-04,78.21556,0,6.28721,4.46814,0,Medium
23.93581,0.06046,75.04679,0,0.1332,0.82374,0,Medium
50.67722,3.58519,39.22348,0,0,6.26357,0.24614,High
75.32147,20.51999,1.74627,0,0,2.3012,0.10895,High
44.4768,6.38425,7.15841,0,18.36461,23.41414,0.20179,Low
33.61187,3.8372,55.06582,0,2.00561,5.4795,0,Medium
40.91989,16.69315,27.79268,0.00194,13.97237,0.61783,0.00213,Medium
35.20156,3.27547,55.81586,0.16343,0,5.54369,0,High
2.69009,0.03814,95.76355,0,0,1.50628,0.00194,Medium
70.65,3.90066,20.49321,0.58781,3.65773,0.71059,0,Very High
47.22957,25.06049,27.51735,0,0,0.1926,0,Very High
54.49174,30.02615,13.93401,0,1.36817,0.17993,0,Very High
9.52434,0.2598,87.93779,0,0,2.27579,9.00E-04,Medium
13.35558,0.19964,83.47625,0.23394,0,1.50914,0.87669,Medium
53.53993,0.9491,42.49417,0,0.48079,2.51941,0,Medium
79.95946,10.91229,8.85476,0,0,0.26965,0.00383,Very High
7.28085,0.02073,90.05177,0,0.17916,2.45717,0.00478,Medium
62.21086,21.9543,15.01438,0,0.09464,0.72582,0,Very High
41.35692,41.95044,14.57288,1.84121,0.00379,0.27476,0,Very High
15.71277,17.23306,64.15874,0,1.87202,1.02341,0,Medium
37.95761,0.9335,52.13001,0,0.03601,8.17663,0.76624,High
20.23758,0.48601,67.32368,0,0,11.95185,0.00088,High
55.62697,1.74495,42.54228,0,0,0.0858,0,Very High
57.07865,2.97224,35.96968,0,1.29842,2.68101,0,Very High
31.25782,1.2076,60.14491,0,0,2.01906,0,Medium
43.79881,26.70048,23.74339,0.02398,0.03391,5.69451,0.00491,High
31.36002,0.14836,64.32448,0,0,4.16714,0,High
67.81016,5.23226,26.32263,0.08787,0.00343,0.54365,0,Very High
42.61973,2.24844,53.24554,1.36282,0.00758,0.51102,0,Medium
47.25184,0.39572,47.87598,0,0.34427,3.69222,0.43998,Medium
