Sample,k__Bacteria,k__Bacteria|p__Bacteroidetes,k__Bacteria|p__Proteobacteria,k__Bacteria|p__Firmicutes,k__Bacteria|p__Actinobacteria,k__Bacteria|p__Verrucomicrobia,k__Archaea|p__Euryarchaeota,k__Viruses|p__Viruses_noname,Country,Death rate by 100000,Case-Fatalety per 100 case,Susciptability to SARS-CoV-2
LiSS_2016.metaphlan_bugs_list.stool:FAT_DON_19-22-0-0,100,17.35494,0.46001,75.14881,7.00671,0.02952,0,0,Netherlands,35.46214824,12.07654258,Very High
LiSS_2016.metaphlan_bugs_list.stool:FAT_DON_8-22-0-0,97.25948,18.80109,0.89449,65.57562,11.7313,0.24851,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88690,100,25.56896,0.72197,67.61515,2.13103,3.96289,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88691,99.93996,13.15867,0.17016,74.50919,12.07537,0.02657,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88692,88.03481,18.91629,0.84938,42.63863,25.53171,0.0988,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88693,100,31.8355,0.38522,37.26697,30.51231,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88700,99.99808,20.27887,0.87195,55.09147,23.75578,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88701,100,5.47434,0.23031,69.46111,24.83423,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88703,84.58168,10.13596,0.44998,66.43159,7.40981,0.15434,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88704,96.04789,9.94221,0.09007,74.99999,10.23115,0.78447,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88705,100,30.51064,0.2939,53.46334,13.81624,1.91587,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88707,98.02753,15.43163,0.29227,42.99299,36.87582,2.42915,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88708,100,18.60716,0.89206,54.33527,26.15964,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88709,100,17.71812,0.70587,45.14485,36.43115,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88710,99.31141,10.50943,0.1877,67.78852,20.82576,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88711,100,6.66276,0.59419,46.16588,46.57717,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88712,99.71831,18.33387,0.17404,76.14796,5.05004,0.01241,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88713,100,26.15455,0.68537,36.67447,4.86899,31.61663,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88716,100,7.10701,0.11848,55.9934,36.78111,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88718,94.80987,26.06687,2.86649,58.0191,7.84206,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88720,100,42.54228,0.0858,55.62697,1.74495,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88721,99.98843,22.61781,0.13455,66.56636,10.66971,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88722,100,21.6996,1.50426,60.26093,15.59704,0.93816,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88723,100,9.113,0.31004,76.30984,8.56812,5.69899,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88724,98.57648,26.66855,0.67701,57.89752,13.33339,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88725,100,7.51914,1.84689,47.81887,42.791,0.0241,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88726,99.99102,54.21357,0.47905,39.69577,5.60263,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88727,100,25.06429,0.41924,59.71135,14.80512,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88728,99.99617,8.85476,0.26965,79.95946,10.91229,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88729,100,14.31544,0.77141,78.50913,6.40403,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88731,100,19.54875,0.09234,61.80337,18.55554,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88732,100,19.55444,0.88139,75.15164,4.39531,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88733,96.07112,20.46315,0.33598,68.38725,6.82749,0.05726,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88734,100,18.4602,0.21292,63.41292,17.86472,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88735,100,22.35308,0.45697,40.25359,36.93635,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88736,100,3.86068,0.25943,65.62695,27.56733,2.68562,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88737,100,46.94326,1.07557,47.07098,4.18144,0.72874,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88738,92.73854,21.96269,0.61417,50.95492,19.20677,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88740,100,4.40553,0.24828,72.0209,23.28983,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88741,100,10.12378,1.41444,71.28533,14.48581,2.69064,0,0,Netherlands,35.46214824,12.07654258,Very High
